,Code,Name,MAD_gap_pct,MRAT,momentum_1m,momentum_3m,momentum_6m,momentum_12m,avg_momentum,current_price,volume_20d_avg
1,065170,비엘팜텍,282.71,3.8271,260.94,673.34,517.21,86.68,384.54,4555,11374158.45
2,038500,삼표시멘트,196.49,2.9649,213.23,399.02,366.97,399.84,344.76,15270,19602567.65
3,058610,에스피지,180.57,2.8057,26.42,239.37,486.85,490.27,310.73,151700,827478.35
4,290740,액트로,179.75,2.7975,28.78,342.34,404.7,320.19,274,26850,317267.1
5,041920,메디아나,178.51,2.7851,31.05,282.14,301.5,327.15,235.46,21400,753519.55
6,012200,계양전기,169.57,2.6957,-12.79,499.13,466.62,464.68,354.41,8250,2376997.55
7,347700,스피어,156.48,2.5648,87.58,389.02,232.55,460.26,292.35,42300,3039564.3
8,327260,RF머트리얼즈,150.69,2.5069,32.65,135.64,556.06,622.22,336.64,42250,273185.2
9,099320,쎄트렉아이,150.15,2.5015,34.43,281.91,273.74,262.45,213.13,192100,399642.55
10,032820,우리기술,149.73,2.4973,95.75,325.13,334.03,722.83,369.43,16580,28410181.75
11,348340,뉴로메카,147.26,2.4726,-21.27,197.41,261.71,175.47,153.33,80300,1090616.15
12,187660,현대ADM,144.59,2.4459,575.23,663.6,708.23,943.6,722.66,18670,18866159.55
13,376270,HEM파마,141.85,2.4185,14.67,87.65,315.16,332.1,187.39,80500,53819.15
14,221800,유투바이오,141.32,2.4132,452.47,335.17,764.73,723.62,569,26850,3289443.95
15,174900,앱클론,140.49,2.4049,-7.39,59.34,521.41,382.31,238.92,62700,302142.2
16,056080,유진로봇,139.43,2.3943,13.5,221.05,255.11,350.19,209.96,36150,2135908.85
17,085910,네오티스,138.4,2.384,46.76,233.91,448.73,472.43,300.46,17230,281117.35
18,138360,앤로보틱스,136.57,2.3657,-15.79,88.31,182.93,297.94,138.35,2320,2401235.05
19,007810,코리아써키트,136.42,2.3642,-9.6,92.85,386.07,394.58,215.97,59300,535060
20,049630,재영솔루텍,135.42,2.3542,-22.88,151.15,385,520.03,258.32,4365,12293342.45
21,084670,동양고속,134.64,2.3464,-1,249.5,488.9,590.21,331.9,49350,481718.25
22,448900,한국피아이엠,131.76,2.3176,79.86,197.62,932.2,434.19,410.97,125000,201472
23,000650,천일고속,131.5,2.315,-4.26,92.58,549.04,605.88,310.81,270000,55256.9
24,004310,현대약품,130.52,2.3052,10.34,254.36,223.89,285.26,193.46,12810,4493256.85
25,000250,삼천당제약,127.5,2.275,93.36,263.94,290.01,316.85,241.04,757000,339477.8
26,295310,에이치브이엠,126.47,2.2647,-12.09,237.42,152.37,201.17,144.72,77100,431459.7
