date,ticker,action,weight_delta,price
2023-10-19,053610,BUY,0.5958446144985412,44400.0
2023-10-19,240810,BUY,0.40415538550145874,31750.0
2023-10-26,053610,SELL,-0.26074291401587246,46200.0
2023-10-26,240810,BUY,0.2607429140158725,32150.0
2023-11-02,053610,BUY,0.6648982995173313,48150.0
2023-11-02,240810,SELL,-0.6648982995173313,33850.0
2023-11-09,053610,SELL,-0.5375650013343707,51400.0
2023-11-09,080220,BUY,0.5375650013343707,4700.0
2023-11-16,053610,SELL,-0.46243499866562926,53600.0
2023-11-16,080220,SELL,-0.5375650013343707,5060.0
