event_id,status,eval_date,effective_date,selected_count,reason
EVT001,CASH,2022-08-10,2022-08-11,0.0,
EVT001,OK,2022-08-18,2022-08-19,1.0,
EVT001,CASH,2022-08-25,2022-08-26,0.0,
EVT001,CASH,2022-09-01,2022-09-02,0.0,
EVT001,CASH,2022-09-08,2022-09-13,0.0,
EVT002,OK,2023-10-18,2023-10-19,2.0,
EVT002,OK,2023-10-25,2023-10-26,2.0,
EVT002,OK,2023-11-01,2023-11-02,1.0,
EVT002,OK,2023-11-08,2023-11-09,2.0,
EVT002,OK,2023-11-15,2023-11-16,2.0,
EVT003,OK,2022-08-17,2022-08-18,1.0,
EVT003,OK,2022-08-24,2022-08-25,1.0,
EVT003,OK,2022-08-31,2022-09-01,1.0,
EVT003,OK,2022-09-07,2022-09-08,1.0,
EVT003,OK,2022-09-16,2022-09-19,1.0,
EVT004,OK,2024-05-16,2024-05-17,1.0,
EVT004,OK,2024-05-23,2024-05-24,1.0,
EVT004,OK,2024-05-30,2024-05-31,1.0,
EVT004,OK,2024-06-07,2024-06-10,1.0,
EVT004,OK,2024-06-14,2024-06-17,1.0,
EVT005,SKIP,,,,insufficient momentum history
EVT006,OK,2023-04-04,2023-04-05,1.0,
EVT006,OK,2023-04-11,2023-04-12,1.0,
EVT006,OK,2023-04-18,2023-04-19,1.0,
EVT006,CASH,2023-04-25,2023-04-26,0.0,
EVT006,OK,2023-05-03,2023-05-04,1.0,
EVT007,OK,2022-12-08,2022-12-09,1.0,
EVT007,OK,2022-12-15,2022-12-16,1.0,
EVT007,OK,2022-12-22,2022-12-23,1.0,
EVT007,OK,2022-12-29,2023-01-02,1.0,
EVT007,OK,2023-01-06,2023-01-09,1.0,
EVT008,OK,2023-02-07,2023-02-08,1.0,
EVT008,OK,2023-02-14,2023-02-15,1.0,
EVT008,OK,2023-02-21,2023-02-22,1.0,
EVT008,OK,2023-02-28,2023-03-02,1.0,
EVT008,OK,2023-03-08,2023-03-09,1.0,
