Strategy,FinalNAV,CAGR,MDD,Sharpe,AvgTurnover,AnnualTurnover,AvgGrossExposure,AvgHoldings,RebalanceCount,BuyTrades,SellTrades,RangeDaysPct,UptrendDaysPct,DowntrendDaysPct,TransitionDaysPct,OscEntryCount,OscExitCount,OscStopCount,RotationSignalAvg,AvgStockSleeve,AvgEtfSleeve,FirstRebalance,LastRebalance,RunId,RunStartedAt
Daily Top20,1.8444494416700792,0.078439088120193,-0.0820114696694347,0.9889516904408088,0.0227650519758999,5.579796119672531,0.2019584675889566,3.185707096124811,1987,253,227,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.4788626069451434,0.5211373930548565,2018-02-12,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Top20,1.875225960808183,0.0806427509065796,-0.0820114696694348,1.032340547528949,0.0511793258460429,4.444460361617054,0.5183219500626793,3.044791142425768,704,207,181,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.4879261363636363,0.5120738636363636,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Buffer 20/25,1.8748421330734544,0.0806154639138678,-0.0820114696694348,1.031939350123019,0.0511824555727171,4.444732149998719,0.5183219500626793,3.044791142425768,704,207,181,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.4879261363636363,0.5120738636363636,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 MADScale,1.991776849723764,0.0887105068786688,-0.1269840951433791,0.9102986982579367,0.0563639588510897,10.477714457052787,0.4970563548008817,9.204831404126825,1507,261,227,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.4273390842733908,0.5726609157266092,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 MADScale,2.006632760924544,0.0897089131432207,-0.1269840951433789,0.9200248828746794,0.0585342003855019,10.440704402196369,0.5126306546922051,9.188726723704075,1446,261,227,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.4356846473029045,0.5643153526970954,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 RegimeState,2.0497224814067514,0.0925685808675502,-0.1368097419835507,1.0083448958046246,0.0433659032269973,6.686675174628832,0.4756866499882097,4.264720684448918,1250,172,138,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,0.0,0.1724,0.8276,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 Rotation,2.038795829644559,0.0918484531205341,-0.1404713653754601,0.9949493770680824,0.0441966030556423,6.814762439240693,0.4747332851557551,4.264720684448918,1250,172,138,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,-0.0309985208690031,0.1785997041738005,0.8214002958261993,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly ETF RiskBudget,1.9504266097126843,0.0858967450428207,-0.1365383225659466,1.1708171022886524,0.0103142615820591,1.4122544030936492,0.4486486486486486,2.197282335178661,1110,6,0,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,1.0,0.0,1.0,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly ForeignFlow v2,2.148442780560712,0.0989265455085384,-0.105637018088245,0.9963035916140546,0.0823114619909324,5.320389402872864,0.2503140705908286,1.840463009562154,524,217,198,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.6889312977099237,0.3110687022900763,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 RangeOsc,2.0497224814067514,0.0925685808675502,-0.1368097419835507,1.0083448958046246,0.0433659032269973,6.686675174628832,0.4756866499882097,4.264720684448918,1250,172,138,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,0.0,0.1724,0.8276,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 RegimeState,1.964755267325524,0.0868776386918928,-0.1370553606897203,0.9603387358129696,0.0442968958289589,6.251023551012223,0.4891455632242589,4.066431806743835,1144,154,120,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,0.0,0.1604020979020979,0.8395979020979021,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 Rotation,1.9538241549429427,0.0861298999802595,-0.1380717089886222,0.9471770812452392,0.0450162371100269,6.352534485469878,0.488224298899375,4.066431806743835,1144,154,120,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,-0.0301477462101519,0.1664316471441283,0.8335683528558717,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly ETF RiskBudget,1.936643619745974,0.0849472268892352,-0.1365383225659455,1.16009707029913,0.01129252896386,1.3929740641843538,0.45415,2.192752893809764,1000,6,0,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,1.0,0.0,1.0,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 RangeOsc,1.964755267325524,0.0868776386918928,-0.1370553606897203,0.9603387358129696,0.0442968958289589,6.251023551012223,0.4891455632242589,4.066431806743835,1144,154,120,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,0.0,0.1604020979020979,0.8395979020979021,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Hybrid RS50 RB50,2.0077585820194077,0.0897843106571243,-0.1087348003173325,1.1608414536908684,0.0268400824045282,4.049464788861241,0.4621676493184291,3.2310015098137894,1180,89,69,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,0.5,0.0862,0.9138,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Hybrid Flow50 RS50,2.112262606706293,0.0966267182407105,-0.1154663207142052,1.1004560880043002,0.0628386826089648,6.003532288750847,0.3630003602895191,3.0525918470055355,887,194,168,0.0093058350100603,0.2125251509054326,0.4268108651911468,0.3513581488933601,0,0,0,0.0,0.4306656488549618,0.5693343511450382,2018-02-23,2026-03-23,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
