Symbol,FirstDate,LastDate,YearsAvailable,TotalBars,CommonStartDate,CommonEndDate,CommonYears,RunId,RunStartedAt
E_0000D0,2024-12-17,2026-03-26,1.270363,307,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
E_0000H0,2025-04-08,2026-03-26,0.963723,235,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
E_0000J0,2024-12-24,2026-03-26,1.251198,302,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
E_0000Y0,2024-12-24,2026-03-26,1.251198,302,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
E_0000Z0,2024-12-24,2026-03-26,1.251198,302,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
E_069500,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
E_360750,2020-08-07,2026-03-26,5.631759,1379,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
E_379800,2021-04-09,2026-03-26,4.960986,1215,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_000020,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_000040,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_000050,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_000070,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_000080,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_000650,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_003230,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_007810,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_012200,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_038500,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_041920,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_043220,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_049630,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_056080,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_058610,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_059210,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_065170,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_066900,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_067000,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_074610,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_080220,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_084670,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_090710,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_099320,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_138360,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_174900,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_189330,2018-02-12,2026-03-26,8.11499,1990,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_290740,2018-08-28,2026-03-26,7.575633,1858,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_319400,2019-05-08,2026-03-26,6.882957,1691,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_327260,2019-12-24,2026-03-26,6.253251,1533,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_348340,2022-11-04,2026-03-26,3.389459,827,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_356890,2021-03-11,2026-03-26,5.040383,1236,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
S_402340,2021-11-29,2026-03-26,4.320329,1057,2018-02-12,2026-03-26,8.11499,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
