Symbol,RowCount,FirstDate,LastDate,TotalArticles,MeanArticleCount,TotalTitleScore
000050,48,2025-04-06,2026-03-27,103.0,2.1458333333333335,28.0
000490,101,2025-04-23,2026-03-26,691.0,6.841584158415841,137.0
000650,42,2025-11-19,2026-02-16,627.0,14.928571428571429,199.0
001200,149,2025-10-28,2026-03-27,3009.0,20.19463087248322,1104.0
003230,131,2025-11-14,2026-03-27,4517.0,34.48091603053435,825.0
003620,276,2025-05-23,2026-03-26,4210.0,15.253623188405797,601.0
006400,54,2026-02-02,2026-03-27,5668.0,104.96296296296296,1191.0
007810,77,2025-04-01,2026-03-27,203.0,2.6363636363636362,69.0
008350,46,2025-04-02,2026-03-20,134.0,2.9130434782608696,14.0
024060,44,2025-03-31,2026-03-24,444.0,10.090909090909092,205.0
036170,26,2025-04-09,2026-03-16,66.0,2.5384615384615383,17.0
038500,108,2025-04-11,2026-03-19,798.0,7.388888888888889,82.0
041920,64,2025-04-08,2026-03-27,330.0,5.15625,63.0
042940,91,2025-04-03,2026-03-25,839.0,9.219780219780219,170.0
049630,74,2025-04-21,2026-03-27,197.0,2.6621621621621623,71.0
053610,9,2025-04-03,2026-03-05,24.0,2.6666666666666665,3.0
056080,76,2025-05-12,2026-03-10,363.0,4.776315789473684,86.0
058610,105,2025-05-15,2026-03-27,393.0,3.742857142857143,107.0
080220,83,2025-03-31,2026-03-20,358.0,4.313253012048193,94.0
083450,27,2025-04-06,2026-03-03,69.0,2.5555555555555554,14.0
084670,46,2025-06-19,2026-03-17,461.0,10.021739130434783,179.0
095610,122,2025-05-13,2026-03-27,478.0,3.918032786885246,118.0
099320,132,2025-05-12,2026-03-26,611.0,4.628787878787879,164.0
123690,68,2025-04-15,2026-03-23,212.0,3.1176470588235294,162.0
138360,46,2025-04-11,2026-03-17,103.0,2.239130434782609,34.0
145020,232,2025-04-02,2026-03-27,1363.0,5.875,216.0
174900,79,2025-03-31,2026-03-27,212.0,2.6835443037974684,70.0
214370,176,2025-05-13,2026-03-25,1128.0,6.409090909090909,220.0
217500,16,2025-04-14,2026-03-06,40.0,2.5,18.0
240810,205,2025-04-01,2026-03-27,1126.0,5.492682926829269,233.0
272110,22,2025-04-08,2026-03-25,39.0,1.7727272727272727,24.0
290690,82,2025-04-04,2026-03-26,284.0,3.4634146341463414,96.0
290740,21,2025-05-01,2026-03-27,42.0,2.0,28.0
319400,120,2025-04-28,2026-03-27,769.0,6.408333333333333,175.0
327260,46,2025-04-08,2026-03-26,90.0,1.9565217391304348,50.0
348370,101,2025-04-08,2026-03-26,449.0,4.445544554455446,95.0
361390,26,2025-04-09,2026-03-27,51.0,1.9615384615384615,32.0
402340,49,2026-02-02,2026-03-27,2762.0,56.36734693877551,688.0
