Code,SourcePath,TargetPath,SourceExists,Copied
000050,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\000050.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\000050.csv.gz,1,1
000490,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\000490.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\000490.csv.gz,1,1
000650,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\000650.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\000650.csv.gz,1,1
001200,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\001200.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\001200.csv.gz,1,1
003230,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\003230.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\003230.csv.gz,1,1
003620,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\003620.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\003620.csv.gz,1,1
006400,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\006400.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\006400.csv.gz,1,1
007810,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\007810.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\007810.csv.gz,1,1
008350,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\008350.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\008350.csv.gz,1,1
024060,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\024060.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\024060.csv.gz,1,1
036170,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\036170.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\036170.csv.gz,1,1
038500,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\038500.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\038500.csv.gz,1,1
041920,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\041920.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\041920.csv.gz,1,1
042940,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\042940.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\042940.csv.gz,1,1
049630,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\049630.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\049630.csv.gz,1,1
053610,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\053610.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\053610.csv.gz,1,1
056080,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\056080.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\056080.csv.gz,1,1
058610,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\058610.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\058610.csv.gz,1,1
080220,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\080220.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\080220.csv.gz,1,1
083450,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\083450.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\083450.csv.gz,1,1
084670,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\084670.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\084670.csv.gz,1,1
095610,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\095610.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\095610.csv.gz,1,1
099320,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\099320.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\099320.csv.gz,1,1
123690,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\123690.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\123690.csv.gz,1,1
138360,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\138360.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\138360.csv.gz,1,1
145020,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\145020.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\145020.csv.gz,1,1
174900,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\174900.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\174900.csv.gz,1,1
214370,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\214370.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\214370.csv.gz,1,1
217500,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\217500.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\217500.csv.gz,1,1
240810,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\240810.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\240810.csv.gz,1,1
272110,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\272110.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\272110.csv.gz,1,1
290690,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\290690.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\290690.csv.gz,1,1
290740,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\290740.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\290740.csv.gz,1,1
319400,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\319400.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\319400.csv.gz,1,1
327260,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\327260.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\327260.csv.gz,1,1
348370,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\348370.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\348370.csv.gz,1,1
361390,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\361390.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\361390.csv.gz,1,1
402340,D:\AI\모멘텀 투자\data\flows_naver_8y\stock\402340.csv.gz,D:\AI\모멘텀 투자\data\flows_operating_institutional_v1\stock\402340.csv.gz,1,1
