Market,Code,Bars,FirstDate,LastDate,LastClose,AvgDailyValue60D,MedianDailyValue60D,AvgVolume60D,ZeroValueDays60D,SelectionRuleVersion
ETF,069500,1988,2018-02-12,2026-03-24,83785.0,1471382532044.3167,1240897612857.5,18810898.95,0,institutional_v1
ETF,379800,1213,2021-04-09,2026-03-24,22310.0,276824317940.63336,260762945690.0,12188096.183333334,0,institutional_v1
ETF,360750,1377,2020-08-07,2026-03-24,24405.0,255801299858.23334,236343273067.5,10294304.25,0,institutional_v1
ETF,0000J0,300,2024-12-24,2026-03-24,37700.0,17611610657.833332,13120743830.0,490536.8,0,institutional_v1
ETF,0000Z0,300,2024-12-24,2026-03-24,17850.0,6770450212.5,5021327475.0,412390.8,0,institutional_v1
ETF,0000D0,305,2024-12-17,2026-03-24,9810.0,776534921.4166666,707370880.0,78324.78333333334,0,institutional_v1
STOCK,006400,1986,2018-02-19,2026-03-25,401500.0,367334307450.0,243808371250.0,991152.6,0,institutional_v1
STOCK,402340,1056,2021-11-29,2026-03-25,595000.0,309703093633.3333,279793142000.0,594303.4666666667,1,institutional_v1
STOCK,319400,1689,2019-05-08,2026-03-24,28850.0,193376976273.33334,96148121175.0,7631599.433333334,1,institutional_v1
STOCK,080220,1989,2018-02-12,2026-03-25,42350.0,172266068644.16666,90327143675.0,4385013.2,0,institutional_v1
STOCK,024060,1986,2018-02-19,2026-03-25,19360.0,155603567049.0,63520914000.0,7051734.083333333,0,institutional_v1
STOCK,038500,1988,2018-02-12,2026-03-24,16700.0,152855555801.25,63135763665.0,11886951.95,1,institutional_v1
STOCK,058610,1988,2018-02-12,2026-03-24,112900.0,119061326898.33333,88583634600.0,1069325.9666666666,0,institutional_v1
STOCK,240810,1986,2018-02-19,2026-03-25,134700.0,87330094946.66667,75121818800.0,858419.9666666667,0,institutional_v1
STOCK,056080,1988,2018-02-12,2026-03-24,27400.0,76198563088.66667,31848852375.0,2553253.25,0,institutional_v1
STOCK,003230,1989,2018-02-12,2026-03-25,1203000.0,70534432000.0,60384974000.0,60179.05,1,institutional_v1
STOCK,049630,1988,2018-02-12,2026-03-24,3015.0,52742051491.333336,36024973812.5,11529247.233333332,0,institutional_v1
STOCK,099320,1988,2018-02-12,2026-03-24,172400.0,51584507566.666664,43284831950.0,347813.81666666665,0,institutional_v1
STOCK,084670,1988,2018-02-12,2026-03-24,42200.0,29698880235.833332,7662334100.0,439591.65,0,institutional_v1
STOCK,095610,1986,2018-02-19,2026-03-25,65800.0,29223861256.666668,23510097450.0,466294.7833333333,0,institutional_v1
STOCK,007810,1988,2018-02-12,2026-03-24,63700.0,27751637857.5,23746526750.0,505556.95,0,institutional_v1
STOCK,348370,1076,2021-11-01,2026-03-25,34400.0,26572315653.333332,15751558900.0,402539.85,0,institutional_v1
STOCK,008350,1986,2018-02-19,2026-03-25,1399.0,25507893099.1,4405341973.5,18210168.083333332,0,institutional_v1
STOCK,174900,1988,2018-02-12,2026-03-24,71000.0,24630189326.666668,20785544400.0,396266.0833333333,0,institutional_v1
STOCK,145020,1986,2018-02-19,2026-03-25,256500.0,22817776366.666668,16449479500.0,88268.43333333333,1,institutional_v1
STOCK,214370,1986,2018-02-19,2026-03-25,103900.0,19987497650.0,15223237600.0,189936.86666666667,0,institutional_v1
STOCK,000650,1988,2018-02-12,2026-03-24,228000.0,19216976458.333332,6116967250.0,59763.88333333333,0,institutional_v1
STOCK,361390,1226,2021-03-24,2026-03-25,31050.0,16179914830.166666,10871750600.0,614078.8333333334,1,institutional_v1
STOCK,327260,1531,2019-12-24,2026-03-24,64300.0,15705172445.833334,10344861400.0,363580.48333333334,0,institutional_v1
STOCK,083450,1986,2018-02-19,2026-03-25,28450.0,14445324699.166666,9884829300.0,494450.76666666666,1,institutional_v1
STOCK,001200,1986,2018-02-19,2026-03-25,4960.0,14225776725.833334,5751510577.5,2876387.3,0,institutional_v1
STOCK,041920,1989,2018-02-12,2026-03-25,18490.0,13934879766.0,9506200400.0,819168.8166666667,1,institutional_v1
STOCK,003620,1986,2018-02-19,2026-03-25,3530.0,10678184236.083334,3454356750.0,2739855.8,1,institutional_v1
STOCK,123690,1986,2018-02-19,2026-03-25,8300.0,10444110011.5,2885557745.0,941572.15,0,institutional_v1
STOCK,138360,1988,2018-02-12,2026-03-24,1924.0,9861810146.75,4016765804.0,4523124.766666667,1,institutional_v1
STOCK,217500,1986,2018-02-19,2026-03-25,2715.0,9635247124.216667,2063271380.0,2521812.6333333333,1,institutional_v1
STOCK,000490,1986,2018-02-19,2026-03-25,9740.0,9022243266.5,2294027480.0,803721.6,1,institutional_v1
STOCK,036170,1986,2018-02-19,2026-03-25,6060.0,8576402164.716666,2532167940.0,2995707.6666666665,0,institutional_v1
STOCK,290740,1856,2018-08-28,2026-03-24,18960.0,8117123011.333333,6333568650.0,360952.75,0,institutional_v1
STOCK,290690,1318,2020-11-06,2026-03-25,3825.0,7817728124.25,2468100405.0,1919739.85,0,institutional_v1
STOCK,272110,1574,2019-10-25,2026-03-25,36300.0,7460395804.166667,6596794000.0,250057.35,0,institutional_v1
STOCK,000050,1988,2018-02-12,2026-03-24,9450.0,6036659543.666667,2030046790.0,570560.75,0,institutional_v1
STOCK,053610,1986,2018-02-19,2026-03-25,54200.0,5581367787.5,3354856650.0,109477.4,1,institutional_v1
STOCK,042940,1986,2018-02-19,2026-03-25,7970.0,5033938993.0,2309528830.0,458709.9666666667,0,institutional_v1
