StrategyConfig,N,score_power,regime_off_exposure,CAGR,MDD,Sharpe,AnnualTurnover,Trades,CAGR_net_0.5pct_cost,RunId,RunStartedAt
ScoreN70_P1.0_ROE0.6,70,1.0,0.6,0.1167687551776461,-0.2042784872609965,0.983704417514258,13.846105268123756,627,0.0788026714840586,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN70_P2.0_ROE0.4,70,2.0,0.4,0.123664670788868,-0.1588525000015881,1.1554627390322425,16.79796894627445,627,0.0774893862523478,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN30_P2.0_ROE0.4,30,2.0,0.4,0.1338261896050114,-0.1659769453663008,1.1833153319215015,20.56045482178312,3850,0.07706690840802,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN70_P1.5_ROE0.6,70,1.5,0.6,0.1245102245938734,-0.2120302501135954,1.0253726913883705,17.284551312224472,627,0.0769874893298712,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN70_P1.5_ROE0.4,70,1.5,0.4,0.1169550985588547,-0.1566604007982266,1.121982333924786,14.71528242338554,627,0.0766424879820586,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN50_P2.0_ROE0.4,50,2.0,0.4,0.123325779874482,-0.1599959648828763,1.149757963847225,17.366159891960034,2441,0.0756358421779515,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN30_P1.5_ROE0.4,30,1.5,0.4,0.1296010437917996,-0.1660091644429127,1.161151002573633,19.631712809186403,3850,0.075545683616379,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN70_P2.0_ROE0.6,70,2.0,0.6,0.130334518864313,-0.2183466522093733,1.050161845173934,20.12793796765213,627,0.0749009083121643,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN70_P1.0_ROE0.4,70,1.0,0.4,0.1080581584846218,-0.1581920937207672,1.0685217095849546,12.193914790479088,627,0.0748149659256345,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN30_P2.0_ROE0.2,30,2.0,0.2,0.1203042718516549,-0.101760181783285,1.2348865784400844,16.668809951779618,3850,0.0746231465035034,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN50_P1.5_ROE0.4,50,1.5,0.4,0.1156961119897195,-0.1583547945836301,1.108114842391429,15.609420782321791,2441,0.0730285525034282,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN50_P2.0_ROE0.6,50,2.0,0.6,0.129617644518253,-0.2203286013347226,1.0425173753039447,20.854063579250766,2441,0.0722711570694607,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN30_P1.5_ROE0.2,30,1.5,0.2,0.1159588162414924,-0.0980934233589705,1.2102574718522054,16.09954934523131,3850,0.0719771877728503,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN50_P1.5_ROE0.6,50,1.5,0.6,0.1224067029536295,-0.2156471093115418,1.0074625318833117,18.44887505040216,2441,0.0718488898277285,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN30_P1.0_ROE0.4,30,1.0,0.4,0.1227830733689652,-0.1659848972206525,1.1194314820788285,18.61781057081605,3850,0.0717639223158299,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN70_P2.0_ROE0.2,70,2.0,0.2,0.1099240414844555,-0.1067751888021151,1.2037639991784683,14.053654079423977,627,0.0716360855170297,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
ScoreN50_P2.0_ROE0.2,50,2.0,0.2,0.1099935762153656,-0.1074569265234557,1.2011117642825166,14.472161710432152,2441,0.0705831070716627,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
