Strategy,MedianCAGR,WorstCAGR,MedianMDD,WorstMDD,CAGR_net_0.5pct,AnnualTurnover,StabilityScore,RangeDaysPct,UptrendDaysPct,DowntrendDaysPct,TransitionDaysPct,OscEntryCount,OscExitCount,OscStopCount,RotationSignalAvg,AvgStockSleeve,AvgEtfSleeve,ResearchOnly,OperationalCandidate,RunId,RunStartedAt
Weekly ETF RiskBudget,0.1026147387477471,0.0988034354749152,-0.0429491085763419,-0.075531499577153,0.0832972631917401,1.4122544030936492,0.8955582849164679,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,1.0,0.0,1.0,0,1,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Hybrid RS50 RB50,0.0796954750998424,0.0685159322304251,-0.0460826495076628,-0.078247383974332,0.0823140816927832,4.049464788861241,0.4006165232813051,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,0.5,0.0862,0.9138,0,1,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 RegimeState,0.060884036100369,0.0335345458083764,-0.0640130542099751,-0.0809575599165997,0.0802258050176494,6.686675174628832,0.2109721031787922,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,0.0,0.1724,0.8276,0,1,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Daily Top20,0.078439088120193,0.078439088120193,-0.0820114696694347,-0.0820114696694347,,5.579796119672531,0.9564404641979838,0.0,0.2429577464788732,0.7570422535211268,0.0,0.0,0.0,0.0,0.0,0.4788626069451434,0.5211373930548565,0,0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Top20,0.0806427509065796,0.0806427509065796,-0.0820114696694348,-0.0820114696694348,,4.444460361617054,0.9833106421775866,0.0,0.2429577464788732,0.7570422535211268,0.0,0.0,0.0,0.0,0.0,0.4879261363636363,0.5120738636363636,0,0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Buffer 20/25,0.0806154639138678,0.0806154639138678,-0.0820114696694348,-0.0820114696694348,,4.444732149998719,0.9829779205129,0.0,0.2429577464788732,0.7570422535211268,0.0,0.0,0.0,0.0,0.0,0.4879261363636363,0.5120738636363636,0,0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 MADScale,0.0897089131432207,0.0897089131432207,-0.1269840951433789,-0.1269840951433789,,10.440704402196369,0.7064578681442707,0.0,0.2429577464788732,0.7570422535211268,0.0,0.0,0.0,0.0,0.0,0.4356846473029045,0.5643153526970954,0,0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 MADScale,0.0887105068786688,0.0887105068786688,-0.1269840951433791,-0.1269840951433791,,10.477714457052787,0.698595416839446,0.0,0.2429577464788732,0.7570422535211268,0.0,0.0,0.0,0.0,0.0,0.4273390842733908,0.5726609157266092,0,0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly ETF RiskBudget,0.0849472268892352,0.0849472268892352,-0.1365383225659455,-0.1365383225659455,,1.3929740641843538,0.6221493372178148,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,1.0,0.0,1.0,0,0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 RangeOsc,0.0925685808675502,0.0925685808675502,-0.1368097419835507,-0.1368097419835507,,6.686675174628832,0.6766227282168266,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,0.0,0.1724,0.8276,0,0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 RangeOsc,0.0868776386918928,0.0868776386918928,-0.1370553606897203,-0.1370553606897203,,6.251023551012223,0.6338871989733779,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,0.0,0.1604020979020979,0.8395979020979021,0,0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 RegimeState,0.0868776386918928,0.0868776386918928,-0.1370553606897203,-0.1370553606897203,,6.251023551012223,0.6338871989733779,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,0.0,0.1604020979020979,0.8395979020979021,0,0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 Rotation,0.0861298999802595,0.0861298999802595,-0.1380717089886222,-0.1380717089886222,,6.352534485469878,0.6238055616980668,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,-0.0301477462101519,0.1664316471441283,0.8335683528558717,0,0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 Rotation,0.0918484531205341,0.0918484531205341,-0.1404713653754601,-0.1404713653754601,,6.814762439240693,0.6538589048026704,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,-0.0309985208690031,0.1785997041738005,0.8214002958261993,0,0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Benchmark Weekly Top20,0.0562913330666638,-0.0498921659010748,-0.0873013557891122,-0.184556041081335,,,0.1624915299009462,,,,,,,,,,,0,0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
