WindowStart,WindowEnd,TrainStart,TrainEnd,TestStart,TestEnd,StrategyName,CAGR,MDD,Sharpe,AnnualTurnover,Trades,CAGR_net,RunId,RunStartedAt
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,Benchmark Weekly Top20,0.1105424482654586,-0.1047737658334513,0.3190878956467812,15.61739303818218,555,0.0323919817272795,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,Biweekly Score50 MADScale,0.1132615122772229,-0.1330943400740835,0.3299237969635635,15.22630587149907,108,0.0349458351558022,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,Biweekly Score50 RangeOsc,0.0840015406304288,-0.0445854994594278,1.430119951896442,2.679315225381099,63,0.0703834650569918,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,Biweekly Score50 RegimeState,0.0840015406304288,-0.0445854994594278,1.430119951896442,2.679315225381099,63,0.0703834650569918,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,Biweekly Score50 Rotation,0.0844675660455196,-0.0445854994594278,1.4317308283929584,2.684983836552256,63,0.0708129741265959,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,Daily Top20,0.1105424482654586,-0.1047737658334513,0.3190878956467812,15.649602457777624,559,0.0323919817272795,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,ScoreN70_P1.0_ROE0.6,0.1228489038644786,-0.1238404065734003,0.5556417136549324,11.483632549762428,110,0.0644023685507888,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,Weekly Buffer 20/25,0.1099306700844309,-0.108155434500142,0.340364203114694,14.730240882139924,495,0.0352809392695434,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,Weekly Score50 MADScale,0.1132615122772229,-0.1330943400740835,0.3299237969635635,15.392987331703097,110,0.0349458351558022,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,Weekly Score50 RangeOsc,0.1014827235447237,-0.0446343546648609,1.62211642888676,3.811410987746973,117,0.0815570127678071,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,Weekly Score50 RegimeState,0.1014827235447237,-0.0446343546648609,1.62211642888676,3.811410987746973,117,0.0815570127678071,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,Weekly Score50 Rotation,0.1025525939814564,-0.0446343546648606,1.63166114364134,3.819725777951012,117,0.0825626946478741,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
2018-02-12,2024-02-11,2018-02-12,2023-02-11,2023-02-12,2024-02-11,Weekly Top20,0.1105424482654586,-0.1047737658334513,0.3190878956467812,15.61739303818218,555,0.0323919817272795,20260325T234856Z_kis_pipeline,2026-03-25T23:48:56.518959+00:00
