StrategyName,WindowCount,MedianCAGR,WorstCAGR,MedianMDD,WorstMDD,WinRate_vs_Benchmark,CAGRStd,RunId,RunStartedAt
ScoreN50_P2.0_ROE0.6,1,0.6964143445832536,0.6964143445832536,-0.1279755130397338,-0.1279755130397338,0.0,0.0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly ETF RiskBudget,3,0.1032951834439448,0.098795623717683,-0.0429539904651745,-0.0754834193480035,0.6666666666666666,0.1208824220310994,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly ETF RiskBudget,3,0.1026147387477471,0.0988034354749152,-0.0429491085763419,-0.075531499577153,0.6666666666666666,0.1145818652744844,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Hybrid RS50 RB50,3,0.0796954750998424,0.0685159322304251,-0.0460826495076628,-0.078247383974332,0.6666666666666666,0.198932072114963,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 RangeOsc,3,0.0618585032977938,0.0379165803711949,-0.0646585712546414,-0.0809848084236005,0.3333333333333333,0.286811706140251,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 RegimeState,3,0.0618585032977938,0.0379165803711949,-0.0646585712546414,-0.0809848084236005,0.3333333333333333,0.286811706140251,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 Rotation,3,0.0618585032977938,0.0330928286974681,-0.0696692793112228,-0.0809848084236005,0.3333333333333333,0.2868573562534369,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 RangeOsc,3,0.060884036100369,0.0335345458083764,-0.0640130542099751,-0.0809575599165997,0.3333333333333333,0.2885880890554126,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 RegimeState,3,0.060884036100369,0.0335345458083764,-0.0640130542099751,-0.0809575599165997,0.3333333333333333,0.2885880890554126,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 Rotation,3,0.060884036100369,0.0279710125131904,-0.0690400585652732,-0.0809575599165997,0.3333333333333333,0.2888412530045211,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Benchmark Weekly Top20,3,0.0562913330666638,-0.0498921659010748,-0.0873013557891122,-0.184556041081335,1.0,0.3464262605009542,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Buffer 20/25,3,0.0562913330666638,-0.0498921659010748,-0.0873013557891122,-0.184556041081335,0.0,0.3464262605009541,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Top20,3,0.0562913330666638,-0.0498921659010748,-0.0873013557891122,-0.184556041081335,0.0,0.3464262605009542,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Daily Top20,3,0.0551659693808463,-0.0498921659010748,-0.0873013557891122,-0.184556041081335,0.0,0.3466322819194994,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Hybrid Flow50 RS50,3,0.0096422404933573,-0.0704144354976991,-0.0621020814393833,-0.1387430566551787,0.3333333333333333,0.4416126502318412,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
ScoreN30_P1.0_ROE0.2,1,-0.0151892874206154,-0.0151892874206154,-0.0622927595557203,-0.0622927595557203,0.0,0.0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly ForeignFlow v2,3,-0.0168007612899162,-0.1907986188793416,-0.0729040043326272,-0.2660979344322115,0.3333333333333333,0.606859005550461,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Biweekly Score50 MADScale,3,-0.0260669826137953,-0.0413709749760228,-0.0875809591517022,-0.1870094963209051,0.3333333333333333,0.3431388838392045,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
Weekly Score50 MADScale,3,-0.0260669826137953,-0.0413709749760228,-0.0875809591517022,-0.1870094963209051,0.3333333333333333,0.3431388838392045,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
ScoreN30_P1.0_ROE0.4,1,-0.0796766321944234,-0.0796766321944234,-0.2083649327880553,-0.2083649327880553,0.0,0.0,20260328T120000Z_named_flow,2026-03-28T12:00:00+00:00
