Symbol,YahooTicker,Name,Sector,UniverseType,StartDate,EndDate,SnapshotDate,RevisionDate,OldId
AAPL,AAPL,Apple Inc.,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
ABBV,ABBV,AbbVie,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
ABT,ABT,Abbott Laboratories,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
ACN,ACN,Accenture,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
ADBE,ADBE,Adobe Inc.,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
AIG,AIG,American International Group,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
AMD,AMD,Advanced Micro Devices,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
AMGN,AMGN,Amgen,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
AMT,AMT,American Tower,Real Estate,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
AMZN,AMZN,Amazon,Consumer Discretionary,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
AVGO,AVGO,Broadcom,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
AXP,AXP,American Express,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
BA,BA,Boeing,Industrials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2025-01-31,2025-02-27,2025-01-31,2025-01-25,1271728974
