Symbol,Name,Sector,YahooTicker,SnapshotDate,RevisionDate,OldId
AAPL,Apple Inc.,Information Technology,AAPL,2025-01-31,2025-01-25,1271728974
ABBV,AbbVie,Health Care,ABBV,2025-01-31,2025-01-25,1271728974
ABT,Abbott Laboratories,Health Care,ABT,2025-01-31,2025-01-25,1271728974
ACN,Accenture,Information Technology,ACN,2025-01-31,2025-01-25,1271728974
ADBE,Adobe Inc.,Information Technology,ADBE,2025-01-31,2025-01-25,1271728974
AIG,American International Group,Financials,AIG,2025-01-31,2025-01-25,1271728974
AMD,Advanced Micro Devices,Information Technology,AMD,2025-01-31,2025-01-25,1271728974
AMGN,Amgen,Health Care,AMGN,2025-01-31,2025-01-25,1271728974
AMT,American Tower,Real Estate,AMT,2025-01-31,2025-01-25,1271728974
AMZN,Amazon,Consumer Discretionary,AMZN,2025-01-31,2025-01-25,1271728974
AVGO,Broadcom,Information Technology,AVGO,2025-01-31,2025-01-25,1271728974
AXP,American Express,Financials,AXP,2025-01-31,2025-01-25,1271728974
BA,Boeing,Industrials,BA,2025-01-31,2025-01-25,1271728974
BAC,Bank of America,Financials,BAC,2025-01-31,2025-01-25,1271728974
BK,BNY Mellon,Financials,BK,2025-01-31,2025-01-25,1271728974
BKNG,Booking Holdings,Consumer Discretionary,BKNG,2025-01-31,2025-01-25,1271728974
BLK,BlackRock,Financials,BLK,2025-01-31,2025-01-25,1271728974
BMY,Bristol Myers Squibb,Health Care,BMY,2025-01-31,2025-01-25,1271728974
BRK.B,Berkshire Hathaway (Class B),Financials,BRK-B,2025-01-31,2025-01-25,1271728974
C,Citigroup,Financials,C,2025-01-31,2025-01-25,1271728974
CAT,Caterpillar Inc.,Industrials,CAT,2025-01-31,2025-01-25,1271728974
CHTR,Charter Communications,Communication Services,CHTR,2025-01-31,2025-01-25,1271728974
CL,Colgate-Palmolive,Consumer Staples,CL,2025-01-31,2025-01-25,1271728974
CMCSA,Comcast,Communication Services,CMCSA,2025-01-31,2025-01-25,1271728974
COF,Capital One,Financials,COF,2025-01-31,2025-01-25,1271728974
COP,ConocoPhillips,Energy,COP,2025-01-31,2025-01-25,1271728974
COST,Costco,Consumer Staples,COST,2025-01-31,2025-01-25,1271728974
CRM,Salesforce,Information Technology,CRM,2025-01-31,2025-01-25,1271728974
CSCO,Cisco,Information Technology,CSCO,2025-01-31,2025-01-25,1271728974
CVS,CVS Health,Health Care,CVS,2025-01-31,2025-01-25,1271728974
CVX,Chevron Corporation,Energy,CVX,2025-01-31,2025-01-25,1271728974
DE,Deere & Company,Industrials,DE,2025-01-31,2025-01-25,1271728974
DHR,Danaher Corporation,Health Care,DHR,2025-01-31,2025-01-25,1271728974
DIS,Walt Disney Company (The),Communication Services,DIS,2025-01-31,2025-01-25,1271728974
DOW,Dow Inc.,Materials,DOW,2025-01-31,2025-01-25,1271728974
DUK,Duke Energy,Utilities,DUK,2025-01-31,2025-01-25,1271728974
EMR,Emerson Electric,Industrials,EMR,2025-01-31,2025-01-25,1271728974
F,Ford Motor Company,Consumer Discretionary,F,2025-01-31,2025-01-25,1271728974
FDX,FedEx,Industrials,FDX,2025-01-31,2025-01-25,1271728974
GD,General Dynamics,Industrials,GD,2025-01-31,2025-01-25,1271728974
GE,GE Aerospace,Industrials,GE,2025-01-31,2025-01-25,1271728974
GILD,Gilead Sciences,Health Care,GILD,2025-01-31,2025-01-25,1271728974
GM,General Motors,Consumer Discretionary,GM,2025-01-31,2025-01-25,1271728974
GOOG,Alphabet Inc. (Class C),Communication Services,GOOG,2025-01-31,2025-01-25,1271728974
