Symbol,FirstDate,LastDate,YearsAvailable,TotalBars,CommonStartDate,CommonEndDate,CommonYears
E_000DIA,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000GLD,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000HYG,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000IEF,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000IWM,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000LQD,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000QQQ,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000SHY,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000SPY,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000TLT,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000VNQ,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000XLE,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000XLF,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000XLI,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000XLK,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000XLP,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000XLV,2014-12-31,2026-03-27,11.23614,2826,,,0.0
E_000XLY,2014-12-31,2026-03-27,11.23614,2826,,,0.0
