Ticker,CurrentShares,CurrentCash,Notes
BIL,0,2100.0,"all-cash initial entry test, USD-denominated"
EEM,0,2100.0,"all-cash initial entry test, USD-denominated"
EFA,0,2100.0,"all-cash initial entry test, USD-denominated"
GLD,0,2100.0,"all-cash initial entry test, USD-denominated"
HYG,0,2100.0,"all-cash initial entry test, USD-denominated"
IEF,0,2100.0,"all-cash initial entry test, USD-denominated"
IWM,0,2100.0,"all-cash initial entry test, USD-denominated"
PDBC,0,2100.0,"all-cash initial entry test, USD-denominated"
QQQ,0,2100.0,"all-cash initial entry test, USD-denominated"
SPY,0,2100.0,"all-cash initial entry test, USD-denominated"
TLT,0,2100.0,"all-cash initial entry test, USD-denominated"
VNQ,0,2100.0,"all-cash initial entry test, USD-denominated"
