TradeDate,AsOfDate,Strategy,Code,AssetType,TargetWeight,CurrentPriceUSD,TargetNotionalUSD,OrderShares,OrderNotionalUSD,Action,Status,ActualFillPriceUSD,ActualFillNotionalUSD,FillTime,DeviationReason
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000HYG,ETF,0.1145160442357898,78.72000122070312,229.03,2,157.44,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000IEF,ETF,0.1017236792621759,94.5999984741211,203.45,2,189.2,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000LQD,ETF,0.0495537013921241,107.62000274658205,99.11,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000TLT,ETF,0.0145266532793217,85.63999938964844,29.05,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000XLF,ETF,0.0141032163213078,47.810001373291016,28.21,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000XLP,ETF,0.0139756931247324,81.77999877929688,27.95,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000XLE,ETF,0.0137108707537093,62.560001373291016,27.42,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000SPY,ETF,0.0121438907295229,634.0900268554688,24.29,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000DIA,ETF,0.0109199322649358,451.3900146484375,21.84,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000XLV,ETF,0.0101328394555822,143.25999450683594,20.27,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000QQQ,ETF,0.0093495352737535,562.5800170898438,18.7,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000XLI,ETF,0.0088188211217256,159.1999969482422,17.64,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000XLK,ETF,0.0080414632349794,129.9199981689453,16.08,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000XLY,ETF,0.0073825765149167,105.68000030517578,14.77,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000IWM,ETF,0.0069374021270704,243.1000061035156,13.87,0,0.0,BUY,PLANNED,,,,
2026-03-30,2026-03-27,Weekly ETF RiskBudget,000GLD,ETF,0.0041636809083516,414.7000122070313,8.33,0,0.0,BUY,PLANNED,,,,
