Symbol,RowCount,FirstDate,LastDate,TotalArticles,MeanArticleCount,TotalTitleScore
AAPL,7,2024-03-25,2024-04-10,10.0,1.4285714285714286,-2.0
ABBV,9,2018-09-18,2020-05-19,9.0,1.0,-2.0
ABT,10,2020-12-16,2021-11-11,10.0,1.0,3.0
ACN,9,2018-07-10,2024-04-16,10.0,1.1111111111111112,1.0
ADBE,9,2023-06-15,2024-04-11,10.0,1.1111111111111112,-1.0
AMAT,10,2015-03-25,2024-03-11,10.0,1.0,-1.0
AMD,8,2023-03-02,2024-03-13,10.0,1.25,2.0
AMGN,10,2018-10-17,2020-08-31,10.0,1.0,-3.0
AMT,10,2009-12-22,2024-02-10,10.0,1.0,1.0
AMZN,7,2024-03-14,2024-04-03,10.0,1.4285714285714286,-1.0
AVGO,8,2023-05-23,2023-12-08,10.0,1.25,1.0
AXP,10,2022-09-14,2024-04-10,10.0,1.0,0.0
BA,8,2024-03-12,2024-04-02,10.0,1.25,2.0
BAC,10,2024-01-02,2024-04-19,10.0,1.0,0.0
BK,10,2006-12-04,2024-03-29,10.0,1.0,2.0
BKNG,9,2014-04-24,2023-08-30,10.0,1.1111111111111112,4.0
BLK,10,2023-10-08,2024-01-25,10.0,1.0,0.0
BMY,8,2019-06-24,2024-02-02,10.0,1.25,-4.0
BRK-B,8,2023-04-21,2023-08-18,10.0,1.25,-2.0
C,10,2022-11-23,2024-04-17,10.0,1.0,0.0
CAT,8,2022-07-31,2024-04-19,10.0,1.25,-2.0
CL,9,2007-07-25,2023-08-31,10.0,1.1111111111111112,-2.0
CMCSA,10,2020-11-13,2024-04-19,10.0,1.0,7.0
COF,9,2022-03-04,2024-04-10,10.0,1.1111111111111112,2.0
COP,9,2016-07-28,2018-10-15,10.0,1.1111111111111112,0.0
COST,9,2023-09-26,2024-01-18,10.0,1.1111111111111112,0.0
CRM,7,2023-10-23,2024-01-30,10.0,1.4285714285714286,2.0
CSCO,8,2022-11-15,2024-04-15,10.0,1.25,9.0
CVS,10,2020-11-05,2024-03-21,10.0,1.0,-4.0
CVX,10,2010-10-22,2014-11-03,10.0,1.0,1.0
DE,10,2008-02-13,2023-05-31,10.0,1.0,-1.0
DHR,10,2020-07-22,2024-02-20,10.0,1.0,-2.0
DIS,10,2022-09-09,2023-11-30,10.0,1.0,0.0
DUK,9,2010-08-03,2022-04-26,10.0,1.1111111111111112,0.0
EMR,10,2013-07-22,2024-01-04,10.0,1.0,2.0
FDX,10,2023-02-01,2023-10-03,10.0,1.0,1.0
GD,10,2007-01-24,2023-12-12,10.0,1.0,0.0
GE,10,2019-07-31,2024-03-26,10.0,1.0,0.0
GEV,10,2018-05-09,2024-04-08,10.0,1.0,7.0
GILD,10,2012-10-24,2021-04-12,10.0,1.0,-1.0
GM,8,2023-04-25,2024-04-04,10.0,1.25,-4.0
GOOG,9,2015-08-10,2019-02-19,10.0,1.1111111111111112,0.0
GOOGL,7,2019-06-03,2021-02-05,10.0,1.4285714285714286,-1.0
GS,8,2024-01-16,2024-04-05,10.0,1.25,-2.0
HD,10,2009-12-30,2018-11-28,10.0,1.0,-2.0
HON,10,2021-12-08,2024-04-19,10.0,1.0,4.0
IBM,10,2023-04-19,2023-12-05,10.0,1.0,0.0
INTC,8,2023-12-14,2024-03-20,10.0,1.25,-1.0
INTU,10,2019-05-01,2022-08-08,10.0,1.0,0.0
ISRG,9,2011-12-29,2024-01-11,10.0,1.1111111111111112,2.0
JNJ,6,2023-10-25,2024-02-06,10.0,1.6666666666666667,0.0
JPM,9,2023-07-11,2024-04-08,10.0,1.1111111111111112,0.0
KO,9,2019-04-23,2024-01-30,10.0,1.1111111111111112,2.0
LIN,0,,,0.0,0.0,0.0
LLY,10,2023-10-05,2024-04-03,10.0,1.0,0.0
LMT,10,2019-08-06,2022-10-31,10.0,1.0,-1.0
LOW,10,2022-05-18,2023-06-08,10.0,1.0,-4.0
LRCX,10,2012-10-01,2024-01-19,10.0,1.0,-3.0
MA,10,2022-01-18,2023-08-19,10.0,1.0,3.0
MCD,9,2023-09-11,2023-12-12,10.0,1.1111111111111112,1.0
MDLZ,9,2016-07-01,2023-11-14,9.0,1.0,0.0
MDT,9,2018-10-22,2021-08-25,10.0,1.1111111111111112,3.0
META,9,2023-09-22,2024-04-11,10.0,1.1111111111111112,2.0
MMM,9,2021-12-15,2023-06-05,10.0,1.1111111111111112,-8.0
MO,8,2018-12-07,2020-02-28,10.0,1.25,0.0
MRK,10,2021-12-13,2023-01-04,10.0,1.0,8.0
MS,8,2024-02-01,2024-04-19,10.0,1.25,1.0
MSFT,10,2024-02-12,2024-03-15,10.0,1.0,0.0
MU,9,2021-12-21,2024-03-27,10.0,1.1111111111111112,0.0
NEE,10,2016-07-29,2024-04-19,10.0,1.0,1.0
NFLX,9,2024-03-04,2024-03-27,10.0,1.1111111111111112,1.0
NKE,6,2023-12-21,2024-02-16,10.0,1.6666666666666667,-4.0
NOW,9,2019-10-22,2024-04-18,10.0,1.1111111111111112,0.0
NVDA,9,2024-03-24,2024-04-10,10.0,1.1111111111111112,1.0
ORCL,9,2008-10-27,2013-08-07,10.0,1.1111111111111112,-1.0
PEP,9,2022-02-10,2023-07-17,10.0,1.1111111111111112,-1.0
PFE,9,2023-06-26,2023-10-16,10.0,1.1111111111111112,-1.0
PG,9,2021-10-19,2024-04-18,10.0,1.1111111111111112,3.0
PLTR,0,,,0.0,0.0,0.0
PM,9,2007-04-19,2023-11-16,10.0,1.1111111111111112,-3.0
QCOM,8,2023-05-03,2023-11-09,10.0,1.25,0.0
RTX,0,,,0.0,0.0,0.0
SBUX,6,2023-11-02,2024-01-16,10.0,1.6666666666666667,0.0
SCHW,10,2018-01-12,2021-09-13,10.0,1.0,0.0
SO,9,2021-03-21,2024-03-20,10.0,1.1111111111111112,-1.0
SPG,8,2012-10-25,2023-11-02,9.0,1.125,3.0
T,0,,,0.0,0.0,0.0
TMO,10,2008-04-17,2024-04-19,10.0,1.0,0.0
TMUS,10,2007-09-17,2020-02-12,10.0,1.0,1.0
TSLA,8,2024-04-03,2024-04-12,10.0,1.25,0.0
TXN,10,2009-06-08,2024-01-24,10.0,1.0,3.0
UBER,9,2023-08-01,2024-01-02,10.0,1.1111111111111112,-1.0
UNH,10,2015-03-30,2024-02-26,10.0,1.0,0.0
UNP,9,2010-11-29,2020-09-08,10.0,1.1111111111111112,-1.0
UPS,10,2018-04-12,2023-04-05,10.0,1.0,-1.0
USB,9,2024-02-02,2024-04-20,10.0,1.1111111111111112,2.0
V,10,2022-08-02,2024-04-10,10.0,1.0,5.0
VZ,9,2021-08-12,2024-04-19,10.0,1.1111111111111112,-6.0
WFC,7,2024-01-12,2024-04-19,10.0,1.4285714285714286,1.0
WMT,8,2023-10-18,2024-02-14,10.0,1.25,1.0
XOM,8,2010-05-07,2015-04-30,9.0,1.125,-1.0
