Symbol,YahooTicker,Name,Sector,UniverseType,StartDate,EndDate,SnapshotDate,RevisionDate,OldId
AAPL,AAPL,Apple Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
ABBV,ABBV,AbbVie Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
ABT,ABT,Abbott Laboratories,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
ACN,ACN,Accenture plc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
AIG,AIG,American International Group Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
ALL,ALL,Allstate Corp.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
AMGN,AMGN,Amgen Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
AMZN,AMZN,Amazon.com,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
APA,APA,Apache Corp.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
APC,APC,Anadarko Petroleum Corporation,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
AXP,AXP,American Express Inc.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
BA,BA,Boeing Co.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
BAC,BAC,Bank of America Corp,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
BAX,BAX,Baxter International Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
BIIB,BIIB,Biogen Idec,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
BK,BK,Bank of New York,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
BMY,BMY,Bristol-Myers Squibb,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
BRK.B,BRK-B,Berkshire Hathaway,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
C,C,Citigroup Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
CAT,CAT,Caterpillar Inc,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
CL,CL,Colgate-Palmolive Co.,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
CMCSA,CMCSA,Comcast Corporation,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,2015-01-31,2015-02-27,2015-01-31,2015-01-16,642684730
