Symbol,Name,Sector,YahooTicker,SnapshotDate,RevisionDate,OldId
AAPL,Apple Inc.,,AAPL,2015-01-31,2015-01-16,642684730
ABBV,AbbVie Inc.,,ABBV,2015-01-31,2015-01-16,642684730
ABT,Abbott Laboratories,,ABT,2015-01-31,2015-01-16,642684730
ACN,Accenture plc,,ACN,2015-01-31,2015-01-16,642684730
AIG,American International Group Inc.,,AIG,2015-01-31,2015-01-16,642684730
ALL,Allstate Corp.,,ALL,2015-01-31,2015-01-16,642684730
AMGN,Amgen Inc.,,AMGN,2015-01-31,2015-01-16,642684730
AMZN,Amazon.com,,AMZN,2015-01-31,2015-01-16,642684730
APA,Apache Corp.,,APA,2015-01-31,2015-01-16,642684730
APC,Anadarko Petroleum Corporation,,APC,2015-01-31,2015-01-16,642684730
AXP,American Express Inc.,,AXP,2015-01-31,2015-01-16,642684730
BA,Boeing Co.,,BA,2015-01-31,2015-01-16,642684730
BAC,Bank of America Corp,,BAC,2015-01-31,2015-01-16,642684730
BAX,Baxter International Inc,,BAX,2015-01-31,2015-01-16,642684730
BIIB,Biogen Idec,,BIIB,2015-01-31,2015-01-16,642684730
BK,Bank of New York,,BK,2015-01-31,2015-01-16,642684730
BMY,Bristol-Myers Squibb,,BMY,2015-01-31,2015-01-16,642684730
BRK.B,Berkshire Hathaway,,BRK-B,2015-01-31,2015-01-16,642684730
C,Citigroup Inc,,C,2015-01-31,2015-01-16,642684730
CAT,Caterpillar Inc,,CAT,2015-01-31,2015-01-16,642684730
CL,Colgate-Palmolive Co.,,CL,2015-01-31,2015-01-16,642684730
CMCSA,Comcast Corporation,,CMCSA,2015-01-31,2015-01-16,642684730
COF,Capital One Financial Corp.,,COF,2015-01-31,2015-01-16,642684730
COP,ConocoPhillips,,COP,2015-01-31,2015-01-16,642684730
COST,Costco,,COST,2015-01-31,2015-01-16,642684730
CSCO,Cisco Systems,,CSCO,2015-01-31,2015-01-16,642684730
CVS,CVS Caremark,,CVS,2015-01-31,2015-01-16,642684730
CVX,Chevron,,CVX,2015-01-31,2015-01-16,642684730
DD,DuPont,,DD,2015-01-31,2015-01-16,642684730
DIS,The Walt Disney Company,,DIS,2015-01-31,2015-01-16,642684730
DOW,Dow Chemical,,DOW,2015-01-31,2015-01-16,642684730
DVN,Devon Energy,,DVN,2015-01-31,2015-01-16,642684730
EBAY,eBay Inc.,,EBAY,2015-01-31,2015-01-16,642684730
EMC,EMC Corporation,,EMC,2015-01-31,2015-01-16,642684730
EMR,Emerson Electric Co.,,EMR,2015-01-31,2015-01-16,642684730
EXC,Exelon,,EXC,2015-01-31,2015-01-16,642684730
F,Ford Motor,,F,2015-01-31,2015-01-16,642684730
FB,Facebook,,FB,2015-01-31,2015-01-16,642684730
FCX,Freeport-McMoran,,FCX,2015-01-31,2015-01-16,642684730
FDX,FedEx,,FDX,2015-01-31,2015-01-16,642684730
FOXA,"Twenty-First Century Fox, Inc",,FOXA,2015-01-31,2015-01-16,642684730
GD,General Dynamics,,GD,2015-01-31,2015-01-16,642684730
GE,General Electric Co.,,GE,2015-01-31,2015-01-16,642684730
GILD,Gilead Sciences,,GILD,2015-01-31,2015-01-16,642684730
GM,General Motors,,GM,2015-01-31,2015-01-16,642684730
GOOG,Google Inc.,,GOOG,2015-01-31,2015-01-16,642684730
GS,Goldman Sachs,,GS,2015-01-31,2015-01-16,642684730
HAL,Halliburton,,HAL,2015-01-31,2015-01-16,642684730
HD,Home Depot,,HD,2015-01-31,2015-01-16,642684730
HON,Honeywell,,HON,2015-01-31,2015-01-16,642684730
HPQ,Hewlett Packard Co,,HPQ,2015-01-31,2015-01-16,642684730
IBM,International Business Machines,,IBM,2015-01-31,2015-01-16,642684730
INTC,Intel Corporation,,INTC,2015-01-31,2015-01-16,642684730
JNJ,Johnson & Johnson Inc,,JNJ,2015-01-31,2015-01-16,642684730
JPM,JP Morgan Chase & Co,,JPM,2015-01-31,2015-01-16,642684730
KO,The Coca-Cola Company,,KO,2015-01-31,2015-01-16,642684730
LLY,Eli Lilly and Company,,LLY,2015-01-31,2015-01-16,642684730
LMT,Lockheed-Martin,,LMT,2015-01-31,2015-01-16,642684730
LOW,Lowe's,,LOW,2015-01-31,2015-01-16,642684730
MA,Mastercard Inc,,MA,2015-01-31,2015-01-16,642684730
MCD,McDonald's Corp,,MCD,2015-01-31,2015-01-16,642684730
MDLZ,Mondelēz International,,MDLZ,2015-01-31,2015-01-16,642684730
MDT,Medtronic Inc.,,MDT,2015-01-31,2015-01-16,642684730
MET,Metlife Inc.,,MET,2015-01-31,2015-01-16,642684730
MMM,3M Company,,MMM,2015-01-31,2015-01-16,642684730
MO,Altria Group,,MO,2015-01-31,2015-01-16,642684730
MON,Monsanto,,MON,2015-01-31,2015-01-16,642684730
MRK,Merck & Co.,,MRK,2015-01-31,2015-01-16,642684730
MS,Morgan Stanley,,MS,2015-01-31,2015-01-16,642684730
MSFT,Microsoft,,MSFT,2015-01-31,2015-01-16,642684730
NKE,Nike,,NKE,2015-01-31,2015-01-16,642684730
NOV,National Oilwell Varco,,NOV,2015-01-31,2015-01-16,642684730
NSC,Norfolk Southern Corp,,NSC,2015-01-31,2015-01-16,642684730
ORCL,Oracle Corporation,,ORCL,2015-01-31,2015-01-16,642684730
OXY,Occidental Petroleum Corp.,,OXY,2015-01-31,2015-01-16,642684730
PEP,Pepsico Inc.,,PEP,2015-01-31,2015-01-16,642684730
PFE,Pfizer Inc,,PFE,2015-01-31,2015-01-16,642684730
PG,Procter & Gamble Co,,PG,2015-01-31,2015-01-16,642684730
PM,Phillip Morris International,,PM,2015-01-31,2015-01-16,642684730
QCOM,Qualcomm Inc.,,QCOM,2015-01-31,2015-01-16,642684730
RTN,Raytheon Co (NEW),,RTN,2015-01-31,2015-01-16,642684730
SBUX,Starbucks Corporation,,SBUX,2015-01-31,2015-01-16,642684730
SLB,Schlumberger,,SLB,2015-01-31,2015-01-16,642684730
SO,Southern Company,,SO,2015-01-31,2015-01-16,642684730
SPG,"Simon Property Group, Inc.",,SPG,2015-01-31,2015-01-16,642684730
T,AT&T Inc,,T,2015-01-31,2015-01-16,642684730
TGT,Target Corp.,,TGT,2015-01-31,2015-01-16,642684730
TWX,Time Warner Inc.,,TWX,2015-01-31,2015-01-16,642684730
TXN,Texas Instruments,,TXN,2015-01-31,2015-01-16,642684730
UNH,UnitedHealth Group Inc.,,UNH,2015-01-31,2015-01-16,642684730
UNP,Union Pacific Corp.,,UNP,2015-01-31,2015-01-16,642684730
UPS,United Parcel Service Inc,,UPS,2015-01-31,2015-01-16,642684730
USB,US Bancorp,,USB,2015-01-31,2015-01-16,642684730
UTX,United Technologies Corp,,UTX,2015-01-31,2015-01-16,642684730
V,Visa Inc.,,V,2015-01-31,2015-01-16,642684730
VZ,Verizon Communications Inc,,VZ,2015-01-31,2015-01-16,642684730
WBA,Walgreens,,WBA,2015-01-31,2015-01-16,642684730
WFC,Wells Fargo,,WFC,2015-01-31,2015-01-16,642684730
WMT,Wal-Mart,,WMT,2015-01-31,2015-01-16,642684730
XOM,Exxon Mobil Corp,,XOM,2015-01-31,2015-01-16,642684730
AAPL,Apple Inc.,,AAPL,2015-02-28,2015-02-14,647149485
ABBV,AbbVie Inc.,,ABBV,2015-02-28,2015-02-14,647149485
ABT,Abbott Laboratories,,ABT,2015-02-28,2015-02-14,647149485
ACN,Accenture plc,,ACN,2015-02-28,2015-02-14,647149485
AIG,American International Group Inc.,,AIG,2015-02-28,2015-02-14,647149485
ALL,Allstate Corp.,,ALL,2015-02-28,2015-02-14,647149485
AMGN,Amgen Inc.,,AMGN,2015-02-28,2015-02-14,647149485
AMZN,Amazon.com,,AMZN,2015-02-28,2015-02-14,647149485
APA,Apache Corp.,,APA,2015-02-28,2015-02-14,647149485
APC,Anadarko Petroleum Corporation,,APC,2015-02-28,2015-02-14,647149485
AXP,American Express Inc.,,AXP,2015-02-28,2015-02-14,647149485
BA,Boeing Co.,,BA,2015-02-28,2015-02-14,647149485
BAC,Bank of America Corp,,BAC,2015-02-28,2015-02-14,647149485
BAX,Baxter International Inc,,BAX,2015-02-28,2015-02-14,647149485
BIIB,Biogen Idec,,BIIB,2015-02-28,2015-02-14,647149485
BK,Bank of New York,,BK,2015-02-28,2015-02-14,647149485
BMY,Bristol-Myers Squibb,,BMY,2015-02-28,2015-02-14,647149485
BRK.B,Berkshire Hathaway,,BRK-B,2015-02-28,2015-02-14,647149485
C,Citigroup Inc,,C,2015-02-28,2015-02-14,647149485
CAT,Caterpillar Inc,,CAT,2015-02-28,2015-02-14,647149485
CL,Colgate-Palmolive Co.,,CL,2015-02-28,2015-02-14,647149485
CMCSA,Comcast Corporation,,CMCSA,2015-02-28,2015-02-14,647149485
COF,Capital One Financial Corp.,,COF,2015-02-28,2015-02-14,647149485
COP,ConocoPhillips,,COP,2015-02-28,2015-02-14,647149485
COST,Costco,,COST,2015-02-28,2015-02-14,647149485
CSCO,Cisco Systems,,CSCO,2015-02-28,2015-02-14,647149485
CVS,CVS Caremark,,CVS,2015-02-28,2015-02-14,647149485
CVX,Chevron,,CVX,2015-02-28,2015-02-14,647149485
DD,DuPont,,DD,2015-02-28,2015-02-14,647149485
DIS,The Walt Disney Company,,DIS,2015-02-28,2015-02-14,647149485
DOW,Dow Chemical,,DOW,2015-02-28,2015-02-14,647149485
DVN,Devon Energy,,DVN,2015-02-28,2015-02-14,647149485
EBAY,eBay Inc.,,EBAY,2015-02-28,2015-02-14,647149485
EMC,EMC Corporation,,EMC,2015-02-28,2015-02-14,647149485
EMR,Emerson Electric Co.,,EMR,2015-02-28,2015-02-14,647149485
EXC,Exelon,,EXC,2015-02-28,2015-02-14,647149485
F,Ford Motor,,F,2015-02-28,2015-02-14,647149485
FB,Facebook,,FB,2015-02-28,2015-02-14,647149485
FCX,Freeport-McMoran,,FCX,2015-02-28,2015-02-14,647149485
FDX,FedEx,,FDX,2015-02-28,2015-02-14,647149485
FOXA,"Twenty-First Century Fox, Inc",,FOXA,2015-02-28,2015-02-14,647149485
GD,General Dynamics,,GD,2015-02-28,2015-02-14,647149485
GE,General Electric Co.,,GE,2015-02-28,2015-02-14,647149485
GILD,Gilead Sciences,,GILD,2015-02-28,2015-02-14,647149485
GM,General Motors,,GM,2015-02-28,2015-02-14,647149485
GOOG,Google Inc.,,GOOG,2015-02-28,2015-02-14,647149485
GS,Goldman Sachs,,GS,2015-02-28,2015-02-14,647149485
HAL,Halliburton,,HAL,2015-02-28,2015-02-14,647149485
HD,Home Depot,,HD,2015-02-28,2015-02-14,647149485
HON,Honeywell,,HON,2015-02-28,2015-02-14,647149485
HPQ,Hewlett Packard Co,,HPQ,2015-02-28,2015-02-14,647149485
IBM,International Business Machines,,IBM,2015-02-28,2015-02-14,647149485
INTC,Intel Corporation,,INTC,2015-02-28,2015-02-14,647149485
JNJ,Johnson & Johnson Inc,,JNJ,2015-02-28,2015-02-14,647149485
JPM,JP Morgan Chase & Co,,JPM,2015-02-28,2015-02-14,647149485
KO,The Coca-Cola Company,,KO,2015-02-28,2015-02-14,647149485
LLY,Eli Lilly and Company,,LLY,2015-02-28,2015-02-14,647149485
LMT,Lockheed-Martin,,LMT,2015-02-28,2015-02-14,647149485
LOW,Lowe's,,LOW,2015-02-28,2015-02-14,647149485
MA,Mastercard Inc,,MA,2015-02-28,2015-02-14,647149485
MCD,McDonald's Corp,,MCD,2015-02-28,2015-02-14,647149485
MDLZ,Mondelēz International,,MDLZ,2015-02-28,2015-02-14,647149485
MDT,Medtronic Inc.,,MDT,2015-02-28,2015-02-14,647149485
MET,Metlife Inc.,,MET,2015-02-28,2015-02-14,647149485
MMM,3M Company,,MMM,2015-02-28,2015-02-14,647149485
MO,Altria Group,,MO,2015-02-28,2015-02-14,647149485
MON,Monsanto,,MON,2015-02-28,2015-02-14,647149485
MRK,Merck & Co.,,MRK,2015-02-28,2015-02-14,647149485
MS,Morgan Stanley,,MS,2015-02-28,2015-02-14,647149485
MSFT,Microsoft,,MSFT,2015-02-28,2015-02-14,647149485
NKE,Nike,,NKE,2015-02-28,2015-02-14,647149485
NOV,National Oilwell Varco,,NOV,2015-02-28,2015-02-14,647149485
NSC,Norfolk Southern Corp,,NSC,2015-02-28,2015-02-14,647149485
ORCL,Oracle Corporation,,ORCL,2015-02-28,2015-02-14,647149485
OXY,Occidental Petroleum Corp.,,OXY,2015-02-28,2015-02-14,647149485
PEP,Pepsico Inc.,,PEP,2015-02-28,2015-02-14,647149485
PFE,Pfizer Inc,,PFE,2015-02-28,2015-02-14,647149485
PG,Procter & Gamble Co,,PG,2015-02-28,2015-02-14,647149485
PM,Phillip Morris International,,PM,2015-02-28,2015-02-14,647149485
QCOM,Qualcomm Inc.,,QCOM,2015-02-28,2015-02-14,647149485
RTN,Raytheon Co (NEW),,RTN,2015-02-28,2015-02-14,647149485
SBUX,Starbucks Corporation,,SBUX,2015-02-28,2015-02-14,647149485
SLB,Schlumberger,,SLB,2015-02-28,2015-02-14,647149485
SO,Southern Company,,SO,2015-02-28,2015-02-14,647149485
SPG,"Simon Property Group, Inc.",,SPG,2015-02-28,2015-02-14,647149485
T,AT&T Inc,,T,2015-02-28,2015-02-14,647149485
TGT,Target Corp.,,TGT,2015-02-28,2015-02-14,647149485
TWX,Time Warner Inc.,,TWX,2015-02-28,2015-02-14,647149485
TXN,Texas Instruments,,TXN,2015-02-28,2015-02-14,647149485
UNH,UnitedHealth Group Inc.,,UNH,2015-02-28,2015-02-14,647149485
UNP,Union Pacific Corp.,,UNP,2015-02-28,2015-02-14,647149485
UPS,United Parcel Service Inc,,UPS,2015-02-28,2015-02-14,647149485
USB,US Bancorp,,USB,2015-02-28,2015-02-14,647149485
UTX,United Technologies Corp,,UTX,2015-02-28,2015-02-14,647149485
V,Visa Inc.,,V,2015-02-28,2015-02-14,647149485
VZ,Verizon Communications Inc,,VZ,2015-02-28,2015-02-14,647149485
WBA,Walgreens Boots Alliance,,WBA,2015-02-28,2015-02-14,647149485
WFC,Wells Fargo,,WFC,2015-02-28,2015-02-14,647149485
WMT,Wal-Mart,,WMT,2015-02-28,2015-02-14,647149485
XOM,Exxon Mobil Corp,,XOM,2015-02-28,2015-02-14,647149485
AAPL,Apple Inc.,,AAPL,2015-03-31,2015-03-19,652070593
ABBV,AbbVie Inc.,,ABBV,2015-03-31,2015-03-19,652070593
ABT,Abbott Laboratories,,ABT,2015-03-31,2015-03-19,652070593
ACN,Accenture plc,,ACN,2015-03-31,2015-03-19,652070593
AIG,American International Group Inc.,,AIG,2015-03-31,2015-03-19,652070593
ALL,Allstate Corp.,,ALL,2015-03-31,2015-03-19,652070593
AMGN,Amgen Inc.,,AMGN,2015-03-31,2015-03-19,652070593
AMZN,Amazon.com,,AMZN,2015-03-31,2015-03-19,652070593
APA,Apache Corp.,,APA,2015-03-31,2015-03-19,652070593
APC,Anadarko Petroleum Corporation,,APC,2015-03-31,2015-03-19,652070593
AXP,American Express Inc.,,AXP,2015-03-31,2015-03-19,652070593
BA,Boeing Co.,,BA,2015-03-31,2015-03-19,652070593
BAC,Bank of America Corp,,BAC,2015-03-31,2015-03-19,652070593
BAX,Baxter International Inc,,BAX,2015-03-31,2015-03-19,652070593
BIIB,Biogen Idec,,BIIB,2015-03-31,2015-03-19,652070593
BK,Bank of New York,,BK,2015-03-31,2015-03-19,652070593
BMY,Bristol-Myers Squibb,,BMY,2015-03-31,2015-03-19,652070593
BRK.B,Berkshire Hathaway,,BRK-B,2015-03-31,2015-03-19,652070593
C,Citigroup Inc,,C,2015-03-31,2015-03-19,652070593
CAT,Caterpillar Inc,,CAT,2015-03-31,2015-03-19,652070593
CL,Colgate-Palmolive Co.,,CL,2015-03-31,2015-03-19,652070593
CMCSA,Comcast Corporation,,CMCSA,2015-03-31,2015-03-19,652070593
COF,Capital One Financial Corp.,,COF,2015-03-31,2015-03-19,652070593
COP,ConocoPhillips,,COP,2015-03-31,2015-03-19,652070593
COST,Costco,,COST,2015-03-31,2015-03-19,652070593
CSCO,Cisco Systems,,CSCO,2015-03-31,2015-03-19,652070593
CVS,CVS Caremark,,CVS,2015-03-31,2015-03-19,652070593
CVX,Chevron,,CVX,2015-03-31,2015-03-19,652070593
DD,DuPont,,DD,2015-03-31,2015-03-19,652070593
DIS,The Walt Disney Company,,DIS,2015-03-31,2015-03-19,652070593
DOW,Dow Chemical,,DOW,2015-03-31,2015-03-19,652070593
DVN,Devon Energy,,DVN,2015-03-31,2015-03-19,652070593
EBAY,eBay Inc.,,EBAY,2015-03-31,2015-03-19,652070593
EMC,EMC Corporation,,EMC,2015-03-31,2015-03-19,652070593
EMR,Emerson Electric Co.,,EMR,2015-03-31,2015-03-19,652070593
EXC,Exelon,,EXC,2015-03-31,2015-03-19,652070593
F,Ford Motor,,F,2015-03-31,2015-03-19,652070593
FB,Facebook,,FB,2015-03-31,2015-03-19,652070593
FCX,Freeport-McMoran,,FCX,2015-03-31,2015-03-19,652070593
FDX,FedEx,,FDX,2015-03-31,2015-03-19,652070593
FOXA,"Twenty-First Century Fox, Inc",,FOXA,2015-03-31,2015-03-19,652070593
