TradeDate,AsOfDate,Symbol,Sector,TargetWeight,CurrentPriceUSD,TargetNotionalUSD,OrderShares,OrderNotionalUSD,Action
2026-03-30,2026-03-27,BK,Financials,0.05,114.66000366210938,1000.0,8,917.28,BUY
2026-03-30,2026-03-27,C,Financials,0.05,107.37999725341795,1000.0,9,966.42,BUY
2026-03-30,2026-03-27,CAT,Industrials,0.05,695.4000244140625,1000.0,1,695.4,BUY
2026-03-30,2026-03-27,CVS,Health Care,0.05,70.08000183105469,1000.0,14,981.12,BUY
2026-03-30,2026-03-27,GE,Industrials,0.05,282.8099975585937,1000.0,3,848.43,BUY
2026-03-30,2026-03-27,GEV,Industrials,0.05,853.1599731445312,1000.0,1,853.16,BUY
2026-03-30,2026-03-27,GM,Consumer Discretionary,0.05,72.9800033569336,1000.0,13,948.74,BUY
2026-03-30,2026-03-27,GOOG,Communication Services,0.05,273.760009765625,1000.0,3,821.28,BUY
2026-03-30,2026-03-27,GOOGL,Communication Services,0.05,274.3399963378906,1000.0,3,823.02,BUY
2026-03-30,2026-03-27,GS,Financials,0.05,802.8900146484375,1000.0,1,802.89,BUY
2026-03-30,2026-03-27,JNJ,Health Care,0.05,240.4499969482422,1000.0,4,961.8,BUY
2026-03-30,2026-03-27,LLY,Health Care,0.05,878.239990234375,1000.0,1,878.24,BUY
2026-03-30,2026-03-27,LRCX,Information Technology,0.05,211.41000366210935,1000.0,4,845.64,BUY
2026-03-30,2026-03-27,MO,Consumer Staples,0.05,66.4800033569336,1000.0,15,997.2,BUY
2026-03-30,2026-03-27,MU,Information Technology,0.05,357.2200012207031,1000.0,2,714.44,BUY
2026-03-30,2026-03-27,NEE,Utilities,0.05,91.4000015258789,1000.0,10,914.0,BUY
2026-03-30,2026-03-27,NFLX,Communication Services,0.05,93.43000030517578,1000.0,10,934.3,BUY
2026-03-30,2026-03-27,PLTR,Information Technology,0.05,143.05999755859375,1000.0,6,858.36,BUY
2026-03-30,2026-03-27,PM,Consumer Staples,0.05,163.5399932861328,1000.0,6,981.24,BUY
2026-03-30,2026-03-27,WMT,Consumer Staples,0.05,122.88999938964844,1000.0,8,983.12,BUY
