TradeDate,AsOfDate,Symbol,Sector,TargetWeight,CurrentPriceUSD,TargetNotionalUSD,OrderShares,OrderNotionalUSD,Action
2026-03-30,2026-03-27,C,Financials,0.05,107.37999725341795,250.0,2,214.76,BUY
2026-03-30,2026-03-27,CAT,Industrials,0.05,695.4000244140625,250.0,0,0.0,BUY
2026-03-30,2026-03-27,FDX,Industrials,0.05,343.9700012207031,250.0,0,0.0,BUY
2026-03-30,2026-03-27,GE,Industrials,0.05,282.8099975585937,250.0,0,0.0,BUY
2026-03-30,2026-03-27,GILD,Health Care,0.05,134.25,250.0,1,134.25,BUY
2026-03-30,2026-03-27,GM,Consumer Discretionary,0.05,72.9800033569336,250.0,3,218.94,BUY
2026-03-30,2026-03-27,GOOG,Communication Services,0.05,273.760009765625,250.0,0,0.0,BUY
2026-03-30,2026-03-27,GS,Financials,0.05,802.8900146484375,250.0,0,0.0,BUY
2026-03-30,2026-03-27,INTC,Information Technology,0.05,43.130001068115234,250.0,5,215.65,BUY
2026-03-30,2026-03-27,JNJ,Health Care,0.05,240.4499969482422,250.0,1,240.45,BUY
2026-03-30,2026-03-27,MO,Consumer Staples,0.05,66.4800033569336,250.0,3,199.44,BUY
2026-03-30,2026-03-27,MRK,Health Care,0.05,119.62999725341795,250.0,2,239.26,BUY
2026-03-30,2026-03-27,MS,Financials,0.05,158.38999938964844,250.0,1,158.39,BUY
2026-03-30,2026-03-27,WMT,Consumer Staples,0.05,122.88999938964844,250.0,2,245.78,BUY
2026-03-30,2026-03-27,XOM,Energy,0.05,170.99000549316406,250.0,1,170.99,BUY
2026-03-30,2026-03-27,NEE,Utilities,0.05,91.4000015258789,250.0,2,182.8,BUY
2026-03-30,2026-03-27,GOOGL,Communication Services,0.05,274.3399963378906,250.0,0,0.0,BUY
2026-03-30,2026-03-27,TSLA,Consumer Discretionary,0.05,361.8299865722656,250.0,0,0.0,BUY
2026-03-30,2026-03-27,AVGO,Information Technology,0.05,300.67999267578125,250.0,0,0.0,BUY
2026-03-30,2026-03-27,AMD,Information Technology,0.05,201.9900054931641,250.0,1,201.99,BUY
