Symbol,YahooTicker,Name,Sector,UniverseType,Status,Bars,FirstDate,LastDate
MDLZ,MDLZ,Mondelēz International,Consumer Staples,STATIC_CURRENT_MEMBERSHIP,EMPTY,0,,
AAPL,AAPL,Apple Inc.,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
ABBV,ABBV,AbbVie,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
ABT,ABT,Abbott Laboratories,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
ACN,ACN,Accenture,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
ADBE,ADBE,Adobe Inc.,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
AMAT,AMAT,Applied Materials,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
AMD,AMD,Advanced Micro Devices,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
AMGN,AMGN,Amgen,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
AMT,AMT,American Tower,Real Estate,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
AMZN,AMZN,Amazon,Consumer Discretionary,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
AVGO,AVGO,Broadcom,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
AXP,AXP,American Express,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
BA,BA,Boeing,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
BAC,BAC,Bank of America,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
BK,BK,BNY Mellon,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
BKNG,BKNG,Booking Holdings,Consumer Discretionary,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
BLK,BLK,BlackRock,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
BMY,BMY,Bristol Myers Squibb,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
BRK.B,BRK-B,Berkshire Hathaway (Class B),Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
C,C,Citigroup,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
CAT,CAT,Caterpillar Inc.,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
CL,CL,Colgate-Palmolive,Consumer Staples,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
CMCSA,CMCSA,Comcast,Communication Services,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
COF,COF,Capital One,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
COP,COP,ConocoPhillips,Energy,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
COST,COST,Costco,Consumer Staples,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
CRM,CRM,Salesforce,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
CSCO,CSCO,Cisco,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
CVS,CVS,CVS Health,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
CVX,CVX,Chevron Corporation,Energy,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
DE,DE,Deere & Company,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
DHR,DHR,Danaher Corporation,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
DIS,DIS,Walt Disney Company (The),Communication Services,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
DUK,DUK,Duke Energy,Utilities,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
EMR,EMR,Emerson Electric,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
FDX,FDX,FedEx,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
GD,GD,General Dynamics,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
GE,GE,GE Aerospace,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
GEV,GEV,GE Vernova,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,501,2024-03-27,2026-03-26
GILD,GILD,Gilead Sciences,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
GM,GM,General Motors,Consumer Discretionary,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
GOOG,GOOG,Alphabet Inc. (Class C),Communication Services,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
GS,GS,Goldman Sachs,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
HD,HD,Home Depot,Consumer Discretionary,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
HON,HON,Honeywell,Industrials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
IBM,IBM,IBM,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
INTC,INTC,Intel,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
INTU,INTU,Intuit,Information Technology,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
ISRG,ISRG,Intuitive Surgical,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
JNJ,JNJ,Johnson & Johnson,Health Care,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
JPM,JPM,JPMorgan Chase,Financials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
KO,KO,Coca-Cola Company (The),Consumer Staples,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
LIN,LIN,Linde plc,Materials,STATIC_CURRENT_MEMBERSHIP,OK,2824,2015-01-02,2026-03-26
