Symbol,YahooTicker,Name,Sector,UniverseType,Status,Bars,FirstDate,LastDate
AGN,AGN,Allergan,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,EMPTY,0,,
CELG,CELG,Celgene Corp,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,EMPTY,0,,
DWDP,DWDP,DowDuPont,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,EMPTY,0,,
MON,MON,Monsanto,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,EMPTY,0,,
RTN,RTN,Raytheon Co (NEW),,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,EMPTY,0,,
UTX,UTX,United Technologies,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,EMPTY,0,,
WBA,WBA,Walgreens Boots Alliance,Consumer Staples,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,EMPTY,0,,
AAPL,AAPL,Apple,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
ABBV,ABBV,AbbVie,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
ABT,ABT,Abbott,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
ACN,ACN,Accenture,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
ADBE,ADBE,Adobe,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
AIG,AIG,AIG,Financials,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
ALL,ALL,Allstate,,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
AMAT,AMAT,Applied Materials,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
AMD,AMD,AMD,Information Technology,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
AMGN,AMGN,Amgen,Health Care,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
AMT,AMT,American Tower,Real Estate,WIKIPEDIA_REVISION_POINT_IN_TIME_APPROX,OK,2825,2015-01-02,2026-03-27
