Strategy,FinalNAV,CAGR,MDD,Sharpe,AvgTurnover,AnnualTurnover,AvgGrossExposure,AvgHoldings,RebalanceCount,BuyTrades,SellTrades,RangeDaysPct,UptrendDaysPct,DowntrendDaysPct,TransitionDaysPct,OscEntryCount,OscExitCount,OscStopCount,RotationSignalAvg,AvgStockSleeve,AvgEtfSleeve,FirstRebalance,LastRebalance,RunId,RunStartedAt
Daily Top20,1.7891932347793733,0.0744004466601251,-0.1336745483165495,0.8721013211152449,0.0457821452647535,11.22136847168155,0.233676249341359,5.478610971313538,1987,990,964,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.5,0.5,2018-02-12,2026-03-23,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Top20,1.8100523475482055,0.0759377080451839,-0.1265160943296189,0.9116152929351756,0.1037477535581953,9.700625186168583,0.5578973852311214,5.112732762959235,758,853,827,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.5,0.5,2018-02-23,2026-03-23,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Buffer 20/25,1.845756868620133,0.0785333558867562,-0.124346609047593,0.9357390854573644,0.0959642840801396,8.878154701183133,0.5540044810560435,5.112732762959235,750,761,735,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.5,0.5,2018-02-23,2026-03-23,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 MADScale,2.853599043161278,0.1380841065135893,-0.1705786094359196,1.2174866788477483,0.0623435882712098,13.796408691391608,0.5355159826122917,30.540513336688477,1794,381,347,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.5,0.5,2018-02-23,2026-03-23,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 MADScale,2.8581163853031573,0.138306189380589,-0.1705786094359193,1.2193398544971206,0.0633517947337209,13.78508095195243,0.5434896104344962,30.46250629089079,1764,381,347,0.0,0.2429577464788732,0.7570422535211268,0.0,0,0,0,0.0,0.5,0.5,2018-02-23,2026-03-23,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RegimeState,2.3102344789324185,0.1088129337539265,-0.1229806139509721,1.0774045174956894,0.0568338769782865,9.33119264328633,0.5107555805449306,9.280825364871664,1331,544,510,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,0.0,0.2272727272727272,0.7727272727272727,2018-02-23,2026-03-23,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 Rotation,2.3177556996711526,0.1092575890304612,-0.1235886114955545,1.0745190467872758,0.0581530532158557,9.54777979618998,0.5103675191780019,9.280825364871664,1331,544,510,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,-0.0527563725347375,0.2378240017796747,0.7621759982203252,2018-02-23,2026-03-23,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RangeOsc,2.310234478932418,0.1088129337539265,-0.1229806139509721,1.0774045174956894,0.0568338769782865,9.331192643286332,0.5107555805449306,9.280825364871664,1331,544,510,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,4,4,1,0.0,0.2272727272727272,0.7727272727272727,2018-02-23,2026-03-23,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RegimeState,2.3303284887887044,0.1099980767206187,-0.1232301677021743,1.0897258369095777,0.0574258353126103,8.691679449142608,0.5238884545105678,8.928535480624056,1227,474,440,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,0.0,0.2176039119804401,0.78239608801956,2018-02-23,2026-03-23,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 Rotation,2.3438887894887546,0.1107928094652914,-0.1238379922425194,1.0898382774292987,0.0586387500515022,8.8752599935474,0.5235230285198724,8.928535480624056,1227,474,440,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0,0,0,-0.0513313032069902,0.2278701726218381,0.7721298273781618,2018-02-23,2026-03-23,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RangeOsc,2.3303284887887035,0.1099980767206187,-0.1232301677021743,1.0897258369095777,0.0574258353126103,8.691679449142608,0.5238884545105678,8.928535480624056,1227,474,440,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,4,4,1,0.0,0.2176039119804401,0.78239608801956,2018-02-23,2026-03-23,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
