StrategyName,RoundtripCostPct,CAGR_gross,CAGR_net,CAGR_drag,AnnualTurnover,Trades,MDD_net,Sharpe_net,FinalNAV_net,AvgTurnover,AvgHoldings,RebalanceCount,RunId,RunStartedAt
Biweekly Score50 MADScale,0.2,0.1509190727579334,0.1351743580730993,0.0157447146848341,13.78508095195243,728,-0.1706948211115138,1.1946764627246629,2.7949880220855503,0.0633517947337209,30.46250629089079,1764,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 MADScale,0.2,0.1507049877974327,0.1349503073112006,0.015754680486232,13.796408691391608,728,-0.170694821111514,1.1928046189606665,2.790519052331028,0.0623435882712098,30.540513336688477,1794,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Buffer 20/25,0.2,0.1365681855361464,0.1202965037229146,0.0162716818132317,14.425874157361989,3626,-0.1594276376256008,1.0500745998226138,2.5114898776075174,0.0665608042143717,19.54302969300453,1757,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Top20,0.2,0.1352662449276844,0.1170450037953894,0.018221241132295,16.189323147091827,4366,-0.1597094872520155,1.0316500156883968,2.4530034898816004,0.0744009179537807,19.54302969300453,1764,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Daily Top20,0.2,0.1335271327155325,0.1148332710061939,0.0186938617093386,16.640740321722152,4440,-0.1597310327877582,1.0121062230443685,2.4139055063368047,0.0678926810615603,19.576245596376445,1987,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 Rotation,0.2,0.1187037769599697,0.1088235936732266,0.009880183286743,8.8752599935474,914,-0.1258224823052416,1.072326404627456,2.3104145378827154,0.0586387500515022,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RangeOsc,0.2,0.1177395038245852,0.1080708856262959,0.0096686181982892,8.691679449142608,914,-0.1252078285070383,1.072450195452506,2.2977305801239063,0.0574258353126103,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RegimeState,0.2,0.1177395038245852,0.1080708856262959,0.0096686181982892,8.691679449142608,914,-0.1252078285070383,1.072450195452506,2.2977305801239063,0.0574258353126103,8.928535480624056,1227,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 Rotation,0.2,0.1177577723691321,0.1071424087252701,0.0106153636438619,9.54777979618998,1054,-0.1255873228744897,1.0557280132058076,2.28216884451878,0.0581530532158557,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RangeOsc,0.2,0.1171165419899988,0.1067464441687702,0.0103700978212286,9.331192643286332,1054,-0.1249725037304223,1.0589037152763991,2.2755604356086523,0.0568338769782865,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 RegimeState,0.2,0.1171165419899988,0.1067464441687702,0.0103700978212286,9.33119264328633,1054,-0.1249725037304223,1.0589037152763991,2.2755604356086523,0.0568338769782865,9.280825364871664,1331,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 MADScale,0.35,0.1509190727579334,0.1235055958210538,0.0274134769368796,13.78508095195243,728,-0.1711304766918204,1.1021174194839445,2.5704085058278694,0.0633517947337209,30.46250629089079,1764,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 MADScale,0.35,0.1507049877974327,0.1232742765721712,0.0274307112252614,13.796408691391608,728,-0.1711304766918207,1.100175882409819,2.5661213511866867,0.0623435882712098,30.540513336688477,1794,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Buffer 20/25,0.35,0.1365681855361464,0.1082437811263921,0.0283244044097543,14.425874157361989,3626,-0.1653472449534815,0.9555476736414896,2.300638645967494,0.0665608042143717,19.54302969300453,1757,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Top20,0.35,0.1352662449276844,0.1035690105151563,0.0316972344125281,16.189323147091827,4366,-0.1691866512218317,0.9248989080096632,2.2231355254082987,0.0744009179537807,19.54302969300453,1764,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
