Symbol,FirstDate,LastDate,YearsAvailable,TotalBars,CommonStartDate,CommonEndDate,CommonYears,RunId,RunStartedAt
E_0000D0,2024-12-17,2026-03-24,1.264887,305,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
E_0000J0,2024-12-24,2026-03-24,1.245722,300,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
E_0000Z0,2024-12-24,2026-03-24,1.245722,300,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
E_069500,2018-02-12,2026-03-24,8.109514,1988,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
E_360750,2020-08-07,2026-03-24,5.626283,1377,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
E_379800,2021-04-09,2026-03-24,4.95551,1213,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
S_000050,2018-02-12,2026-03-24,8.109514,1988,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
S_000490,2018-02-19,2026-03-25,8.093087,1986,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
S_000650,2018-02-12,2026-03-24,8.109514,1988,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
S_001200,2018-02-19,2026-03-25,8.093087,1986,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
S_003230,2018-02-12,2026-03-25,8.112252,1989,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
S_003620,2018-02-19,2026-03-25,8.093087,1986,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
S_006400,2018-02-19,2026-03-25,8.093087,1986,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
S_007810,2018-02-12,2026-03-24,8.109514,1988,2018-02-12,2026-03-24,8.109514,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
