Strategy,MedianCAGR,WorstCAGR,MedianMDD,WorstMDD,CAGR_net_0.5pct,AnnualTurnover,StabilityScore,RangeDaysPct,UptrendDaysPct,DowntrendDaysPct,TransitionDaysPct,OscEntryCount,OscExitCount,OscStopCount,RotationSignalAvg,AvgStockSleeve,AvgEtfSleeve,RunId,RunStartedAt
ScoreN70_P1.0_ROE0.6,0.2190642655066235,0.1078173471593526,-0.0976916413327673,-0.1690912032927476,0.1259662179316782,13.21567661488073,0.6470445457350652,,,,,,,,,,,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
ScoreN70_P1.5_ROE0.6,0.1687619002743259,0.1687619002743259,-0.2171146966558788,-0.2171146966558788,0.1213991925625861,16.55843322470402,0.7772937662612917,,,,,,,,,,,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
ScoreN70_P2.0_ROE0.6,0.17267741141698,0.17267741141698,-0.2189853037282769,-0.2189853037282769,0.1172540580917955,19.37963484813978,0.7885342462581095,,,,,,,,,,,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
ScoreN50_P1.0_ROE0.6,0.1653680066138132,0.1653680066138132,-0.2161952409843438,-0.2161952409843438,0.116193930893875,17.256344383997224,0.7649012339998208,,,,,,,,,,,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
ScoreN50_P1.5_ROE0.6,0.170372331112893,0.170372331112893,-0.2173908852005394,-0.2173908852005394,0.1152570268524892,19.307346483053912,0.7837142341811039,,,,,,,,,,,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 MADScale,0.205795091813812,0.0598587112588753,-0.0793336816382652,-0.1689803115367256,0.1119553049218027,13.78508095195243,0.5516527017489091,0.0,0.2429577464788732,0.7570422535211268,0.0,0.0,0.0,0.0,0.0,0.5,0.5,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Score50 MADScale,0.205795091813812,0.0598587112588753,-0.0793336816382652,-0.1689803115367256,0.1117168905275061,13.796408691391608,0.5516527017489091,0.0,0.2429577464788732,0.7570422535211268,0.0,0.0,0.0,0.0,0.0,0.5,0.5,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Weekly Buffer 20/25,0.3081721475749563,0.0267106688380396,-0.0917309575951534,-0.1608384649290222,0.0963190137145491,14.425874157361989,1.1031385016493236,0.0,0.2429577464788732,0.7570422535211268,0.0,0.0,0.0,0.0,0.0,0.5,0.5,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 Rotation,0.064401873222716,0.0262480065757337,-0.0809848084236005,-0.0946438102111332,0.094162423312808,8.8752599935474,0.1676769828194394,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,0.0,0.0,0.0,-0.0513313032069902,0.2278701726218381,0.7721298273781618,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
Biweekly Score50 RangeOsc,0.064401873222716,0.0273632213646197,-0.0809848084236005,-0.093370975345041,0.093720353402287,8.691679449142608,0.1695498444787538,0.0186116700201207,0.1820925553319919,0.096579476861167,0.7027162977867203,4.0,4.0,1.0,0.0,0.2176039119804401,0.78239608801956,20260326T014328Z_kis_pipeline,2026-03-26T01:43:28.496380+00:00
