StrategyConfig,N,score_power,regime_off_exposure,CAGR,MDD,Sharpe,AnnualTurnover,Trades,CAGR_net_0.5pct_cost,RunId,RunStartedAt
ScoreN30_P2.0_ROE0.4,30,2.0,0.4,0.1040728904716692,-0.1093301407565233,1.0371332960618718,11.839166325020942,537,0.0718875446535847,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
ScoreN30_P2.0_ROE0.2,30,2.0,0.2,0.0979444628492034,-0.0901603246478413,1.0811102697241477,9.648733331384092,537,0.0717858347539515,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
ScoreN50_P2.0_ROE0.4,50,2.0,0.4,0.1036927509083069,-0.1093301407565214,1.0336928175692903,11.82668064526183,493,0.0715522926410392,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
ScoreN70_P2.0_ROE0.4,70,2.0,0.4,0.103614432641319,-0.1093301407565214,1.033022264154426,11.824933282580648,488,0.0714808900140044,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
ScoreN50_P2.0_ROE0.2,50,2.0,0.2,0.0975774916290455,-0.0901603246478384,1.0773750384428769,9.6373238260926,493,0.0714585158555149,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
ScoreN70_P2.0_ROE0.2,70,2.0,0.2,0.0974996073021268,-0.0901603246478384,1.0766363980452784,9.635576463411416,488,0.0713871194772735,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
ScoreN30_P1.5_ROE0.2,30,1.5,0.2,0.0943263376301282,-0.0910481875840039,1.061797694448568,8.698676918384397,537,0.0707932139224905,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
ScoreN30_P1.0_ROE0.2,30,1.0,0.2,0.0909973347073329,-0.0908621436645906,1.0428448741759426,7.619589587328652,537,0.0704186020987238,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
ScoreN50_P1.5_ROE0.2,50,1.5,0.2,0.0937816683249275,-0.0910481875840054,1.056248040419259,8.681714448921445,493,0.0703060624102789,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
ScoreN70_P1.5_ROE0.2,70,1.5,0.2,0.093635801015921,-0.0910481875840054,1.0548620920551952,8.6789999874623,488,0.0701705296675665,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
ScoreN30_P1.5_ROE0.4,30,1.5,0.4,0.0985846178647444,-0.1168431184834185,1.001242444067998,10.499910153213673,537,0.0701342329744127,20260326T060703Z_kis_pipeline,2026-03-26T06:07:03.809318+00:00
