event_id,ticker,name,link_type,rationale
EVT001,007810,코리아써키트,direct_beneficiary,Semiconductor PCB and substrate exposure linked to semiconductor investment cycle
EVT001,053610,프로텍,direct_beneficiary,Semiconductor packaging and equipment exposure
EVT001,080220,제주반도체,direct_beneficiary,Memory-related semiconductor exposure
EVT001,083450,GST,direct_beneficiary,Semiconductor equipment utility and process support exposure
EVT001,095610,테스,direct_beneficiary,Semiconductor equipment exposure
EVT001,217500,러셀,indirect_beneficiary,Semiconductor equipment and manufacturing support exposure
EVT001,240810,원익IPS,direct_beneficiary,Core semiconductor equipment exposure
EVT001,272110,케이엔제이,indirect_beneficiary,Semiconductor process component exposure
EVT002,007810,코리아써키트,direct_beneficiary,Semiconductor PCB and substrate exposure linked to AI supply chain repricing
EVT002,053610,프로텍,direct_beneficiary,Semiconductor packaging and equipment exposure
EVT002,080220,제주반도체,direct_beneficiary,Memory-related semiconductor exposure
EVT002,083450,GST,direct_beneficiary,Semiconductor equipment utility and process support exposure
EVT002,095610,테스,direct_beneficiary,Semiconductor equipment exposure
EVT002,217500,러셀,indirect_beneficiary,Semiconductor equipment and manufacturing support exposure
EVT002,240810,원익IPS,direct_beneficiary,Core semiconductor equipment exposure
EVT002,272110,케이엔제이,indirect_beneficiary,Semiconductor process component exposure
