StrategyName,RoundtripCostPct,CAGR_gross,CAGR_net,CAGR_drag,AnnualTurnover,Trades,MDD_net,Sharpe_net,FinalNAV_net,AvgTurnover,AvgHoldings,RebalanceCount
Biweekly Score50 MADScale,0.2,0.10071370205769825,0.09560544006378802,0.005108261993910235,4.680661657719842,84,-0.03181324146782594,1.6277601503737265,1.1165499270683688,0.0843491695957359,6.531034482758621,67
Weekly Score50 MADScale,0.2,0.08871362993619591,0.08163802785626673,0.0070756020799291885,6.546353545942865,84,-0.03181324146782594,1.387962570153464,1.0993861910000717,0.08320017043152285,7.003448275862069,95
Weekly Buffer 20/25,0.2,0.06464405343638924,0.0569155716825005,0.0077284817538887385,7.308437824322775,162,-0.03493729720136607,1.0449395217615476,1.0691190458656963,0.09288579791855163,5.393103448275862,95
Weekly Top20,0.2,0.05951763841295432,0.051464930014421206,0.008052708398533115,7.651768536539742,176,-0.037643474828254364,0.9492420911687449,1.0624655615401895,0.0972493223708066,5.393103448275862,95
Daily Top20,0.2,0.052341080016286456,0.04316454732133734,0.009176532694949113,8.770105674670667,196,-0.039803813756830286,0.7784667183145988,1.0523472009589128,0.03651364537779758,5.682758620689655,290
Biweekly Score50 MADScale,0.6,0.10071370205769825,0.08545536433854273,0.015258337719155524,4.680661657719842,84,-0.03293395626999529,1.4866146942869725,1.1040725537017233,0.0843491695957359,6.531034482758621,67
Weekly Score50 MADScale,0.6,0.08871362993619591,0.06761478832476597,0.02109884161142994,6.546353545942865,84,-0.03293395626999529,1.1751603241808701,1.0822000340323064,0.08320017043152285,7.003448275862069,95
Weekly Buffer 20/25,0.6,0.06464405343638924,0.041615205084365,0.023028848352024234,7.308437824322775,162,-0.0361818814860132,0.7849302405735192,1.050460361115796,0.09288579791855163,5.393103448275862,95
Weekly Top20,0.6,0.05951763841295432,0.0355307558310729,0.02398688258188142,7.651768536539742,176,-0.03879846435230594,0.6754578301463018,1.0430561559258806,0.0972493223708066,5.393103448275862,95
Daily Top20,0.6,0.052341080016286456,0.02503770899097746,0.027303371025308998,8.770105674670667,196,-0.04911719084951438,0.46901882687008,1.0303083084212892,0.03651364537779758,5.682758620689655,290
Biweekly Score50 MADScale,1.0,0.10071370205769825,0.07539328694281111,0.02532041511488714,4.680661657719842,84,-0.034053710023928874,1.339135372535187,1.0917272162037144,0.0843491695957359,6.531034482758621,67
Weekly Score50 MADScale,1.0,0.08871362993619591,0.05376057439105364,0.034953055545142275,6.546353545942865,84,-0.034053710023928985,0.9541430154740548,1.0652669368822199,0.08320017043152285,7.003448275862069,95
Weekly Buffer 20/25,1.0,0.06464405343638924,0.026521445635163232,0.038122607801226005,7.308437824322775,162,-0.04156874656107035,0.5169264271716384,1.0321092420374844,0.09288579791855163,5.393103448275862,95
Weekly Top20,1.0,0.05951763841295432,0.019822386921953816,0.039695251491000505,7.651768536539742,176,-0.044094298549386624,0.39403553222103826,1.0239823351145096,0.0972493223708066,5.393103448275862,95
Daily Top20,1.0,0.052341080016286456,0.007208607906144193,0.04513247211014226,8.770105674670667,196,-0.05835119147202361,0.15694103065398185,1.008710110579971,0.03651364537779758,5.682758620689655,290
