StrategyName,RoundtripCostPct,CAGR_gross,CAGR_net,CAGR_drag,AnnualTurnover,Trades,MDD_net,Sharpe_net,FinalNAV_net,AvgTurnover,AvgHoldings,RebalanceCount
Biweekly Score50 MADScale,0.2,0.094163209403207,0.08932292812469811,0.0048402812785088845,4.432483243810699,21,-0.024054569710902585,1.3186524171141667,1.1085643640404965,0.08090318492011314,2.5051903114186853,66
Weekly Score50 MADScale,0.2,0.09407275932804571,0.08823467763207349,0.005838081695972219,5.3589188999969855,21,-0.024967707965307895,1.301385732958145,1.1072303783138693,0.06867707387824351,2.709342560553633,94
Weekly Buffer 20/25,0.2,0.012806721844416113,0.00945911495848506,0.0033476068859310537,3.3064549632306117,21,-0.054489349449421076,0.22378488751124792,1.0114059658695818,0.04237378023858532,2.709342560553633,94
Weekly Top20,0.2,0.012806721844416113,0.00945911495848506,0.0033476068859310537,3.3064549632306117,21,-0.054489349449421076,0.22378488751124792,1.0114059658695818,0.04237378023858532,2.709342560553633,94
Daily Top20,0.2,0.011192648484971812,0.007716366608786718,0.0034762818761850944,3.433335665277163,21,-0.05488776114950189,0.18525903001559685,1.0093028793239,0.014311358932919831,2.85121107266436,289
Biweekly Score50 MADScale,0.35,0.094163209403207,0.08570580936660743,0.00845740003659956,4.432483243810699,21,-0.024293080277562162,1.26808399757141,1.104131526970137,0.08090318492011314,2.5051903114186853,66
Weekly Score50 MADScale,0.35,0.09407275932804571,0.08387517179688064,0.010197587531165064,5.3589188999969855,21,-0.0263257474243338,1.2422482875000131,1.101889202272824,0.06867707387824351,2.709342560553633,94
Weekly Buffer 20/25,0.35,0.012806721844416113,0.006954690970467858,0.005852030873948255,3.3064549632306117,21,-0.05564218081131822,0.1710780963729658,1.0083839499812375,0.04237378023858532,2.709342560553633,94
Weekly Top20,0.35,0.012806721844416113,0.006954690970467858,0.005852030873948255,3.3064549632306117,21,-0.05564218081131822,0.1710780963729658,1.0083839499812375,0.04237378023858532,2.709342560553633,94
Daily Top20,0.35,0.011192648484971812,0.005116007491533292,0.00607664099343852,3.433335665277163,21,-0.05686023350589087,0.1311709536358001,1.006166242676447,0.014311358932919831,2.85121107266436,289
Biweekly Score50 MADScale,0.5,0.094163209403207,0.08209987624896042,0.01206333315424657,4.432483243810699,21,-0.024531564668915373,1.2173865088271005,1.099715405457416,0.08090318492011314,2.5051903114186853,66
Weekly Score50 MADScale,0.5,0.09407275932804571,0.07953193573114103,0.014540823596904673,5.3589188999969855,21,-0.02768240229229524,1.1827467253651684,1.096572329817048,0.06867707387824351,2.709342560553633,94
Weekly Buffer 20/25,0.5,0.012806721844416113,0.004455639600703609,0.008351082243712504,3.3064549632306117,21,-0.05679394368418622,0.11851700382832446,1.0053699499486317,0.04237378023858532,2.709342560553633,94
Weekly Top20,0.5,0.012806721844416113,0.004455639600703609,0.008351082243712504,3.3064549632306117,21,-0.05679394368418622,0.11851700382832446,1.0053699499486317,0.04237378023858532,2.709342560553633,94
Daily Top20,0.5,0.011192648484971812,0.0025215087420553672,0.008671139742916445,3.433335665277163,21,-0.058829466083611726,0.07744359070767005,1.0030383296863945,0.014311358932919831,2.85121107266436,289
Biweekly Score50 MADScale,0.6,0.094163209403207,0.07970211901683566,0.014461090386371334,4.432483243810699,21,-0.024690539721313076,1.1835281154145005,1.0967805813226723,0.08090318492011314,2.5051903114186853,66
Weekly Score50 MADScale,0.6,0.09407275932804571,0.07664545566900283,0.01742730365904288,5.3589188999969855,21,-0.02858607018368209,1.1428957330208898,1.0930411984349888,0.06867707387824351,2.709342560553633,94
Weekly Buffer 20/25,0.6,0.012806721844416113,0.002792585151660365,0.010014136692755748,3.3064549632306117,21,-0.057880253016883265,0.08358313885976712,1.0033650604458773,0.04237378023858532,2.709342560553633,94
Weekly Top20,0.6,0.012806721844416113,0.002792585151660365,0.010014136692755748,3.3064549632306117,21,-0.057880253016883265,0.08358313885976712,1.0033650604458773,0.04237378023858532,2.709342560553633,94
Daily Top20,0.6,0.011192648484971812,0.0007950928910402943,0.010397555593931518,3.433335665277163,21,-0.06014048997759858,0.041848913790834774,1.0009578900177312,0.014311358932919831,2.85121107266436,289
Biweekly Score50 MADScale,0.8,0.094163209403207,0.07492143692724884,0.019241772475958152,4.432483243810699,21,-0.025008454925699142,1.115698638064279,1.0909330700447464,0.08090318492011314,2.5051903114186853,66
Weekly Score50 MADScale,0.8,0.09407275932804571,0.07089404544719358,0.02317871388085213,5.3589188999969855,21,-0.03039156254720543,1.0628062168445631,1.0860110771660585,0.06867707387824351,2.709342560553633,94
Weekly Buffer 20/25,0.8,0.012806721844416113,-0.0005263856842583348,0.013333107528674448,3.3064549632306117,21,-0.06035371425109537,0.014040140927201376,0.999365921357948,0.04237378023858532,2.709342560553633,94
Weekly Top20,0.8,0.012806721844416113,-0.0005263856842583348,0.013333107528674448,3.3064549632306117,21,-0.06035371425109537,0.014040140927201376,0.999365921357948,0.04237378023858532,2.709342560553633,94
Daily Top20,0.8,0.011192648484971812,-0.002649954426697465,0.013842602911669277,3.433335665277163,21,-0.06275822852312962,-0.028744369779277495,0.996808587117038,0.014311358932919831,2.85121107266436,289
Biweekly Score50 MADScale,1.0,0.094163209403207,0.07016046744427018,0.024002741958936813,4.432483243810699,21,-0.02665313740337305,1.047765489481314,1.085114957404752,0.08090318492011314,2.5051903114186853,66
