Strategy,RoundtripCostPct,OneWayFeeRate,CAGR_gross,CAGR_net,CAGR_drag,MDD_net,Sharpe_net,FinalNAV_net,AnnualTurnover,AvgTurnover,AvgHoldings,RebalanceCount,BuyTrades,SellTrades,AvgGrossExposure
Biweekly Score50 MADScale,0.2,0.001,0.12536039265733612,0.11819635383565252,0.007164038821683594,-0.032001319682690044,1.6801251727929225,1.144406567092959,6.4091840408660925,0.11549848956539464,7.772413793103448,67,82,18,0.5053939664613681
Weekly Score50 MADScale,0.2,0.001,0.11559889925722455,0.10742515213793946,0.00817374711928509,-0.032001319682690044,1.5276778747971937,1.1311099959130413,7.37896847405159,0.09378219956213844,8.36896551724138,95,82,18,0.39854100792538594
Weekly Top20,0.2,0.001,0.10387583967269798,0.09411255361588822,0.009763286056809761,-0.03284379964594808,1.4160699148996858,1.1147132292219963,8.899110239830637,0.11310227647293665,5.393103448275862,95,120,80,0.40185824875544496
Weekly Buffer 20/25,0.2,0.001,0.09365373962328194,0.08546165675303041,0.008192082870251527,-0.030872821751554147,1.394463200775217,1.1040802814255484,7.532558826322717,0.09573423948725293,5.393103448275862,95,95,55,0.40185824875544496
Daily Top20,0.2,0.001,0.09053252112953158,0.07939939171912158,0.011133129410410003,-0.041175959929639294,1.175230617531878,1.096639518135561,10.265244098199934,0.04273853664052652,5.682758620689655,290,134,94,0.145436322868163
Biweekly Score50 MADScale,0.5,0.0025,0.12536039265733612,0.10753030219672932,0.017830090460606796,-0.032842501718160944,1.5469825594669397,1.1312396698265517,6.4091840408660925,0.11549848956539464,7.772413793103448,67,82,18,0.5053939664613681
Weekly Score50 MADScale,0.5,0.0025,0.11559889925722455,0.09527003359998187,0.02032886565724268,-0.032842501718160944,1.3738052511268335,1.116137231341518,7.37896847405159,0.09378219956213844,8.36896551724138,95,82,18,0.39854100792538594
Weekly Top20,0.5,0.0025,0.10387583967269798,0.07962127727538948,0.0242545623973085,-0.034239153969093494,1.2141657812307753,1.096911705761268,8.899110239830637,0.11310227647293665,5.393103448275862,95,120,80,0.40185824875544496
Weekly Buffer 20/25,0.5,0.0025,0.09365373962328194,0.07328140264773197,0.020372336975549965,-0.031815563610138375,1.2102885968265369,1.0891391415088199,7.532558826322717,0.09573423948725293,5.393103448275862,95,95,55,0.40185824875544496
Daily Top20,0.5,0.0025,0.09053252112953158,0.06290313945817583,0.027629381671355757,-0.04836556448159668,0.9442138946444162,1.0764361502200617,10.265244098199934,0.04273853664052652,5.682758620689655,290,134,94,0.145436322868163
