Symbol,FirstDate,LastDate,YearsAvailable,TotalBars,CommonStartDate,CommonEndDate,CommonYears
E_0000D0,2024-12-17,2026-03-03,1.207392,290,2024-12-17,2026-03-03,1.207392
E_0000H0,2025-04-08,2026-03-03,0.900753,218,2024-12-17,2026-03-03,1.207392
E_0000J0,2024-12-24,2026-03-03,1.188227,285,2024-12-17,2026-03-03,1.207392
E_0000Y0,2024-12-24,2026-03-04,1.190965,286,2024-12-17,2026-03-03,1.207392
E_0000Z0,2024-12-24,2026-03-03,1.188227,285,2024-12-17,2026-03-03,1.207392
E_0001P0,2024-12-24,2026-03-03,1.188227,285,2024-12-17,2026-03-03,1.207392
E_0001S0,2024-12-24,2026-03-03,1.188227,285,2024-12-17,2026-03-03,1.207392
E_0002C0,2025-02-25,2026-03-03,1.015743,247,2024-12-17,2026-03-03,1.207392
E_0004G0,2025-01-21,2026-03-03,1.111567,268,2024-12-17,2026-03-03,1.207392
E_0005A0,2025-01-07,2026-03-03,1.149897,278,2024-12-17,2026-03-03,1.207392
S_000020,2021-02-08,2026-03-03,5.062286,1239,2024-12-17,2026-03-03,1.207392
S_000040,2021-02-08,2026-03-03,5.062286,1239,2024-12-17,2026-03-03,1.207392
S_000050,2021-02-08,2026-03-03,5.062286,1239,2024-12-17,2026-03-03,1.207392
S_000070,2021-02-08,2026-03-03,5.062286,1239,2024-12-17,2026-03-03,1.207392
S_000080,2021-02-08,2026-03-03,5.062286,1239,2024-12-17,2026-03-03,1.207392
S_000100,2021-02-08,2026-03-03,5.062286,1239,2024-12-17,2026-03-03,1.207392
S_000120,2021-02-08,2026-03-03,5.062286,1239,2024-12-17,2026-03-03,1.207392
S_000140,2021-02-08,2026-03-03,5.062286,1239,2024-12-17,2026-03-03,1.207392
S_000150,2021-02-08,2026-03-03,5.062286,1239,2024-12-17,2026-03-03,1.207392
S_000180,2021-02-08,2026-03-03,5.062286,1239,2024-12-17,2026-03-03,1.207392
