StrategyConfig,N,score_power,regime_off_exposure,CAGR,MDD,Sharpe,AnnualTurnover,Trades,CAGR_net_0.5pct_cost
ScoreN30_P2.0_ROE0.6,30,2.0,0.6,0.15035578298216823,-0.03365956421969196,1.872116756269703,9.011530049588885,160,0.1248534892240627
ScoreN30_P1.5_ROE0.6,30,1.5,0.6,0.14910282428742438,-0.03209437589048558,1.8907746438897626,8.942560795527427,160,0.12381669008564034
ScoreN30_P1.0_ROE0.6,30,1.0,0.6,0.1476323453252868,-0.03004612201235024,1.9097827385401556,8.926243141388403,160,0.12242236279910101
ScoreN50_P2.0_ROE0.6,50,2.0,0.6,0.14561178525397978,-0.029062568563927416,1.8433402903809148,8.506441842423168,200,0.12158751597355688
ScoreN50_P1.5_ROE0.6,50,1.5,0.6,0.1416746881363553,-0.029961595415147646,1.8273131662419457,8.33615514333471,200,0.11820219757851813
ScoreN70_P2.0_ROE0.6,70,2.0,0.6,0.13804816501879857,-0.029788971511052087,1.8254631403987502,7.59384942021738,137,0.11671938085822586
ScoreN50_P1.0_ROE0.6,50,1.0,0.6,0.13531546177389608,-0.031248323109395293,1.7899449112341037,8.043188615413088,200,0.11278082018672864
ScoreN70_P1.5_ROE0.6,70,1.5,0.6,0.1325584117777323,-0.03138718018769071,1.811967999480306,7.0866814457629275,137,0.11273308510626556
ScoreN70_P1.0_ROE0.6,70,1.0,0.6,0.12263548173409466,-0.032136088769183835,1.7683923367368397,6.439300514014348,137,0.10476523740657573
ScoreN30_P2.0_ROE0.4,30,2.0,0.4,0.130226289768397,-0.033659564219692184,1.6725154715969286,9.345888973715617,160,0.10424668787586855
ScoreN30_P1.5_ROE0.4,30,1.5,0.4,0.13003087180446915,-0.03209437589048547,1.6974713186486035,9.28735148220458,160,0.1042121056902956
ScoreN50_P2.0_ROE0.4,50,2.0,0.4,0.12873018363884814,-0.029062568563927305,1.6692349565420384,8.854258219276167,200,0.10410189394729019
ScoreN30_P1.0_ROE0.4,30,1.0,0.4,0.12966982117556114,-0.03004612201235024,1.7234150484614141,9.278434299368069,160,0.10388194193673295
ScoreN50_P1.5_ROE0.4,50,1.5,0.4,0.12643447992564782,-0.029961595415147646,1.6654433430943316,8.69932867953709,200,0.10227691732637645
ScoreN70_P2.0_ROE0.4,70,2.0,0.4,0.12129710307580877,-0.02978897151105231,1.6453354737029513,7.9718912844354115,137,0.09924512108031847
ScoreN50_P1.0_ROE0.4,50,1.0,0.4,0.12182370308228263,-0.031248323109395404,1.641178540984618,8.420971089938583,200,0.0985220750990552
ScoreN70_P1.5_ROE0.4,70,1.5,0.4,0.11722690366675481,-0.03138718018769082,1.6408609928054172,7.4931984682545485,137,0.09655748132295461
ScoreN70_P1.0_ROE0.4,70,1.0,0.4,0.10871436196301776,-0.03213608876918361,1.6048045419715993,6.873141986000873,137,0.08988572006256623
ScoreN50_P2.0_ROE0.2,50,2.0,0.2,0.11205616698105603,-0.029062568563927305,1.4806919816676245,9.202074596129165,200,0.08684622744676695
ScoreN50_P1.5_ROE0.2,50,1.5,0.2,0.11136342811405009,-0.029961595415147535,1.4914607074329402,9.062502215739473,200,0.08654253350992169
ScoreN30_P1.0_ROE0.2,30,1.0,0.2,0.11194232018592198,-0.03004612201235013,1.5192631539133454,9.630625457347735,160,0.08560013774570585
ScoreN30_P1.5_ROE0.2,30,1.5,0.2,0.1112240918713352,-0.03209437589048536,1.485045635231872,9.63214216888173,160,0.0848967333174302
ScoreN50_P1.0_ROE0.2,50,1.0,0.2,0.1084644438966984,-0.031248323109395293,1.482479076982748,8.798753564464079,200,0.08441641679092537
ScoreN30_P2.0_ROE0.2,30,2.0,0.2,0.11039219532699884,-0.033659564219692184,1.4524308424786463,9.680247897842351,160,0.08395926226374573
ScoreN70_P2.0_ROE0.2,70,2.0,0.2,0.10475139525275767,-0.029788971511052087,1.4493778456721615,8.355240007144927,137,0.08198714697713894
ScoreN70_P1.5_ROE0.2,70,1.5,0.2,0.10206666762456584,-0.03138718018769071,1.4551579878522845,7.901212454291179,137,0.08057497392761559
ScoreN70_P1.0_ROE0.2,70,1.0,0.2,0.09493260763810718,-0.032136088769183724,1.4267006697798246,7.3069834579874025,137,0.0751714916312951
