regime_breadth_threshold,target_vol_annual,max_weight,stop_loss_pct,trend_exit_ma,period_years,train_score,test_score,overall_score,train_cagr,test_cagr,train_mdd,test_mdd,rank_in_period
0.5,0.2,0.15,0.1,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.2,0.15,0.1,60,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.2,0.15,0.12,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.2,0.15,0.12,60,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.2,0.2,0.1,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.2,0.2,0.1,60,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.2,0.2,0.12,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.2,0.2,0.12,60,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.24,0.15,0.1,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.24,0.15,0.1,60,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.24,0.15,0.12,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.24,0.15,0.12,60,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.24,0.2,0.1,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.24,0.2,0.1,60,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.24,0.2,0.12,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.24,0.2,0.12,60,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.55,0.2,0.15,0.1,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.55,0.2,0.15,0.1,60,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.55,0.2,0.15,0.12,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.55,0.2,0.15,0.12,60,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.55,0.2,0.2,0.1,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.55,0.2,0.2,0.1,60,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.55,0.2,0.2,0.12,40,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
