regime_breadth_threshold,target_vol_annual,max_weight,stop_loss_pct,trend_exit_ma,period_years,train_score,test_score,overall_score,train_cagr,test_cagr,train_mdd,test_mdd,rank_in_period
0.5,0.2,0.2,0.12,60,3,-0.5446963130829162,0.0,-0.2178785252331665,-0.04733171015474036,0.0,-0.1427066810223573,0.0,1.0
0.5,0.24,0.2,0.12,60,3,-0.5446963130829162,0.0,-0.2178785252331665,-0.04733171015474036,0.0,-0.1427066810223573,0.0,1.0
0.55,0.2,0.2,0.12,60,3,-0.5446963130829162,0.0,-0.2178785252331665,-0.04733171015474036,0.0,-0.1427066810223573,0.0,1.0
0.55,0.24,0.2,0.12,60,3,-0.5446963130829162,0.0,-0.2178785252331665,-0.04733171015474036,0.0,-0.1427066810223573,0.0,1.0
0.5,0.2,0.2,0.1,60,3,-0.5548108261827296,0.0,-0.22192433047309185,-0.04842321120790979,0.0,-0.14255602280647298,0.0,2.0
0.5,0.24,0.2,0.1,60,3,-0.5548108261827296,0.0,-0.22192433047309185,-0.04842321120790979,0.0,-0.14255602280647298,0.0,2.0
0.55,0.2,0.2,0.1,60,3,-0.5548108261827296,0.0,-0.22192433047309185,-0.04842321120790979,0.0,-0.14255602280647298,0.0,2.0
0.55,0.24,0.2,0.1,60,3,-0.5548108261827296,0.0,-0.22192433047309185,-0.04842321120790979,0.0,-0.14255602280647298,0.0,2.0
0.5,0.2,0.2,0.1,40,3,-0.5833331452649666,0.0,-0.23333325810598665,-0.05112049727091498,0.0,-0.14972904086607708,0.0,3.0
0.5,0.24,0.2,0.1,40,3,-0.5833331452649666,0.0,-0.23333325810598665,-0.05112049727091498,0.0,-0.14972904086607708,0.0,3.0
0.55,0.2,0.2,0.1,40,3,-0.5833331452649666,0.0,-0.23333325810598665,-0.05112049727091498,0.0,-0.14972904086607708,0.0,3.0
0.55,0.24,0.2,0.1,40,3,-0.5833331452649666,0.0,-0.23333325810598665,-0.05112049727091498,0.0,-0.14972904086607708,0.0,3.0
0.5,0.2,0.2,0.12,40,3,-0.585052954657305,0.0,-0.234021181862922,-0.05122008860045102,0.0,-0.15018565459679378,0.0,4.0
0.5,0.24,0.2,0.12,40,3,-0.585052954657305,0.0,-0.234021181862922,-0.05122008860045102,0.0,-0.15018565459679378,0.0,4.0
0.55,0.2,0.2,0.12,40,3,-0.585052954657305,0.0,-0.234021181862922,-0.05122008860045102,0.0,-0.15018565459679378,0.0,4.0
0.55,0.24,0.2,0.12,40,3,-0.585052954657305,0.0,-0.234021181862922,-0.05122008860045102,0.0,-0.15018565459679378,0.0,4.0
0.5,0.2,0.15,0.12,60,3,-0.5851501786799065,0.0,-0.23406007147196262,-0.0543414186624099,0.0,-0.1557349151771722,0.0,5.0
0.5,0.24,0.15,0.12,60,3,-0.5851501786799065,0.0,-0.23406007147196262,-0.0543414186624099,0.0,-0.1557349151771722,0.0,5.0
0.55,0.2,0.15,0.12,60,3,-0.5851501786799065,0.0,-0.23406007147196262,-0.0543414186624099,0.0,-0.1557349151771722,0.0,5.0
0.55,0.24,0.15,0.12,60,3,-0.5851501786799065,0.0,-0.23406007147196262,-0.0543414186624099,0.0,-0.1557349151771722,0.0,5.0
0.5,0.2,0.15,0.1,60,3,-0.5944798374175161,0.0,-0.23779193496700646,-0.0554186423723112,0.0,-0.15557273190534662,0.0,6.0
0.5,0.24,0.15,0.1,60,3,-0.5944798374175161,0.0,-0.23779193496700646,-0.0554186423723112,0.0,-0.15557273190534662,0.0,6.0
0.55,0.2,0.15,0.1,60,3,-0.5944798374175161,0.0,-0.23779193496700646,-0.0554186423723112,0.0,-0.15557273190534662,0.0,6.0
0.55,0.24,0.15,0.1,60,3,-0.5944798374175161,0.0,-0.23779193496700646,-0.0554186423723112,0.0,-0.15557273190534662,0.0,6.0
0.5,0.2,0.15,0.1,40,3,-0.62671429593985,0.0,-0.25068571837594,-0.05869221505853336,0.0,-0.16375878962173915,0.0,7.0
0.5,0.24,0.15,0.1,40,3,-0.62671429593985,0.0,-0.25068571837594,-0.05869221505853336,0.0,-0.16375878962173915,0.0,7.0
0.55,0.2,0.15,0.1,40,3,-0.62671429593985,0.0,-0.25068571837594,-0.05869221505853336,0.0,-0.16375878962173915,0.0,7.0
0.55,0.24,0.15,0.1,40,3,-0.62671429593985,0.0,-0.25068571837594,-0.05869221505853336,0.0,-0.16375878962173915,0.0,7.0
0.5,0.2,0.15,0.12,40,3,-0.6287463019999209,0.0,-0.2514985207999684,-0.05882570333187409,0.0,-0.1642727311531672,0.0,8.0
0.5,0.24,0.15,0.12,40,3,-0.6287463019999209,0.0,-0.2514985207999684,-0.05882570333187409,0.0,-0.1642727311531672,0.0,8.0
0.55,0.2,0.15,0.12,40,3,-0.6287463019999209,0.0,-0.2514985207999684,-0.05882570333187409,0.0,-0.1642727311531672,0.0,8.0
0.55,0.24,0.15,0.12,40,3,-0.6287463019999209,0.0,-0.2514985207999684,-0.05882570333187409,0.0,-0.1642727311531672,0.0,8.0
0.55,0.2,0.2,0.12,40,5,-0.3857625116886876,1.5603182302367982,0.7818859334666038,-0.03813810900372835,0.4405383512196031,-0.14232089735916897,-0.05684091567306911,1.0
