Strategy,MedianCAGR,WorstCAGR,MedianMDD,WorstMDD,CAGR_net_0.5pct,AnnualTurnover,StabilityScore
ScoreN30_P2.0_ROE0.6,0.1503557829821682,0.1503557829821682,-0.0336595642196919,-0.0336595642196919,0.1248534892240627,9.011530049588885,
ScoreN30_P1.5_ROE0.6,0.1491028242874243,0.1491028242874243,-0.0320943758904855,-0.0320943758904855,0.1238166900856403,8.942560795527427,
ScoreN30_P1.0_ROE0.6,0.1476323453252868,0.1476323453252868,-0.0300461220123502,-0.0300461220123502,0.122422362799101,8.926243141388403,
ScoreN50_P2.0_ROE0.6,0.1456117852539797,0.1456117852539797,-0.0290625685639274,-0.0290625685639274,0.1215875159735568,8.506441842423168,
ScoreN50_P1.5_ROE0.6,0.1416746881363553,0.1416746881363553,-0.0299615954151476,-0.0299615954151476,0.1182021975785181,8.33615514333471,
Biweekly Score50 MADScale,0.1422913241240115,0.1422913241240115,-0.1024552848794709,-0.1024552848794709,,,
Weekly Score50 MADScale,0.1422913241240115,0.1422913241240115,-0.1024552848794709,-0.1024552848794709,,,
Weekly Top20,0.1305315757324703,0.1305315757324703,-0.1052083089289556,-0.1052083089289556,,,
Weekly Buffer 20/25,0.1266606323192149,0.1266606323192149,-0.1069584743389806,-0.1069584743389806,,,
Daily Top20,0.125946923009631,0.125946923009631,-0.1103457221757471,-0.1103457221757471,,,
