AsOfDate,ScopeType,Market,Label,FlowScore,Rank,Regime,RiskState,AggressiveAllowed,Source
2026-03-31,COUNTRY,GLOBAL,Korea,0.33017749703671484,1,Inflation Tilt,RISK_POSITIVE,1,global_observer_plus_kr_proxy
2026-03-31,COUNTRY,GLOBAL,Emerging,0.0380186778625812,2,Inflation Tilt,RISK_POSITIVE,1,global_observer_plus_kr_proxy
2026-03-31,COUNTRY,GLOBAL,Developed ex-US,0.0114547379787974,3,Inflation Tilt,RISK_POSITIVE,1,global_observer_plus_kr_proxy
2026-03-31,COUNTRY,GLOBAL,US,-0.0437058455874037,4,Inflation Tilt,RISK_POSITIVE,1,global_observer_plus_kr_proxy
2026-03-31,SECTOR,KR,Industrials,0.4022675419276508,1,Inflation Tilt,RISK_POSITIVE,1,cross_sectional_sector_strength
2026-03-31,SECTOR,US,Materials,0.22495381909646586,1,Inflation Tilt,RISK_POSITIVE,1,cross_sectional_sector_strength
2026-03-31,SECTOR,KR,Information Technology,0.3768325349282265,2,Inflation Tilt,RISK_POSITIVE,1,cross_sectional_sector_strength
2026-03-31,SECTOR,US,Energy,0.21993022915436242,2,Inflation Tilt,RISK_POSITIVE,1,cross_sectional_sector_strength
2026-03-31,SECTOR,KR,Health Care,0.30183686532295384,3,Inflation Tilt,RISK_POSITIVE,1,cross_sectional_sector_strength
2026-03-31,SECTOR,US,Industrials,0.1822787936793381,3,Inflation Tilt,RISK_POSITIVE,1,cross_sectional_sector_strength
