Market,Sector,Contribution
US,Information Technology,1.0106545882605231
US,Consumer Discretionary,0.3177997870616368
KR,ETF,0.2713363872302345
US,Industrials,0.23782932291555567
US,Financials,0.11700772610241937
KR,Industrials,0.05596540897380756
US,Energy,0.04549648546236114
KR,Information Technology,0.03946863945474678
US,Health Care,0.002792684709281649
US,Consumer Staples,-0.005326596156162711
US,Communication Services,-0.011036735871264112
KR,Consumer Staples,-0.014573991031390128
US,Materials,-0.014812248107330964
KR,Health Care,-0.08793752729585802
