SignalDate,NextDate,Market,Sector,Contribution
2020-01-31,2020-02-28,US,Information Technology,-0.01694754533502244
2020-02-28,2020-03-31,KR,Information Technology,-0.04032258064516128
2020-02-28,2020-03-31,US,Consumer Discretionary,-0.053889267842107874
2020-02-28,2020-03-31,US,Information Technology,-0.036279913790752794
2020-03-31,2020-05-29,US,Health Care,0.029868193359822076
2020-03-31,2020-05-29,US,Information Technology,0.08670343362033706
2020-05-29,2020-06-30,US,Consumer Discretionary,0.07045872689349886
2020-05-29,2020-06-30,US,Information Technology,0.04000361223218829
2020-06-30,2020-07-31,KR,Health Care,-0.11880856760374833
2020-06-30,2020-07-31,KR,Information Technology,0.0905492330529441
2020-06-30,2020-07-31,US,Consumer Discretionary,0.0812527210995383
2020-07-31,2020-08-31,US,Consumer Discretionary,0.13865219316194896
2020-07-31,2020-08-31,US,Information Technology,0.09021023252638796
2020-08-31,2020-10-30,KR,ETF,-0.0028111423460260693
2020-08-31,2020-10-30,US,Consumer Discretionary,-0.04878643050460868
2020-08-31,2020-10-30,US,Information Technology,-0.076864005481771
2020-10-30,2020-11-30,US,Consumer Discretionary,0.044936791574637994
2020-10-30,2020-11-30,US,Industrials,0.06131175375839996
2020-10-30,2020-11-30,US,Information Technology,0.04455556129459655
2020-11-30,2021-01-29,KR,ETF,0.0464177598385469
2020-11-30,2021-01-29,KR,Information Technology,0.05363036303630364
2020-11-30,2021-01-29,US,Consumer Discretionary,0.09951111790713285
2021-01-29,2021-02-26,KR,ETF,0.002014763352149356
2021-01-29,2021-02-26,US,Financials,0.022388652600286774
2021-01-29,2021-02-26,US,Information Technology,0.044095146600482964
2021-01-29,2021-02-26,US,Materials,-0.015870265829283175
2021-02-26,2021-03-31,KR,ETF,0.0028773528353914224
2021-02-26,2021-03-31,KR,Industrials,-0.0391500013494184
2021-03-31,2021-04-30,US,Financials,0.03640910800207571
2021-03-31,2021-04-30,US,Industrials,-0.001592530597524381
2021-03-31,2021-04-30,US,Information Technology,0.005948434592652725
2021-04-30,2021-06-30,US,Financials,0.014124498036475456
2021-04-30,2021-06-30,US,Industrials,-0.007743624541680963
2021-04-30,2021-06-30,US,Information Technology,0.020958049831297378
2021-06-30,2021-07-30,KR,ETF,-0.004588872797096966
2021-06-30,2021-07-30,US,Financials,-0.003504193502797768
2021-06-30,2021-07-30,US,Information Technology,-0.008991654867811394
2021-07-30,2021-08-31,US,Financials,0.020192527255158337
2021-07-30,2021-08-31,US,Information Technology,0.030644387003301278
2021-08-31,2021-09-30,KR,ETF,-0.002642506606266526
2021-08-31,2021-09-30,US,Financials,-0.006025203882620844
2021-08-31,2021-09-30,US,Information Technology,-0.01863967986138665
2021-09-30,2021-10-29,KR,ETF,0.003706328010028903
2021-09-30,2021-10-29,US,Financials,0.061129275367764926
2021-10-29,2021-11-30,KR,ETF,0.0036126016044201337
2021-10-29,2021-11-30,US,Financials,-0.02988345828440822
2021-10-29,2021-11-30,US,Information Technology,0.016856735238724236
2021-11-30,2022-02-28,KR,ETF,-0.008238768848126845
2021-11-30,2022-02-28,US,Health Care,-0.017104333187580437
2021-11-30,2022-02-28,US,Information Technology,-0.12642104317929045
2022-02-28,2022-03-31,US,Energy,0.0557766743609593
2022-02-28,2022-03-31,US,Financials,-0.001356950462559403
2022-03-31,2022-04-29,KR,ETF,-0.010560880369187092
2022-03-31,2022-04-29,KR,Information Technology,-0.016399999999999998
2022-04-29,2022-05-31,US,Consumer Staples,-0.021706498685730692
2022-04-29,2022-05-31,US,Energy,0.04966348129105087
2022-04-29,2022-05-31,US,Health Care,0.01315898125752657
2022-05-31,2022-06-30,US,Energy,-0.10736971025663634
2022-05-31,2022-06-30,US,Health Care,0.005531142731419821
2022-06-30,2022-07-29,US,Health Care,-0.01209013985932165
2022-07-29,2022-08-31,US,Health Care,-0.036810487109752515
2022-07-29,2022-08-31,US,Industrials,0.0024926253089025407
2022-08-31,2022-09-30,KR,Health Care,-0.024332810047095754
2022-08-31,2022-09-30,US,Industrials,-0.03842823312373586
2022-09-30,2022-10-31,KR,Industrials,-0.010115606936416194
2022-09-30,2022-10-31,US,Energy,0.058017424473877144
2022-09-30,2022-10-31,US,Health Care,0.029952037985177926
2022-10-31,2022-11-30,KR,ETF,-0.01400622362524126
2022-10-31,2022-11-30,US,Energy,0.0037615223034415946
2022-10-31,2022-11-30,US,Health Care,0.02451115137135379
2022-11-30,2023-01-31,US,Health Care,-0.04875978810005386
2022-11-30,2023-01-31,US,Industrials,-0.0064161899949191446
2023-01-31,2023-02-28,US,Financials,-0.0014213026660782426
2023-01-31,2023-02-28,US,Industrials,0.003939584750754751
2023-01-31,2023-02-28,US,Information Technology,0.031384925155345966
2023-02-28,2023-03-31,KR,Health Care,0.025891341256366718
2023-02-28,2023-03-31,KR,Industrials,0.16899441340782123
2023-02-28,2023-03-31,US,Industrials,0.03240059649561694
2023-02-28,2023-03-31,US,Information Technology,0.04916566192725741
2023-03-31,2023-04-28,US,Industrials,0.0009244782318431803
2023-03-31,2023-04-28,US,Information Technology,-0.016036717015605217
2023-04-28,2023-05-31,KR,ETF,0.0059451834449759655
2023-04-28,2023-05-31,US,Health Care,0.0024419195605868507
2023-04-28,2023-05-31,US,Industrials,-0.0024867431602016497
2023-04-28,2023-05-31,US,Information Technology,0.04828242128157921
2023-05-31,2023-06-30,KR,ETF,0.010027160414392123
2023-05-31,2023-06-30,US,Information Technology,0.030352992351261095
2023-06-30,2023-07-31,KR,ETF,0.003195814005595136
2023-06-30,2023-07-31,US,Industrials,0.020715073957132183
2023-06-30,2023-07-31,US,Information Technology,0.04696377998749278
2023-07-31,2023-08-31,KR,ETF,0.0023790018732415693
2023-07-31,2023-08-31,US,Industrials,-0.00479566956270462
2023-07-31,2023-08-31,US,Information Technology,-0.020464780546341613
2023-08-31,2023-10-31,KR,ETF,-0.01559923302522992
2023-08-31,2023-10-31,US,Communication Services,-0.006338202449699223
2023-08-31,2023-10-31,US,Industrials,-0.01673565933350947
2023-08-31,2023-10-31,US,Information Technology,-0.03822638498032989
2023-10-31,2023-11-30,US,Financials,0.012232934443429433
2023-10-31,2023-11-30,US,Industrials,0.003909231354243333
2023-10-31,2023-11-30,US,Information Technology,0.10647537693351661
2023-11-30,2024-01-31,KR,ETF,0.05628407717038675
2023-11-30,2024-01-31,KR,Industrials,-0.04510825982357658
2023-11-30,2024-01-31,US,Information Technology,-0.04937654906680705
2024-01-31,2024-02-29,KR,ETF,0.008064800866208477
2024-01-31,2024-02-29,US,Health Care,0.02117978338372592
2024-01-31,2024-02-29,US,Information Technology,0.08030781409642751
2024-02-29,2024-04-30,KR,ETF,0.02836099602997383
2024-02-29,2024-04-30,KR,Information Technology,-0.04289667896678967
2024-04-30,2024-05-31,KR,ETF,0.006689596006918513
2024-04-30,2024-05-31,US,Financials,0.004453060062130282
2024-04-30,2024-05-31,US,Industrials,0.0025645691172710983
2024-04-30,2024-05-31,US,Information Technology,0.04693215458992667
2024-05-31,2024-06-28,US,Financials,-0.005868035210305359
2024-05-31,2024-06-28,US,Industrials,-0.006227023747652234
2024-05-31,2024-06-28,US,Information Technology,0.042089362725843904
2024-06-28,2024-07-31,KR,Consumer Staples,-0.019431988041853504
2024-06-28,2024-07-31,KR,ETF,-0.005395253847768622
2024-07-31,2024-08-30,KR,ETF,-0.006603501539874129
2024-07-31,2024-08-30,US,Financials,0.009863338727744947
2024-07-31,2024-08-30,US,Health Care,0.001385236830187958
2024-07-31,2024-08-30,US,Information Technology,0.02300175060944812
2024-08-30,2024-09-30,US,Financials,0.0039474754666402045
2024-08-30,2024-09-30,US,Health Care,-0.013320976787998373
2024-08-30,2024-09-30,US,Information Technology,0.04077322139070453
2024-09-30,2024-10-31,KR,ETF,0.016235012148163724
2024-09-30,2024-10-31,US,Financials,0.006896777124336562
2024-09-30,2024-10-31,US,Information Technology,0.014603794996603192
2024-10-31,2024-11-29,KR,ETF,0.012699847996610225
2024-10-31,2024-11-29,US,Financials,0.010798175523965697
2024-10-31,2024-11-29,US,Health Care,0.009467292180918407
2024-10-31,2024-11-29,US,Information Technology,0.0889243903656796
2024-11-29,2025-01-31,KR,ETF,0.013816296207907197
2024-11-29,2025-01-31,US,Consumer Discretionary,0.010555223149275941
2024-11-29,2025-01-31,US,Financials,0.007616777568701744
2024-11-29,2025-01-31,US,Information Technology,0.0025731114363104907
2025-01-31,2025-02-28,KR,ETF,-0.010866834043858034
2025-01-31,2025-02-28,US,Communication Services,-0.003318941437656875
2025-01-31,2025-02-28,US,Financials,-0.004505286256911115
2025-01-31,2025-02-28,US,Information Technology,-0.008655616540350922
2025-02-28,2025-03-31,KR,Consumer Staples,0.0
2025-02-28,2025-03-31,US,Health Care,-0.0032227500381734053
2025-03-31,2025-04-30,US,Financials,-0.012539486679904508
2025-03-31,2025-04-30,US,Health Care,-0.009062336074954177
2025-03-31,2025-04-30,US,Industrials,-0.007964681971088572
2025-04-30,2025-05-30,US,Financials,0.000636367496980891
2025-04-30,2025-05-30,US,Industrials,0.05239693645580989
2025-04-30,2025-05-30,US,Information Technology,0.061722230261366064
2025-05-30,2025-06-30,US,Industrials,0.02935020774946373
2025-05-30,2025-06-30,US,Information Technology,0.036864777111876704
2025-06-30,2025-07-31,KR,ETF,0.008225296497259369
2025-06-30,2025-07-31,US,Industrials,0.04330004800395357
2025-06-30,2025-07-31,US,Information Technology,0.035579600155389565
2025-07-31,2025-08-29,KR,ETF,0.001336531134034819
2025-07-31,2025-08-29,US,Industrials,-0.007962845138701824
2025-07-31,2025-08-29,US,Information Technology,-0.02278294318168619
2025-08-29,2025-09-30,KR,ETF,0.019333617277146553
2025-08-29,2025-09-30,US,Financials,0.0056723378594492795
2025-08-29,2025-09-30,US,Industrials,0.0003498604869381546
2025-08-29,2025-09-30,US,Information Technology,0.03793321655888962
2025-09-30,2025-10-31,KR,ETF,0.03543950756775762
2025-09-30,2025-10-31,US,Information Technology,0.09564906051880943
2025-10-31,2025-11-28,KR,ETF,0.001593422378681369
2025-10-31,2025-11-28,US,Information Technology,-0.017604911572619904
2025-11-28,2026-01-30,KR,ETF,0.04135412823730528
2025-11-28,2026-01-30,US,Health Care,-0.0039589879400147516
2025-11-28,2026-01-30,US,Information Technology,0.1668153354078202
2026-01-30,2026-02-27,KR,ETF,0.05442881168617757
2026-01-30,2026-02-27,US,Health Care,0.016480666579110625
2026-01-30,2026-02-27,US,Industrials,0.06347388261293085
