Market,Sector,Symbol,Contribution
US,Information Technology,NVDA,0.3617906391889612
US,Consumer Discretionary,TSLA,0.2638756371720712
US,Information Technology,PLTR,0.19046557998152827
US,Information Technology,MU,0.1611855533636105
US,Industrials,GEV,0.13701879133107692
KR,ETF,069500,0.13472727591039485
KR,Industrials,058610,0.1191591048535538
US,Information Technology,AVGO,0.11532517932051846
US,Information Technology,AMAT,0.07885674319853142
US,Information Technology,LRCX,0.06252924629566366
US,Industrials,GE,0.058267024203385066
KR,ETF,379800,0.05711361468688366
US,Consumer Discretionary,GM,0.0539241498895656
US,Information Technology,INTC,0.05258589150767455
US,Financials,COF,0.05203352205974947
KR,ETF,360750,0.04545246321564857
US,Health Care,LLY,0.0420271543663277
KR,Information Technology,053610,0.04022277227722773
US,Industrials,FDX,0.040013369817597524
KR,Information Technology,007810,0.03566511627906977
US,Information Technology,NOW,0.027467283921134605
US,Financials,BK,0.023093871169209114
KR,ETF,0000J0,0.021807383870479646
US,Financials,MS,0.021459252019843056
US,Industrials,UBER,0.020353837661678188
US,Information Technology,MSFT,0.01967123985866881
US,Information Technology,AAPL,0.01902925642918094
US,Energy,XLE,0.018424835624782667
US,Energy,XOM,0.018417540370408676
US,Information Technology,IBM,0.017387414708285153
US,Energy,COP,0.013693441113419717
US,Industrials,DE,0.012863848509708366
US,Health Care,JNJ,0.012376613314391272
KR,ETF,0000Z0,0.012235649546827793
US,Financials,AIG,0.012028012455365581
US,Information Technology,QCOM,0.01179530576554802
US,Financials,SCHW,0.009903057488454305
US,Financials,BAC,0.009380529765697863
US,Financials,JPM,0.007355085341715806
US,Financials,C,0.00638138009188044
US,Industrials,CAT,0.006153000115293898
US,Information Technology,ORCL,0.006134060986185841
US,Financials,AXP,0.005707398565072968
US,Health Care,GILD,0.005235487594712823
US,Health Care,UNH,0.0032241774664444507
US,Health Care,ISRG,0.0021950145467009297
KR,Health Care,214370,0.0011688984069532227
KR,Industrials,099320,-0.0009057971014492794
US,Health Care,CVS,-0.0010399111132725959
US,Financials,V,-0.002830601673929856
US,Health Care,AMGN,-0.004026432486555327
KR,Information Technology,083450,-0.004246739876458468
US,Communication Services,META,-0.004348845212157837
US,Energy,CVX,-0.0050393316462499175
US,Consumer Staples,MO,-0.005326596156162711
US,Financials,WFC,-0.006631577404165869
US,Communication Services,NFLX,-0.006687890659106275
US,Information Technology,ADBE,-0.006967402394425313
US,Health Care,MRK,-0.007643873160272263
US,Health Care,BMY,-0.007885379480065468
US,Financials,GS,-0.01013833305927674
US,Industrials,LMT,-0.0103916013084836
US,Financials,BRK.B,-0.01073387071719676
US,Health Care,ABBV,-0.01084829834591965
US,Industrials,GD,-0.011857475492850371
KR,Consumer Staples,003230,-0.014573991031390128
US,Industrials,BA,-0.014591471921850306
US,Materials,DD,-0.014812248107330964
US,Health Care,BIIB,-0.014857823684801815
US,Health Care,PFE,-0.01596404430840841
US,Information Technology,INTU,-0.01834144872279842
US,Information Technology,CRM,-0.02517265433866315
KR,Industrials,319400,-0.02845670391061452
KR,Information Technology,080220,-0.03217250922509225
KR,Industrials,056080,-0.033831194867682435
US,Information Technology,AMD,-0.06308730080908151
KR,Health Care,174900,-0.08910642570281124
