Market,Sector,Symbol,ContributionSum,ContributionMean,Months
US,Information Technology,AMD,-0.04320474839614118,-0.014401582798713725,3
US,Health Care,AMGN,-0.02381228814282851,-0.011906144071414255,2
US,Information Technology,PLTR,-0.019652477952189846,-0.0049131194880474615,4
US,Health Care,PFE,-0.018540980092366516,-0.009270490046183258,2
US,Consumer Staples,KHC,-0.0172676685555951,-0.0172676685555951,1
US,Industrials,LMT,-0.01509423036827462,-0.01509423036827462,1
US,Industrials,DE,-0.014159814536600108,-0.007079907268300054,2
US,Industrials,BA,-0.013972465081479275,-0.0046574883604930915,3
US,Information Technology,INTU,-0.013707936863686314,-0.004569312287895438,3
KR,Information Technology,007810,-0.012299999999999998,-0.012299999999999998,1
US,Industrials,GD,-0.011857475492850371,-0.0059287377464251854,2
US,Health Care,ABBV,-0.009040248621599706,-0.009040248621599706,1
KR,ETF,360750,-0.008456186367314895,-0.0008456186367314895,10
US,Industrials,CAT,-0.008416263601843646,-0.008416263601843646,1
US,Financials,WFC,-0.007818669877364114,-0.0026062232924547045,3
US,Health Care,MRK,-0.0065761232154774585,-0.0021920410718258196,3
US,Health Care,BMY,-0.006571149566721224,-0.003285574783360612,2
US,Information Technology,CRM,-0.005999190721351349,-0.0029995953606756745,2
US,Industrials,FDX,-0.005298338658900608,-0.002649169329450304,2
US,Information Technology,QCOM,-0.005012850669308972,-0.005012850669308972,1
US,Consumer Staples,MO,-0.004438830130135592,-0.004438830130135592,1
US,Energy,CVX,-0.004073486950705474,-0.0013578289835684914,3
US,Information Technology,MSFT,-0.002879143578739385,-0.0014395717893696926,2
US,Financials,GS,-0.0017502807566156678,-0.0017502807566156678,1
KR,ETF,069500,-0.0012264286462595848,-0.00024528572925191697,5
US,Financials,AXP,-0.0007617359561850239,-0.00038086797809251194,2
KR,Health Care,214370,0.0011688984069532227,0.0005844492034766113,2
US,Health Care,UNH,0.001360966794577579,0.0006804833972887895,2
KR,ETF,379800,0.00145462055091997,0.000290924110183994,5
US,Health Care,BIIB,0.0017896810615798588,0.0008948405307899294,2
US,Financials,USB,0.0022351514553827618,0.0022351514553827618,1
US,Health Care,ISRG,0.0024419195605868507,0.0024419195605868507,1
US,Information Technology,LRCX,0.0030700411950023085,0.0010233470650007695,3
US,Information Technology,AMAT,0.004581403206143057,0.0015271344020476856,3
US,Financials,JPM,0.006304358864327833,0.006304358864327833,1
US,Financials,COF,0.007864987253425723,0.0026216624178085745,3
US,Financials,BAC,0.008040454084883885,0.004020227042441943,2
US,Health Care,GILD,0.00886733586234421,0.004433667931172105,2
US,Information Technology,ORCL,0.00968195496595503,0.004840977482977515,2
US,Financials,MS,0.009969684662363264,0.002492421165590816,4
US,Information Technology,AVGO,0.014047240790879576,0.004682413596959859,3
US,Financials,SCHW,0.01464386957407321,0.004881289858024403,3
US,Energy,XOM,0.015424568777863013,0.0038561421944657533,4
US,Energy,XLE,0.01543008747269602,0.003857521868174005,4
US,Financials,AIG,0.016033673527297575,0.008016836763648788,2
US,Health Care,LLY,0.016046849927921145,0.0026744749879868573,6
US,Energy,COP,0.01856386675436973,0.004640966688592433,4
US,Industrials,UBER,0.023734791585681727,0.007911597195227242,3
US,Industrials,GE,0.046549447345078356,0.007758241224179726,6
KR,Industrials,058610,0.1191591048535538,0.0595795524267769,2
US,Information Technology,NVDA,0.15471289997839927,0.012892741664866605,12
