Market,Sector,Symbol,Contribution
KR,Unknown,058610,0.26045546541709197
US,Information Technology,NVDA,0.18868713289977074
KR,Unknown,402340,0.16867804723664553
US,Consumer Discretionary,TSLA,0.14627554317900238
US,Information Technology,PLTR,0.13856616898060367
KR,Unknown,007810,0.1383246239038239
US,Information Technology,MU,0.09380486505524956
US,Health Care,LLY,0.09325823040080249
US,Communication Services,NFLX,0.08691937070778771
KR,Unknown,003230,0.07392031733570559
KR,Unknown,217500,0.07344146185239232
KR,Unknown,214370,0.06713087844886803
US,Communication Services,META,0.06542583097879762
KR,Unknown,240810,0.05757783132905251
KR,Unknown,327260,0.05192977497208135
US,Information Technology,AVGO,0.05191431787960629
US,Information Technology,LRCX,0.04761841678082487
US,Industrials,DE,0.045880553988807485
US,Information Technology,INTC,0.043887902138899655
US,Information Technology,AMAT,0.040614016032168354
US,Industrials,GEV,0.04026563243454662
KR,Unknown,095610,0.03801439661561656
KR,Unknown,038500,0.03758503025054595
US,Information Technology,NOW,0.031919055744319455
US,Energy,COP,0.03188156307761268
US,Industrials,UBER,0.031367689249701736
KR,Unknown,348370,0.027636848508402152
US,Information Technology,AAPL,0.02412177286709785
US,Consumer Discretionary,GM,0.0240277403999827
US,Financials,AIG,0.021118049588253543
US,Financials,PYPL,0.02007502249663938
KR,ETF,379800,0.02003430038761327
US,Energy,XOM,0.0197648351644572
US,Consumer Discretionary,BKNG,0.01806988564752088
US,Information Technology,MSFT,0.0179354232358963
US,Information Technology,QCOM,0.01712705085830147
US,Industrials,GE,0.016986576566219158
US,Financials,MS,0.016067608008396565
US,Consumer Staples,PM,0.011291676196803607
US,Utilities,EXC,0.01110294187330517
US,Consumer Discretionary,F,0.009961256429296328
US,Energy,CVX,0.009858549152364771
US,Financials,COF,0.009835756704730142
KR,ETF,360750,0.008998534334671626
KR,ETF,069500,0.008362833083883643
US,Health Care,UNH,0.008227761130893027
KR,Unknown,123690,0.008067834085947446
US,Industrials,RTX,0.007854203134046611
US,Financials,C,0.005790961907351776
KR,Unknown,145020,0.00573668456723807
US,Industrials,FDX,0.005467604538618823
US,Industrials,MMM,0.004804573667131209
US,Financials,AXP,0.0033208339556425174
US,Financials,WFC,0.0020727048764750833
US,Health Care,ISRG,0.0018591765668982145
US,Financials,GS,0.0009184840532382361
US,Consumer Staples,WMT,0.0006273860858736256
KR,Unknown,272110,-8.480750924843357e-06
US,Real Assets,GLD,-8.226141115110667e-05
US,Rates,TLT,-0.0010822146235796401
US,Information Technology,ORCL,-0.0011226375174490785
US,Energy,XLE,-0.001513090514978204
KR,Unknown,080220,-0.0015668374070514895
US,Information Technology,ADBE,-0.002901678517995454
US,Communication Services,GOOGL,-0.003339169757032614
US,Communication Services,GOOG,-0.0034305029363371833
KR,Unknown,083450,-0.00377330841227642
US,Consumer Discretionary,AMZN,-0.004080857698795159
US,Health Care,GILD,-0.005042424910141733
US,Industrials,BA,-0.005678813168059508
US,Health Care,MRK,-0.005825677092024495
US,Health Care,BMY,-0.00667549721296993
KR,Unknown,024060,-0.007236710848508691
KR,Unknown,049630,-0.007860040240120936
US,Health Care,ABBV,-0.008658660108382225
KR,Unknown,042940,-0.008679591870872399
KR,Unknown,036170,-0.009685687468495414
US,Consumer Discretionary,TGT,-0.010251493137658798
KR,Unknown,003620,-0.010312889335656472
US,Communication Services,TMUS,-0.011588357790413185
US,Health Care,BIIB,-0.011931799008128258
US,Information Technology,CRM,-0.015568206215097077
US,Communication Services,T,-0.015929029759623056
KR,Unknown,000490,-0.016166038781066608
US,Consumer Discretionary,SBUX,-0.018137766815594213
US,Information Technology,INTU,-0.021284356501864724
KR,Unknown,006400,-0.02536351828106285
KR,Unknown,290690,-0.026225865763703532
KR,Unknown,008350,-0.02688271571793819
KR,Unknown,001200,-0.03332903130595974
KR,Unknown,041920,-0.03669840322284497
KR,Unknown,174900,-0.03737477672178227
US,Information Technology,AMD,-0.040065193301783195
KR,Unknown,319400,-0.04994782451821714
KR,Unknown,053610,-0.06261585352905039
KR,Unknown,056080,-0.08268487043041842
KR,Unknown,099320,-0.1277977234541851
