SignalDate,NextDate,Market,Sector,Symbol,Contribution
2020-01-31,2020-02-28,US,Consumer Discretionary,TSLA,0.0016546205419936957
2020-01-31,2020-02-28,US,Information Technology,AMD,-0.0020117404825405875
2020-01-31,2020-02-28,KR,Unknown,123690,-0.0019397079964288558
2020-01-31,2020-02-28,US,Information Technology,AAPL,-0.01386657447155849
2020-01-31,2020-02-28,KR,Unknown,003230,-0.015613428922482167
2020-01-31,2020-02-28,US,Information Technology,LRCX,-0.0015380300819419163
2020-01-31,2020-02-28,US,Information Technology,NOW,-0.004339175042164505
2020-01-31,2020-02-28,US,Information Technology,NVDA,0.01493724827589613
2020-01-31,2020-02-28,KR,Unknown,095610,-0.00785627043984743
2020-01-31,2020-02-28,KR,Unknown,240810,-0.00854734284286356
2020-01-31,2020-02-28,KR,Unknown,024060,-0.008424615782745518
2020-01-31,2020-02-28,KR,Unknown,145020,-0.01048565636911172
2020-02-28,2020-03-31,KR,Unknown,083450,-0.06795917687112896
2020-02-28,2020-03-31,KR,Unknown,006400,-0.10690370893303563
2020-03-31,2020-05-29,US,Information Technology,NVDA,0.03623581457445068
2020-03-31,2020-05-29,US,Rates,TLT,-0.0010822146235796401
2020-03-31,2020-05-29,US,Health Care,BIIB,-0.005176781066359198
2020-03-31,2020-05-29,US,Communication Services,NFLX,0.016972952114896876
2020-03-31,2020-05-29,US,Health Care,GILD,0.007872445011910464
2020-03-31,2020-05-29,US,Health Care,LLY,0.020660565315535867
2020-05-29,2020-06-30,US,Consumer Discretionary,TSLA,0.024120612770695164
2020-05-29,2020-06-30,KR,Unknown,041920,-0.0009946570929294356
2020-05-29,2020-06-30,KR,Unknown,083450,0.0
2020-05-29,2020-06-30,KR,Unknown,008350,-0.0014955827458384566
2020-05-29,2020-06-30,US,Information Technology,NVDA,0.00546097843130115
2020-05-29,2020-06-30,US,Financials,PYPL,0.01257074799199152
2020-05-29,2020-06-30,KR,Unknown,006400,0.0015138363369228303
2020-05-29,2020-06-30,US,Information Technology,AMD,-0.0016329870628982504
2020-05-29,2020-06-30,KR,Unknown,003230,0.007343486113733082
2020-05-29,2020-06-30,US,Information Technology,NOW,0.0027813927743940204
2020-05-29,2020-06-30,KR,Unknown,123690,0.004010129833275707
2020-05-29,2020-06-30,US,Information Technology,AAPL,0.017799919122576835
2020-06-30,2020-07-31,KR,Unknown,174900,-0.06522256646810644
2020-06-30,2020-07-31,KR,Unknown,083450,0.019195186438335947
2020-06-30,2020-07-31,KR,Unknown,007810,0.03664097734799657
2020-06-30,2020-07-31,KR,Unknown,008350,-0.016821667680353966
2020-06-30,2020-07-31,KR,Unknown,006400,0.017254524188249524
2020-06-30,2020-07-31,KR,Unknown,003230,-0.01024839794514495
2020-07-31,2020-08-31,US,Consumer Discretionary,TSLA,0.10193724271115538
2020-07-31,2020-08-31,US,Information Technology,AMD,0.03152959882886154
2020-07-31,2020-08-31,US,Information Technology,NVDA,0.04048796612350747
2020-07-31,2020-08-31,US,Financials,PYPL,0.007504274504647861
2020-07-31,2020-08-31,US,Information Technology,AAPL,0.03948605802158741
2020-07-31,2020-08-31,US,Information Technology,LRCX,-0.017296576814735502
2020-08-31,2020-10-30,US,Consumer Discretionary,TSLA,-0.011314889567314993
2020-08-31,2020-10-30,US,Information Technology,NVDA,-0.006351902650695592
2020-08-31,2020-10-30,US,Information Technology,AMD,-0.017719072377351715
2020-08-31,2020-10-30,US,Information Technology,AAPL,-0.0192976298055079
2020-08-31,2020-10-30,US,Information Technology,CRM,-0.015568206215097077
2020-08-31,2020-10-30,US,Consumer Discretionary,AMZN,-0.014915557820239702
2020-08-31,2020-10-30,KR,Unknown,006400,-0.0022549446141937025
2020-08-31,2020-10-30,KR,Unknown,001200,0.0003068257206527529
2020-08-31,2020-10-30,KR,Unknown,099320,-0.015841317519905123
2020-08-31,2020-10-30,KR,ETF,069500,-0.002482868615867861
2020-10-30,2020-11-30,KR,Unknown,003620,-0.010312889335656472
2020-10-30,2020-11-30,US,Industrials,FDX,0.011385272816155404
2020-10-30,2020-11-30,US,,FCX,0.024706636553120075
2020-10-30,2020-11-30,KR,Unknown,217500,0.004572512581614508
2020-10-30,2020-11-30,KR,Unknown,006400,0.020337633597481607
