Market,Sector,Symbol,Contribution
KR,Unknown,053610,-0.043625323111838116
US,Information Technology,AMD,-0.038577510702266296
KR,Unknown,099320,-0.0342322287115302
KR,Unknown,217500,-0.03140023607140077
KR,Unknown,319400,-0.02513019010842528
US,Information Technology,INTU,-0.021284356501864724
US,Consumer Discretionary,SBUX,-0.018137766815594213
KR,Unknown,240810,-0.0173089940660316
KR,Unknown,290690,-0.016811146538981345
KR,Unknown,006400,-0.015255501687372334
US,Communication Services,T,-0.0146978959065329
KR,ETF,360750,-0.011457662572710919
KR,Unknown,214370,-0.010899760231560229
US,Consumer Discretionary,TGT,-0.010251493137658798
KR,Unknown,036170,-0.009685687468495414
KR,Unknown,042940,-0.008679591870872399
US,Health Care,ABBV,-0.008658660108382225
KR,Unknown,008350,-0.008565465291745766
KR,Unknown,095610,-0.008233008624950073
KR,Unknown,145020,-0.006965252666154367
KR,ETF,379800,-0.006811812793564348
US,Health Care,BIIB,-0.00675501794176906
US,Health Care,BMY,-0.00667549721296993
KR,Unknown,056080,-0.006365261174791046
US,Industrials,FDX,-0.005917668277536581
US,Health Care,MRK,-0.005825677092024495
US,Industrials,BA,-0.005678813168059508
US,Health Care,GILD,-0.005253086164940032
KR,Unknown,080220,-0.00492613867881481
KR,Unknown,174900,-0.004778806886076075
KR,Unknown,402340,-0.004710965403594222
KR,Unknown,348370,-0.004235595105936907
KR,Unknown,083450,-0.003030727922103493
KR,Unknown,049630,-0.0023181699370917255
US,Information Technology,LRCX,-0.0022303628813351564
US,Energy,XLE,-0.001513090514978204
KR,Unknown,272110,-8.480750924843357e-06
US,Health Care,ISRG,0.0018591765668982145
US,Information Technology,AMAT,0.00244980398482486
US,Consumer Discretionary,BKNG,0.0025207304172447957
KR,Unknown,038500,0.004198017778606624
US,Information Technology,PLTR,0.005529961439423494
US,Health Care,UNH,0.008227761130893027
US,Industrials,UBER,0.00970533743733528
US,Financials,COF,0.009835756704730142
US,Energy,CVX,0.009858549152364771
US,Consumer Discretionary,F,0.009961256429296328
US,Communication Services,NFLX,0.010099995558759142
US,Financials,AIG,0.010410705063619253
US,Utilities,EXC,0.01110294187330517
KR,Unknown,000490,0.011916733162126977
US,Information Technology,AVGO,0.013157942370479547
KR,Unknown,024060,0.014804534099228923
US,Industrials,GE,0.015838083235034665
US,Financials,MS,0.016067608008396565
KR,Unknown,003230,0.017904255611101115
US,Energy,XOM,0.0197648351644572
US,Energy,COP,0.03188156307761268
KR,Unknown,007810,0.03571966817225798
US,Consumer Discretionary,TSLA,0.03593217478494183
US,Health Care,LLY,0.03789455493335488
US,Communication Services,META,0.04477750397037495
US,Information Technology,NVDA,0.06787908926333265
KR,Unknown,058610,0.17192744610549815
