Branch,Track,Stage,Outcome,OutcomeReason,StructuralType
rule_sector_cap2_breadth_it_us5_buffer4,aggressive,cosmetic,killed,effectively_identical,hold_buffer
rule_sector_cap2_breadth_it_us5_risk_on_momentum_weighted,aggressive,cosmetic,killed,effectively_identical,momentum_weighting
rule_sector_cap2_breadth_it_us5_selective_risk_on,aggressive,cosmetic,killed,effectively_identical,selective_risk_on_gate
rule_sector_cap1_breadth_it_us5_cap,aggressive,exploratory,killed,too_restrictive_cagr_collapse,sector_cap1
rule_sector_cap2_breadth_it_us5_cross_sector_top2_risk_on,aggressive,exploratory,killed,dominated_by_top2_risk_on,cross_sector_top2_risk_on
rule_sector_cap2_breadth_it_us5_mad,aggressive,exploratory,killed,weaker_cagr_and_sharpe,mad_weighting
rule_sector_cap2_breadth_it_us5_newhigh_risk_on,aggressive,exploratory,killed,dominated_by_existing_risk_on,new_high_risk_on
rule_sector_cap2_breadth_it_us5_sector_leaders_risk_on,aggressive,exploratory,killed,cagr_cost_too_high,sector_leaders_risk_on
rule_sector_cap2_breadth_it_us5_top1_country,aggressive,exploratory,killed,over_concentrated_and_weaker,top1_country
rule_sector_cap2_breadth_it_us5_top1_risk_on,aggressive,exploratory,killed,weak_period_and_concentration_penalty,top1_risk_on
rule_sector_cap2_breadth_it_us5_top2_convex_gross_risk_on,aggressive,exploratory,killed,micro_tuning_and_weaker_weak_period,gross_leverage_overlay
rule_sector_cap2_breadth_it_us5_top2_persist_risk_on,aggressive,exploratory,killed,dominated_by_top2_risk_on,persistent_top2_risk_on
rule_sector_cap2_breadth_it_us5_top3_risk_on,aggressive,exploratory,killed,dominated_by_top2_risk_on,top3_risk_on
rule_sector_cap2_breadth_it_us5_turnover_risk_on,aggressive,exploratory,killed,weaker_cagr_and_sharpe,turnover_conditioned_risk_on
rule_sector_cap2_breadth_it_us5_us_top2_risk_on,aggressive,exploratory,killed,close_but_inferior,us_only_top2_risk_on
rule_sector_cap2_it_us5_cap,aggressive,exploratory,killed,weaker_quality_metrics,remove_breadth_risk_off
rule_sector_cap2_no_flow_it_us5_cap,aggressive,exploratory,killed,weaker_cagr_and_sharpe,remove_flow_filter
rule_sector_cap2_no_sector_filter_it_us5_cap,aggressive,exploratory,killed,weaker_cagr_and_sharpe,remove_sector_filter
rule_sector_cap2_us5_cap,aggressive,exploratory,killed,weaker_quality_metrics,remove_breadth_it_overlays
rule_sector_cap3_breadth_it_us5_top2_convex_risk_on,aggressive,exploratory,killed,weaker_cagr_and_sharpe,sector_cap3
rule_sector_cap2,aggressive,mainline,retired,superseded_by_stronger_aggressive_branch,sector_cap2
rule_sector_cap2_breadth_it_risk_off,aggressive,mainline,retired,superseded_by_stronger_aggressive_branch,it_risk_off
rule_sector_cap2_breadth_it_us5_cap,aggressive,mainline,retired,superseded_by_stronger_aggressive_branch,us_position_cap
rule_sector_cap2_breadth_it_us5_risk_on,aggressive,mainline,retired,superseded_by_stronger_aggressive_branch,risk_on
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count4_floor35_risk_on,aggressive,mainline,retired,superseded_by_broader_ranked_tail_branch,top2_convex_ranked_tail_count4_floor35_risk_on
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count5_floor40_risk_on,aggressive,mainline,retired,superseded_by_softer_ranked_tail_branch,top2_convex_ranked_tail_count5_floor40_risk_on
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count5_pen50_floor30_risk_on,aggressive,mainline,retired,superseded_by_deeper_softer_ranked_tail_branch,top2_convex_ranked_tail_count5_pen50_floor30_risk_on
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count5_pen55_floor35_risk_on,aggressive,mainline,retired,superseded_by_broader_softer_ranked_tail_branch,top2_convex_ranked_tail_count5_pen55_floor35_risk_on
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count7_pen40_floor20_bonus18_pow05_risk_on,aggressive,mainline,survivor,current_aggressive_strong_branch,top2_convex_ranked_tail_count7_pen40_floor20_bonus18_pow05_risk_on
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count7_pen40_floor20_bonus18_risk_on,aggressive,mainline,retired,superseded_by_curved_tail_penalty_branch,top2_convex_ranked_tail_count7_pen40_floor20_bonus18_risk_on
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_count7_pen40_floor20_risk_on,aggressive,mainline,retired,superseded_by_higher_top_slice_bonus_branch,top2_convex_ranked_tail_count7_pen40_floor20_risk_on
rule_sector_cap2_breadth_it_us5_top2_convex_ranked_tail_risk_on,aggressive,mainline,retired,superseded_by_deeper_ranked_tail_branch,top2_convex_ranked_tail_risk_on
rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,aggressive,mainline,retired,superseded_by_ranked_tail_source_improvement,top2_convex_risk_on
rule_sector_cap2_breadth_it_us5_top2_risk_on,aggressive,mainline,retired,superseded_by_stronger_aggressive_branch,top2_risk_on
rule_sector_cap2_breadth_risk_off,aggressive,mainline,retired,superseded_by_stronger_aggressive_branch,breadth_risk_off
equal_weight_no_mad_min4,operational,mainline,retired,superseded_by_more_robust_branch,reference_equal_weight
rule_breadth_it_risk_off,operational,mainline,retired,superseded_by_more_robust_branch,it_risk_off
rule_breadth_it_us5_cap,operational,mainline,survivor,current_operational_baseline,us_position_cap
rule_breadth_risk_off,operational,mainline,retired,superseded_by_more_robust_branch,breadth_risk_off
