Variant_x,SignalDate,NextDate,Baseline_GrossReturn,Baseline_NetReturn,Baseline_Turnover,Baseline_NAV,Baseline_Holdings,Variant_y,Candidate_GrossReturn,Candidate_NetReturn,Candidate_Turnover,Candidate_NAV,Candidate_Holdings,Baseline_DominantSector,Baseline_DominantSectorWeight,Baseline_DominantSectorCount,Baseline_ITWeight,Candidate_DominantSector,Candidate_DominantSectorWeight,Candidate_DominantSectorCount,Candidate_ITWeight,NetReturnDelta,TurnoverDelta,OverlayTriggered,LossMonthBaseline,LossMonthCandidate,LossReduced
rule_sector_cap2_breadth_risk_off,2021-04-30,2021-06-30,0.025358042078328348,0.024691375411661682,0.6666666666666666,1.842730142862764,6,rule_sector_cap2_breadth_it_risk_off,0.025358042078328348,0.024691375411661682,0.6666666666666666,1.8832232324961813,6,Financials,0.3333333333333333,2,0.3333333333333333,Financials,0.3333333333333333,2,0.3333333333333333,0.0,0.0,0,0,0,0
rule_sector_cap2_breadth_risk_off,2021-06-30,2021-07-30,-0.03877103612394902,-0.04019960755252045,1.4285714285714286,1.7686531142944808,7,rule_sector_cap2_breadth_it_risk_off,-0.03877103612394902,-0.04019960755252045,1.4285714285714286,1.8075183976160458,7,Financials,0.2857142857142857,2,0.2857142857142857,Financials,0.2857142857142857,2,0.2857142857142857,0.0,0.0,0,1,1,0
rule_sector_cap2_breadth_risk_off,2021-07-30,2021-08-31,0.07754181599979133,0.07582753028550562,1.7142857142857142,1.9027657118831993,6,rule_sector_cap2_breadth_it_risk_off,0.07754181599979133,0.07582753028550562,1.7142857142857142,1.9445780536528852,6,Financials,0.3333333333333333,2,0.3333333333333333,Financials,0.3333333333333333,2,0.3333333333333333,0.0,0.0,0,0,0,0
rule_sector_cap2_breadth_risk_off,2021-08-31,2021-09-30,0.02128537700021177,0.020202043666878437,1.0833333333333333,1.9412054678825026,4,rule_sector_cap2_breadth_it_risk_off,0.02128537700021177,0.020202043666878437,1.0833333333333333,1.9838625044064342,4,ETF,0.1875,1,0.1875,ETF,0.1875,1,0.1875,0.0,0.0,0,0,0,0
rule_sector_cap2_breadth_risk_off,2021-09-30,2021-10-29,0.08873919393135848,0.08727490821707277,1.4642857142857144,2.1106239969224276,7,rule_sector_cap2_breadth_it_risk_off,0.08873919393135848,0.08727490821707277,1.4642857142857144,2.157003922393798,7,Financials,0.2857142857142857,2,0.2857142857142857,Financials,0.2857142857142857,2,0.2857142857142857,0.0,0.0,0,0,0,0
rule_sector_cap2_breadth_risk_off,2021-10-29,2021-11-30,0.027148437607619473,0.025719866179048045,1.4285714285714284,2.16490896367756,7,rule_sector_cap2_breadth_it_risk_off,0.027148437607619473,0.025719866179048045,1.4285714285714284,2.212481774625448,7,Financials,0.2857142857142857,2,0.2857142857142857,Financials,0.2857142857142857,2,0.2857142857142857,0.0,0.0,0,0,0,0
rule_sector_cap2_breadth_risk_off,2021-11-30,2022-02-28,-0.16102216745074738,-0.16216502459360452,1.1428571428571428,1.8138364483398737,6,rule_sector_cap2_breadth_it_risk_off,-0.16102216745074738,-0.16216502459360452,1.1428571428571428,1.8536946132304106,6,Health Care,0.3333333333333333,2,0.3333333333333333,Health Care,0.3333333333333333,2,0.3333333333333333,0.0,0.0,0,1,1,0
rule_sector_cap2_breadth_risk_off,2022-02-28,2022-03-31,0.0337419711860378,0.0319919711860378,1.75,1.8718646517313478,4,rule_sector_cap2_breadth_it_risk_off,0.0337419711860378,0.0319919711860378,1.75,1.9129979578845913,4,Energy,0.375,2,,Energy,0.375,2,,0.0,0.0,0,0,0,0
rule_sector_cap2_breadth_risk_off,2022-03-31,2022-04-29,-0.026962837151411026,-0.028462837151411027,1.5,1.8185860729796357,4,rule_sector_cap2_breadth_it_risk_off,-0.026962837151411026,-0.028462837151411027,1.5,1.8585486085383403,4,ETF,0.1875,1,0.1875,ETF,0.1875,1,0.1875,0.0,0.0,0,1,1,0
rule_sector_cap2_breadth_risk_off,2022-04-29,2022-05-31,0.04111596386284675,0.03936596386284675,1.75,1.8901764666100285,6,rule_sector_cap2_breadth_it_risk_off,0.04111596386284675,0.03936596386284675,1.75,1.9317121658994048,6,Consumer Staples,0.3333333333333333,2,,Consumer Staples,0.3333333333333333,2,,0.0,0.0,0,0,0,0
