SignalDate,Market,Sector,PositionCount,WeightSum,AvgMomentumScore
2025-01-31,KR,ETF,2,0.2857142857142857,0.039202889467084764
2025-01-31,US,Communication Services,2,0.2857142857142857,0.09752206565708946
2025-01-31,US,Information Technology,2,0.2857142857142857,0.25205130580160623
2025-01-31,US,Financials,1,0.14285714285714285,0.07804902303580635
2025-02-28,KR,Consumer Staples,1,0.1875,0.30560436566260885
2025-02-28,US,Health Care,1,0.1875,0.10012846141267635
2025-03-31,US,Financials,3,0.6000000000000001,0.040049347089602914
2025-03-31,US,Health Care,2,0.4,0.06012202917870063
2025-04-30,US,Industrials,2,0.4,0.06966110946365292
2025-04-30,US,Information Technology,2,0.4,0.2132784469025701
2025-04-30,US,Financials,1,0.2,0.039688320143050376
2025-05-30,US,Industrials,3,0.6000000000000001,0.09782204519426811
2025-05-30,US,Information Technology,2,0.4,0.24481399509207924
2025-06-30,US,Information Technology,3,0.5,0.18192589224406097
2025-06-30,US,Industrials,2,0.3333333333333333,0.14586456983883783
2025-06-30,KR,ETF,1,0.16666666666666666,0.046895222489001104
2025-07-31,US,Information Technology,4,0.5,0.18983265202063235
2025-07-31,KR,ETF,3,0.375,0.030516552077446853
2025-07-31,US,Industrials,1,0.125,0.2814993726612476
2025-08-29,KR,ETF,3,0.375,0.028972836796649915
2025-08-29,US,Information Technology,3,0.375,0.15406729210779993
2025-08-29,US,Financials,1,0.125,0.07126579521350637
2025-08-29,US,Industrials,1,0.125,0.19647850608828318
2025-09-30,US,Information Technology,5,0.5,0.17833935380981755
2025-09-30,KR,ETF,3,0.30000000000000004,0.04290483444448536
2025-10-31,US,Information Technology,5,0.5,0.2200837104543353
2025-10-31,KR,ETF,3,0.30000000000000004,0.07025449999187482
2025-11-28,US,Information Technology,5,0.5,0.17014125299260963
2025-11-28,KR,ETF,3,0.30000000000000004,0.06035466192163506
2026-01-30,US,Industrials,4,0.5,0.08667738045857323
2026-01-30,KR,ETF,3,0.375,0.12275642201810581
2026-01-30,US,Health Care,1,0.125,0.07918786596117353
