SignalDate,Market,Symbol,Name,Sector,WatchGrade,TenbaggerScore,R3MForward,R6MForward,R12MForward
2020-01-31,US,TSLA,Tesla,Consumer Discretionary,Watch,1.2301604650768925,,0.659790659864278,3.362328274639201
2020-01-31,US,AMD,AMD,Information Technology,Starter,0.5688185119012749,,0.11936171511386306,0.9714894396193483
2020-01-31,US,AAPL,Apple,Information Technology,Add-on,0.5530494107306092,,0.18463254366917825,0.5518479523767743
2020-01-31,KR,024060,흥구석유,Energy,Starter,0.5093854313467086,0.28870967741935494,0.09354838709677415,0.20967741935483875
2020-01-31,KR,003230,삼양식품,Consumer Staples,Add-on,0.487722691397061,-0.0049261083743842304,0.24137931034482762,0.0
2020-01-31,US,LRCX,Lam Research,Information Technology,Add-on,0.4858079427465726,,0.09550593659633311,0.539028785695111
2020-01-31,KR,095610,테스,Information Technology,Starter,0.42953882901586227,-0.16142557651991618,-0.10272536687631029,0.21802935010482183
2020-01-31,KR,240810,원익IPS,Information Technology,Starter,0.3922777850136292,-0.18922852983988359,0.03784570596797665,0.16011644832605532
2020-01-31,US,NVDA,Nvidia,Information Technology,Starter,0.38772306109312615,,0.6085552703661903,1.270380047761948
2020-01-31,US,MSFT,Microsoft,Information Technology,Add-on,0.3643245630941015,,0.202104296230468,0.27085613306140477
2020-01-31,US,CHTR,Charter Communications,Communication Services,Watch,0.36354767298168034,,-0.014339297941216578,0.2599813754671614
2020-01-31,KR,123690,한국화장품,Consumer Staples,Starter,0.32956323778598196,0.18217054263565902,0.1472868217054264,0.019379844961240345
2020-01-31,US,LMT,Lockheed Martin,Industrials,Watch,0.3069636461863146,,-0.13707180712715927,-0.12554089994992057
2020-01-31,US,INTC,Intel,Information Technology,Add-on,0.3057022087089902,,-0.05421136370093471,-0.22489856495968963
2020-01-31,US,NEE,NextEra Energy,Utilities,Watch,0.3055848311797753,,-0.09487633282361052,0.12017168779136123
2020-01-31,US,MA,Mastercard,Financials,Add-on,0.27990252621253625,,-0.06261548827039354,0.06942300753663222
2020-01-31,US,SO,Southern Company,Utilities,Watch,0.27080169588786324,,-0.24807946443534,-0.11291023739883699
2020-01-31,US,NOW,ServiceNow,Information Technology,Starter,0.2531813085540228,,0.1975873899241154,0.5804334000225795
2020-01-31,US,MU,Micron Technology,Information Technology,Starter,0.2450065896054554,,-0.02957244325849495,0.2071954083782206
2020-01-31,US,BMY,Bristol Myers Squibb,Health Care,Starter,0.24491396349059172,,-0.0581944363007052,0.014666355472044978
2020-01-31,US,V,Visa,Financials,Add-on,0.24058235005469852,,-0.0261160538723334,0.0637019827265577
