Market,Sector,Symbol,Contribution
US,Information Technology,NVDA,0.3336771902704342
US,Consumer Discretionary,TSLA,0.23742542569212452
US,Information Technology,PLTR,0.1706995514320575
US,Information Technology,MU,0.14188311761034372
KR,ETF,069500,0.12281769927109887
KR,Industrials,058610,0.1191591048535538
US,Industrials,GEV,0.11059586826136654
US,Information Technology,AVGO,0.10185150581236783
US,Information Technology,AMAT,0.06681747522999171
US,Information Technology,INTC,0.061772697364990026
US,Financials,COF,0.060442719802260056
KR,ETF,379800,0.054943035294901604
US,Information Technology,LRCX,0.0527326604484727
US,Industrials,GE,0.051758985973384526
US,Consumer Discretionary,GM,0.044936791574637994
KR,ETF,360750,0.04321995227675015
KR,Information Technology,053610,0.04022277227722773
US,Health Care,LLY,0.03716975499565521
KR,Information Technology,007810,0.03566511627906977
US,Industrials,FDX,0.03444105187959573
US,Financials,BK,0.03125955707598526
US,Industrials,CAT,0.02358314309279575
US,Information Technology,NOW,0.01989728705936956
US,Industrials,UBER,0.019761313339675367
KR,ETF,0000J0,0.019384341218204128
US,Energy,COP,0.01856386675436973
US,Consumer Discretionary,AMZN,0.015599733850308533
US,Energy,XLE,0.01543008747269602
US,Financials,AIG,0.01542970332475561
US,Energy,XOM,0.015424568777863013
US,Information Technology,AAPL,0.015361251934566077
US,Information Technology,ORCL,0.014574575862823905
US,Financials,SCHW,0.01391801440290552
US,Health Care,ISRG,0.011449090942372526
US,Health Care,GILD,0.011433429621924663
US,Health Care,JNJ,0.011001434057236685
KR,ETF,0000Z0,0.010876132930513593
US,Industrials,DE,0.010719873758090304
US,Financials,MS,0.009969684662363264
US,Information Technology,QCOM,0.009282077366952345
US,Financials,BAC,0.008040454084883885
US,Financials,MET,0.007786376826689256
US,Financials,V,0.007432090838692525
US,Information Technology,MSFT,0.007421815906526645
US,Financials,JPM,0.006304358864327833
US,Financials,C,0.0056723378594492795
US,Financials,USB,0.0022351514553827618
US,Health Care,UNH,0.001360966794577579
KR,Health Care,214370,0.0011688984069532227
US,Financials,AXP,0.0005038221908588462
US,Health Care,CVS,-0.0008665925943938297
KR,Industrials,099320,-0.0009057971014492794
US,Health Care,BIIB,-0.0037159658670812713
US,Communication Services,META,-0.0038052395606381073
US,Energy,CVX,-0.004073486950705474
KR,Information Technology,083450,-0.004246739876458468
US,Consumer Staples,MO,-0.004438830130135592
US,Financials,WFC,-0.005828443572700003
US,Communication Services,NFLX,-0.005851904326717991
US,Information Technology,ADBE,-0.006096477095122149
US,Information Technology,INTU,-0.006151769589258331
US,Health Care,BMY,-0.006571149566721224
US,Health Care,MRK,-0.0065761232154774585
US,Industrials,RTX,-0.007964681971088572
US,Information Technology,IBM,-0.008145768775982122
US,Financials,GS,-0.008587311782862957
US,Industrials,GD,-0.008730090409455705
US,Financials,BRK.B,-0.008944892264330631
US,Health Care,ABBV,-0.009040248621599706
US,Industrials,LMT,-0.010914115648460381
US,Consumer Discretionary,BKNG,-0.010971026202747189
US,Industrials,BA,-0.01219583042892658
US,Materials,DD,-0.012696212663426541
US,Information Technology,CRM,-0.01305997200965088
KR,Consumer Staples,003230,-0.014573991031390128
US,Consumer Staples,KHC,-0.0172676685555951
US,Health Care,PFE,-0.018540980092366516
US,Health Care,AMGN,-0.022427051312640552
KR,Industrials,319400,-0.02845670391061452
KR,Information Technology,080220,-0.03217250922509225
KR,Industrials,056080,-0.033831194867682435
US,Information Technology,AMD,-0.053002020544558305
KR,Health Care,174900,-0.08910642570281124
