Market,Sector,ContributionSum,ContributionMean,Months
US,Health Care,-0.03403403643198377,-0.0037815596035537524,9
US,Consumer Staples,-0.021706498685730692,-0.021706498685730692,1
KR,Information Technology,-0.012299999999999998,-0.012299999999999998,1
KR,ETF,-0.008227994462654509,-0.0007479994966049554,11
KR,Health Care,0.0011688984069532227,0.0005844492034766113,2
US,Industrials,0.0014856511908114545,0.00014856511908114544,10
US,Energy,0.045345036054223284,0.009069007210844656,5
US,Financials,0.05476149283158945,0.0068451866039486815,8
US,Information Technology,0.0956371919549622,0.007356707073458631,13
KR,Industrials,0.1191591048535538,0.0595795524267769,2
