Check,Metric,Value,Threshold,Comparator,Passed
Current holdings >= 4,current_holdings,8.0,4.0,>=,1
Current top1 weight <= 0.25,current_top1_weight,0.125,0.25,<=,1
Current top3 weight <= 0.60,current_top3_weight,0.375,0.6,<=,1
Recent avg turnover <= 1.50,recent_avg_turnover,0.9612103174603175,1.5,<=,1
Recent CAGR proxy > 0,recent_cagr_proxy,0.9484003206017528,0.0,>,1
Current max sector weight <= 0.50,current_max_sector_weight,0.5,0.5,<=,1
Recent min holdings >= 4,recent_min_holdings,4.0,4.0,>=,1
Recent max top1 weight <= 0.25,recent_max_top1_weight,0.2,0.25,<=,1
Recent max top3 weight <= 0.75,recent_max_top3_weight,0.6000000000000001,0.75,<=,1
Recent max sector weight <= 0.70,recent_max_sector_weight,0.6000000000000001,0.7,<=,1
