Market,Sector,Symbol,Excluded,ContributionDelta
US,Information Technology,NVDA,1,0.06734186178506368
US,Information Technology,PLTR,1,0.05870432726942455
US,Information Technology,MU,1,0.028753023309218646
KR,ETF,0000J0,0,0.014953634654043188
US,Consumer Discretionary,TSLA,0,0.014760856698530153
US,Information Technology,LRCX,0,0.01247505786888313
US,Financials,GS,0,0.006386759904540903
US,Financials,JPM,0,0.005469377551415668
US,Consumer Discretionary,BKNG,0,0.005015326264113
US,Information Technology,AMD,0,0.003703261371614891
US,Industrials,UBER,0,0.0033380128840606402
US,Communication Services,NFLX,0,0.0017821935585469527
US,Financials,AXP,0,0.0014319036165317477
US,Energy,XOM,0,0.001103305956323318
US,Health Care,BIIB,0,0.0008975141304484577
US,Industrials,GE,0,0.0005490263951424702
US,Information Technology,AVGO,0,0.0003329642379438168
US,Industrials,CAT,0,7.424043785325522e-05
KR,Information Technology,083450,0,0.0
KR,Health Care,174900,0,0.0
KR,Industrials,056080,0,0.0
KR,Consumer Staples,003230,0,0.0
KR,Health Care,214370,0,0.0
US,Information Technology,QCOM,0,0.0
US,Industrials,UPS,0,0.0
US,Industrials,LMT,0,0.0
US,Consumer Discretionary,GM,0,0.0
KR,Materials,008350,0,0.0
US,Consumer Discretionary,AMZN,0,0.0
US,Communication Services,T,0,0.0
US,Communication Services,META,0,0.0
KR,Industrials,319400,0,0.0
KR,Industrials,099320,0,0.0
KR,Information Technology,053610,0,0.0
KR,Information Technology,007810,0,0.0
KR,Industrials,058610,0,0.0
KR,Materials,348370,0,0.0
KR,Information Technology,080220,0,0.0
US,Energy,XLE,0,0.0
US,Financials,V,0,0.0
US,Health Care,CVS,0,0.0
US,Health Care,BMY,0,0.0
US,Financials,PYPL,0,0.0
US,Health Care,MRK,0,0.0
US,Industrials,FDX,0,0.0
US,Industrials,DE,0,0.0
US,Energy,CVX,0,0.0
US,Financials,COF,0,0.0
US,Financials,AIG,0,0.0
US,Financials,BLK,0,0.0
US,Financials,BAC,0,0.0
US,Financials,MA,0,0.0
US,Financials,SCHW,0,0.0
US,Consumer Staples,MO,0,0.0
US,Consumer Staples,CL,0,0.0
US,Information Technology,ORCL,0,0.0
US,Information Technology,INTU,0,0.0
US,Information Technology,AMAT,0,0.0
US,Industrials,RTX,0,0.0
US,Industrials,GD,0,0.0
US,Industrials,LIN,0,0.0
US,Information Technology,INTC,0,0.0
US,Information Technology,AAPL,0,0.0
US,Materials,DD,0,0.0
US,Industrials,BA,0,0.0
US,Health Care,TMO,0,0.0
US,Information Technology,NOW,0,0.0
US,Health Care,UNH,0,0.0
US,Health Care,PFE,0,0.0
US,Health Care,AMGN,0,-0.0008232264590831294
US,Financials,WFC,0,-0.0009098177392750223
US,Information Technology,ADBE,0,-0.0012192954190244302
US,Energy,COP,0,-0.0014329761510914235
US,Health Care,GILD,0,-0.002817891011249455
US,Financials,MET,0,-0.0031307080691062314
US,Financials,BK,0,-0.004044560605326231
US,Information Technology,MSFT,0,-0.004063157902075699
US,Financials,BRK.B,0,-0.004608734545736667
US,Health Care,JNJ,0,-0.0056578803722931535
US,Industrials,GEV,0,-0.005872873874217689
US,Health Care,LLY,0,-0.006452289188951039
US,Health Care,ISRG,0,-0.007787092289628279
KR,ETF,069500,0,-0.009269396490609635
US,Financials,MS,0,-0.00981530049764227
US,Financials,C,0,-0.012738590902680449
KR,ETF,379800,0,-0.013468308177144856
KR,ETF,360750,0,-0.016737959087225595
