SignalDate,NetReturnDelta
2025-11-28,0.05754187955565149
2024-10-31,0.0266713000525165
2024-11-29,0.02253393933428141
2023-04-28,0.019619659737183284
2023-06-30,0.0178930630484207
2024-01-31,0.017786960259658827
2025-09-30,0.01721014141592278
2026-01-30,0.01592238907553968
2024-04-30,0.011098595382431617
2024-07-31,0.010056081884567615
2025-01-31,0.006940963062038768
2024-09-30,0.006820013410977099
2023-05-31,0.0009540590039953389
2025-08-29,0.0005302627978904656
2024-08-30,9.99999999999994e-05
2024-05-31,5.714285714285977e-05
2020-01-31,0.0
2020-02-28,0.0
2020-03-31,0.0
2020-05-29,0.0
2020-06-30,0.0
2020-07-31,0.0
2020-08-31,0.0
2020-10-30,0.0
2020-11-30,0.0
2021-01-29,0.0
2021-02-26,0.0
2021-03-31,0.0
2021-04-30,0.0
2023-01-31,0.0
2025-04-30,0.0
2022-09-30,0.0
2022-08-31,0.0
2022-07-29,0.0
2022-06-30,0.0
2022-05-31,0.0
2022-04-29,0.0
2022-03-31,0.0
2022-02-28,0.0
2021-11-30,0.0
2021-10-29,0.0
2021-09-30,0.0
2021-08-31,0.0
2021-07-30,0.0
2021-06-30,0.0
2025-05-30,0.0
2025-06-30,0.0
2025-02-28,0.0
2024-06-28,0.0
2023-03-31,0.0
2023-02-28,0.0
2023-11-30,0.0
2023-10-31,0.0
2025-03-31,0.0
2024-02-29,-8.571428571428619e-05
2022-11-30,-0.00012857142857142928
2022-10-31,-0.0031344755826927563
2025-07-31,-0.003252868599184819
2025-10-31,-0.004983978341485205
2023-08-31,-0.0053513129034139795
2023-07-31,-0.008681495185332969
