Market,Sector,Symbol,Excluded,ContributionDelta
US,Information Technology,PLTR,1,0.07207742879644152
US,Information Technology,NVDA,1,0.06485608945572495
US,Information Technology,MU,1,0.05932962995010884
US,Information Technology,LRCX,0,0.026732266861892395
KR,ETF,0000J0,0,0.009346021658776998
US,Consumer Discretionary,TSLA,0,0.009225535436581344
US,Information Technology,AMD,0,0.0079355600820319
US,Information Technology,ORCL,0,0.0023339461365449073
US,Financials,GS,0,0.0022494722028150215
US,Consumer Discretionary,BKNG,0,0.0018807473490423735
US,Financials,JPM,0,0.0015777050629083647
US,Communication Services,NFLX,0,0.00129496247265468
US,Industrials,FDX,0,0.0009219404921924582
US,Energy,XOM,0,0.0006895662227020738
US,Communication Services,META,0,0.0006523267818236743
US,Industrials,GE,0,0.00044742941994191897
US,Information Technology,AVGO,0,0.00044458824993174207
KR,Information Technology,053610,0,0.0
KR,Information Technology,080220,0,0.0
KR,Information Technology,083450,0,0.0
KR,Health Care,174900,0,0.0
KR,Consumer Staples,003230,0,0.0
KR,Health Care,214370,0,0.0
US,Information Technology,QCOM,0,0.0
US,Information Technology,INTU,0,0.0
US,Information Technology,AMAT,0,0.0
US,Consumer Discretionary,GM,0,0.0
KR,Materials,348370,0,0.0
US,Consumer Discretionary,AMZN,0,0.0
US,Communication Services,T,0,0.0
KR,Materials,008350,0,0.0
KR,Industrials,319400,0,0.0
KR,Industrials,099320,0,0.0
KR,Industrials,058610,0,0.0
KR,Information Technology,007810,0,0.0
KR,Industrials,056080,0,0.0
US,Energy,XLE,0,0.0
US,Financials,AIG,0,0.0
US,Energy,CVX,0,0.0
US,Health Care,BMY,0,0.0
US,Industrials,DE,0,0.0
US,Industrials,BA,0,0.0
US,Health Care,UNH,0,0.0
US,Health Care,MRK,0,0.0
US,Health Care,TMO,0,0.0
US,Industrials,UPS,0,0.0
US,Consumer Staples,MO,0,0.0
US,Financials,BLK,0,0.0
US,Financials,BAC,0,0.0
US,Health Care,CVS,0,0.0
US,Financials,V,0,0.0
US,Financials,PYPL,0,0.0
US,Financials,SCHW,0,0.0
US,Financials,MA,0,0.0
US,Consumer Staples,CL,0,0.0
US,Materials,DD,0,0.0
US,Information Technology,NOW,0,0.0
US,Health Care,PFE,0,0.0
US,Information Technology,INTC,0,0.0
US,Industrials,RTX,0,0.0
US,Industrials,LIN,0,0.0
US,Industrials,GD,0,0.0
US,Information Technology,AAPL,0,0.0
US,Health Care,AMGN,0,-0.000237469170889364
US,Financials,WFC,0,-0.0003411816522281329
US,Industrials,UBER,0,-0.00036391779617745996
US,Financials,AXP,0,-0.0004057926059087006
US,Industrials,LMT,0,-0.0008061649816784588
US,Energy,COP,0,-0.0008956100944321403
US,Financials,MET,0,-0.0011740155259148347
US,Financials,COF,0,-0.0013057332974917273
US,Financials,BRK.B,0,-0.0013294426574240372
US,Health Care,BIIB,0,-0.0013839294117165102
KR,ETF,069500,0,-0.0014104734277040377
US,Information Technology,MSFT,0,-0.0015236842132783854
US,Health Care,JNJ,0,-0.002121705139609931
US,Information Technology,ADBE,0,-0.0026127758979094945
US,Industrials,CAT,0,-0.0027304653466111314
US,Financials,MS,0,-0.00283133668201219
US,Financials,BK,0,-0.00303342045399467
US,Health Care,GILD,0,-0.003615793074302545
US,Industrials,GEV,0,-0.0036705461713860575
KR,ETF,379800,0,-0.003827759457035741
US,Health Care,LLY,0,-0.004839216891713276
US,Financials,C,0,-0.0049184508182274775
KR,ETF,360750,0,-0.005020249191096916
US,Health Care,ISRG,0,-0.005434000502501406
