Strategy,RunId,RunStartedAt,BaselineCAGR,BaselineMDD,CAGR_net_0.5pct,WorstMDD,WindowCount,StabilityScore,AnnualTurnover,CostRobust,WalkforwardAdequate,OperationalStatus,ReadinessTier,Recommendation
Biweekly Score50 MADScale,20260308T095846Z_kis_pipeline,2026-03-08T09:58:46.649788+00:00,0.1429731003295795,-0.1024552848794707,0.1017315761026003,-0.1024552848794707,0,1.3954682815803432,21.640002892415403,1,0,fresh,PAPER_READY,START_PAPER_FIRST
Weekly Score50 MADScale,20260308T095846Z_kis_pipeline,2026-03-08T09:58:46.649788+00:00,0.1429731003295795,-0.1024552848794707,0.1017315761026003,-0.1024552848794707,0,1.3954682815803432,21.6400028924154,1,0,fresh,PAPER_READY,PAPER_CANDIDATE
ScoreN70_P1.0_ROE0.2,20260308T095846Z_kis_pipeline,2026-03-08T09:58:46.649788+00:00,,,0.0978155797307127,-0.1316857747899394,2,2.2768780343443416,18.15268608044312,1,0,fresh,PAPER_READY,PAPER_CANDIDATE
ScoreN70_P1.5_ROE0.2,20260308T095846Z_kis_pipeline,2026-03-08T09:58:46.649788+00:00,,,0.0973755477985163,-0.0828320119853737,0,1.7914692830131131,18.205289527226547,1,0,fresh,PAPER_READY,PAPER_CANDIDATE
ScoreN70_P2.0_ROE0.2,20260308T095846Z_kis_pipeline,2026-03-08T09:58:46.649788+00:00,,,0.0968639941877254,-0.0840896295502412,0,1.7613863752482706,18.29523457450044,1,0,fresh,PAPER_READY,PAPER_CANDIDATE
ScoreN50_P2.0_ROE0.2,20260308T095846Z_kis_pipeline,2026-03-08T09:58:46.649788+00:00,,,0.0875443500440462,-0.1040758624463608,0,1.3682766014931331,19.71350527151389,1,0,fresh,PAPER_READY,PAPER_CANDIDATE
ScoreN50_P1.5_ROE0.2,20260308T095846Z_kis_pipeline,2026-03-08T09:58:46.649788+00:00,,,0.0872073839631222,-0.1034266918379474,0,1.3737589110632795,19.72478121029391,1,0,fresh,PAPER_READY,PAPER_CANDIDATE
Weekly Buffer 20/25,20260308T095846Z_kis_pipeline,2026-03-08T09:58:46.649788+00:00,0.1264265319640554,-0.1069584743389807,0.0695592140776657,-0.1069584743389807,0,1.1820151020794771,22.135383578828893,0,0,fresh,NOT_READY,HOLD
ScoreN30_P2.0_ROE0.2,20260308T095846Z_kis_pipeline,2026-03-08T09:58:46.649788+00:00,,,0.0670052598747896,-0.182776097594791,1,-0.6770094075273316,20.36746122481503,0,0,fresh,NOT_READY,HOLD
Weekly Top20,20260308T095846Z_kis_pipeline,2026-03-08T09:58:46.649788+00:00,0.1302924822215869,-0.1052083089289555,0.0574807765966263,-0.1052083089289555,0,1.2384238806610808,31.351661706106377,0,0,fresh,NOT_READY,HOLD
Daily Top20,20260308T095846Z_kis_pipeline,2026-03-08T09:58:46.649788+00:00,0.1257137417073339,-0.1103457221757472,0.0540094560259432,-0.1103457221757472,0,1.139271547900245,35.21230765600479,0,0,fresh,NOT_READY,HOLD
Benchmark Weekly Top20,20260308T095846Z_kis_pipeline,2026-03-08T09:58:46.649788+00:00,,,,-0.2017927644041213,3,-0.2947590561424058,,0,1,fresh,NOT_READY,HOLD
